r,s,ls,ld,y,StorageLevelDayTypeStart
KENYA,BESS001,4,2,2041,1.9153
KENYA,BESS001,4,2,2042,1.9651
KENYA,BESS001,4,2,2043,2.3887
KENYA,BESS001,4,2,2044,3.0143
KENYA,BESS001,4,2,2045,3.5628
KENYA,BESS001,4,2,2046,4.5094
KENYA,BESS001,4,2,2047,5.3143
KENYA,BESS001,4,2,2048,5.5341
KENYA,BESS001,4,2,2049,6.2018
KENYA,BESS001,4,2,2050,6.3567
KENYA,PHS001,1,1,2034,0.0004
KENYA,PHS001,1,1,2035,0.0004
KENYA,PHS001,1,1,2036,0.0007
KENYA,PHS001,1,1,2037,0.001
KENYA,PHS001,1,1,2038,0.001
KENYA,PHS001,1,1,2039,0.0012
KENYA,PHS001,1,1,2040,0.0012
KENYA,PHS001,1,1,2041,0.0012
KENYA,PHS001,1,1,2042,0.0012
KENYA,PHS001,1,1,2043,0.0012
KENYA,PHS001,1,1,2044,0.0012
KENYA,PHS001,1,1,2045,0.0012
KENYA,PHS001,1,1,2046,0.0012
KENYA,PHS001,1,1,2047,0.0012
KENYA,PHS001,1,1,2048,0.0012
KENYA,PHS001,1,1,2049,0.0012
KENYA,PHS001,1,1,2050,0.0012
KENYA,PHS001,1,2,2034,0.0004
KENYA,PHS001,1,2,2035,0.0004
KENYA,PHS001,1,2,2036,0.0007
KENYA,PHS001,1,2,2037,0.001
KENYA,PHS001,1,2,2038,0.001
KENYA,PHS001,1,2,2039,0.0012
KENYA,PHS001,1,2,2040,0.0012
KENYA,PHS001,1,2,2041,0.0012
KENYA,PHS001,1,2,2042,0.0012
KENYA,PHS001,1,2,2043,0.0012
KENYA,PHS001,1,2,2044,0.0012
KENYA,PHS001,1,2,2045,0.0012
KENYA,PHS001,1,2,2046,0.0012
KENYA,PHS001,1,2,2047,0.0012
KENYA,PHS001,1,2,2048,0.0012
KENYA,PHS001,1,2,2049,0.0012
KENYA,PHS001,1,2,2050,0.0012
KENYA,PHS001,2,1,2034,0.0004
KENYA,PHS001,2,1,2035,0.0004
KENYA,PHS001,2,1,2036,0.0007
KENYA,PHS001,2,1,2037,0.001
KENYA,PHS001,2,1,2038,0.001
KENYA,PHS001,2,1,2039,0.0012
KENYA,PHS001,2,1,2040,0.0012
KENYA,PHS001,2,1,2041,0.0012
KENYA,PHS001,2,1,2042,0.0012
KENYA,PHS001,2,1,2043,0.0012
KENYA,PHS001,2,1,2044,0.0012
KENYA,PHS001,2,1,2045,0.0012
KENYA,PHS001,2,1,2046,0.0012
KENYA,PHS001,2,1,2047,0.0012
KENYA,PHS001,2,1,2048,0.0012
KENYA,PHS001,2,1,2049,0.0012
KENYA,PHS001,2,1,2050,0.0012
KENYA,PHS001,2,2,2034,0.0004
KENYA,PHS001,2,2,2035,0.0004
KENYA,PHS001,2,2,2036,0.0007
KENYA,PHS001,2,2,2037,0.001
KENYA,PHS001,2,2,2038,0.001
KENYA,PHS001,2,2,2039,0.0012
KENYA,PHS001,2,2,2040,0.0012
KENYA,PHS001,2,2,2041,0.0012
KENYA,PHS001,2,2,2042,0.0012
KENYA,PHS001,2,2,2043,0.0012
KENYA,PHS001,2,2,2044,0.0012
KENYA,PHS001,2,2,2045,0.0012
KENYA,PHS001,2,2,2046,0.0012
KENYA,PHS001,2,2,2047,0.0012
KENYA,PHS001,2,2,2048,0.0012
KENYA,PHS001,2,2,2049,0.0012
KENYA,PHS001,2,2,2050,0.0012
KENYA,PHS001,3,1,2034,0.0004
KENYA,PHS001,3,1,2035,0.0004
KENYA,PHS001,3,1,2036,0.0007
KENYA,PHS001,3,1,2037,0.001
KENYA,PHS001,3,1,2038,0.001
KENYA,PHS001,3,1,2039,0.0012
KENYA,PHS001,3,1,2040,0.0012
KENYA,PHS001,3,1,2041,0.0012
KENYA,PHS001,3,1,2042,0.0012
KENYA,PHS001,3,1,2043,0.0012
KENYA,PHS001,3,1,2044,0.0012
KENYA,PHS001,3,1,2045,0.0012
KENYA,PHS001,3,1,2046,0.0012
KENYA,PHS001,3,1,2047,0.0012
KENYA,PHS001,3,1,2048,0.0012
KENYA,PHS001,3,1,2049,0.0012
KENYA,PHS001,3,1,2050,0.0012
KENYA,PHS001,3,2,2034,0.0004
KENYA,PHS001,3,2,2035,0.0004
KENYA,PHS001,3,2,2036,0.0007
KENYA,PHS001,3,2,2037,0.001
KENYA,PHS001,3,2,2038,0.001
KENYA,PHS001,3,2,2039,0.0012
KENYA,PHS001,3,2,2040,0.0012
KENYA,PHS001,3,2,2041,0.0012
KENYA,PHS001,3,2,2042,0.0012
KENYA,PHS001,3,2,2043,0.0012
KENYA,PHS001,3,2,2044,0.0012
KENYA,PHS001,3,2,2045,0.0012
KENYA,PHS001,3,2,2046,0.0012
KENYA,PHS001,3,2,2047,0.0012
KENYA,PHS001,3,2,2048,0.0012
KENYA,PHS001,3,2,2049,0.0012
KENYA,PHS001,3,2,2050,0.0012
KENYA,PHS001,4,1,2034,0.0004
KENYA,PHS001,4,1,2035,0.0004
KENYA,PHS001,4,1,2036,0.0007
KENYA,PHS001,4,1,2037,0.001
KENYA,PHS001,4,1,2038,0.001
KENYA,PHS001,4,1,2039,0.0012
KENYA,PHS001,4,1,2040,0.0012
KENYA,PHS001,4,1,2041,0.0012
KENYA,PHS001,4,1,2042,0.0012
KENYA,PHS001,4,1,2043,0.0012
KENYA,PHS001,4,1,2044,0.0012
KENYA,PHS001,4,1,2045,0.0012
KENYA,PHS001,4,1,2046,0.0012
KENYA,PHS001,4,1,2047,0.0012
KENYA,PHS001,4,1,2048,0.0012
KENYA,PHS001,4,1,2049,0.0012
KENYA,PHS001,4,1,2050,0.0012
KENYA,PHS001,4,2,2034,0.0004
KENYA,PHS001,4,2,2035,0.0004
KENYA,PHS001,4,2,2036,0.0007
KENYA,PHS001,4,2,2037,0.001
KENYA,PHS001,4,2,2038,0.001
KENYA,PHS001,4,2,2039,0.0012
KENYA,PHS001,4,2,2040,0.0012
KENYA,PHS001,4,2,2041,0.0012
KENYA,PHS001,4,2,2042,0.0012
KENYA,PHS001,4,2,2043,0.0012
KENYA,PHS001,4,2,2044,0.0012
KENYA,PHS001,4,2,2045,0.0012
KENYA,PHS001,4,2,2046,0.0012
KENYA,PHS001,4,2,2047,0.0012
KENYA,PHS001,4,2,2048,0.0012
KENYA,PHS001,4,2,2049,0.0012
KENYA,PHS001,4,2,2050,0.0012
KENYA,PHS002,1,1,2034,0.0008
KENYA,PHS002,1,1,2035,0.0016
KENYA,PHS002,1,1,2036,0.0016
KENYA,PHS002,1,1,2037,0.0016
KENYA,PHS002,1,1,2038,0.0016
KENYA,PHS002,1,1,2039,0.0016
KENYA,PHS002,1,1,2040,0.0016
KENYA,PHS002,1,1,2041,0.0016
KENYA,PHS002,1,1,2042,0.0016
KENYA,PHS002,1,1,2043,0.0016
KENYA,PHS002,1,1,2044,0.0016
KENYA,PHS002,1,1,2045,0.0016
KENYA,PHS002,1,1,2046,0.0016
KENYA,PHS002,1,1,2047,0.0016
KENYA,PHS002,1,1,2048,0.0016
KENYA,PHS002,1,1,2049,0.0016
KENYA,PHS002,1,1,2050,0.0016
KENYA,PHS002,1,2,2034,0.0008
KENYA,PHS002,1,2,2035,0.0016
KENYA,PHS002,1,2,2036,0.0016
KENYA,PHS002,1,2,2037,0.0016
KENYA,PHS002,1,2,2038,0.0016
KENYA,PHS002,1,2,2039,0.0016
KENYA,PHS002,1,2,2040,0.0016
KENYA,PHS002,1,2,2041,0.0016
KENYA,PHS002,1,2,2042,0.0016
KENYA,PHS002,1,2,2043,0.0016
KENYA,PHS002,1,2,2044,0.0016
KENYA,PHS002,1,2,2045,0.0016
KENYA,PHS002,1,2,2046,0.0016
KENYA,PHS002,1,2,2047,0.0016
KENYA,PHS002,1,2,2048,0.0016
KENYA,PHS002,1,2,2049,0.0016
KENYA,PHS002,1,2,2050,0.0016
KENYA,PHS002,2,1,2034,0.0008
KENYA,PHS002,2,1,2035,0.0016
KENYA,PHS002,2,1,2036,0.0016
KENYA,PHS002,2,1,2037,0.0016
KENYA,PHS002,2,1,2038,0.0016
KENYA,PHS002,2,1,2039,0.0016
KENYA,PHS002,2,1,2040,0.0016
KENYA,PHS002,2,1,2041,0.0016
KENYA,PHS002,2,1,2042,0.0016
KENYA,PHS002,2,1,2043,0.0016
KENYA,PHS002,2,1,2044,0.0016
KENYA,PHS002,2,1,2045,0.0016
