r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,2,1,1,2043,5.9752
KENYA,BESS001,2,1,1,2044,7.6367
KENYA,BESS001,2,1,1,2045,8.9856
KENYA,BESS001,2,1,1,2046,11.1483
KENYA,BESS001,2,1,1,2047,13.4965
KENYA,BESS001,2,1,1,2048,13.7759
KENYA,BESS001,2,1,1,2049,13.8152
KENYA,BESS001,2,1,1,2050,13.3904
KENYA,BESS001,2,1,2,2025,-0.1169
KENYA,BESS001,2,1,2,2029,-1.7257
KENYA,BESS001,2,1,2,2031,-2.2478
KENYA,BESS001,2,1,2,2032,-2.7221
KENYA,BESS001,2,1,2,2033,-2.7221
KENYA,BESS001,2,1,2,2034,-2.5174
KENYA,BESS001,2,1,2,2035,-0.1377
KENYA,BESS001,2,1,2,2036,-0.8841
KENYA,BESS001,2,1,2,2037,-1.1169
KENYA,BESS001,2,1,2,2038,-1.1963
KENYA,BESS001,2,1,2,2039,-1.4626
KENYA,BESS001,2,1,2,2040,-3.7225
KENYA,BESS001,2,1,2,2041,-4.8386
KENYA,BESS001,2,1,2,2042,-4.8386
KENYA,BESS001,2,1,2,2043,-5.9752
KENYA,BESS001,2,1,2,2044,-7.6367
KENYA,BESS001,2,1,2,2045,-8.9856
KENYA,BESS001,2,1,2,2046,-10.8204
KENYA,BESS001,2,1,2,2047,-13.2884
KENYA,BESS001,2,1,2,2048,-12.8979
KENYA,BESS001,2,1,2,2049,-8.698
KENYA,BESS001,2,1,2,2050,-8.5795
KENYA,BESS001,2,1,3,2027,1.6959
KENYA,BESS001,2,1,3,2029,-0.2965
KENYA,BESS001,2,1,3,2031,-0.5586
KENYA,BESS001,2,1,3,2032,-0.4615
KENYA,BESS001,2,1,3,2033,-0.3614
KENYA,BESS001,2,1,3,2034,-0.0939
KENYA,BESS001,2,1,3,2035,-0.1377
KENYA,BESS001,2,1,3,2036,-0.1748
KENYA,BESS001,2,1,3,2037,-0.2802
KENYA,BESS001,2,1,3,2038,0.0176
KENYA,BESS001,2,1,3,2039,0.0215
KENYA,BESS001,2,1,3,2040,0.0547
KENYA,BESS001,2,1,3,2041,-0.3056
KENYA,BESS001,2,1,3,2042,-0.4899
KENYA,BESS001,2,1,3,2043,-0.3792
KENYA,BESS001,2,1,3,2044,-0.3987
KENYA,BESS001,2,1,3,2045,0.1321
KENYA,BESS001,2,1,3,2047,0.0095
KENYA,BESS001,2,1,3,2050,2.0629
KENYA,BESS001,2,1,4,2024,-0.2048
KENYA,BESS001,2,1,4,2025,-2.6007
KENYA,BESS001,2,1,4,2026,-2.7221
KENYA,BESS001,2,1,4,2027,-2.1772
KENYA,BESS001,2,1,4,2028,-2.7027
KENYA,BESS001,2,1,4,2029,-1.7828
KENYA,BESS001,2,1,4,2030,-2.4195
KENYA,BESS001,2,1,4,2031,-2.3635
KENYA,BESS001,2,1,4,2032,-1.5211
KENYA,BESS001,2,1,4,2033,-2.1287
KENYA,BESS001,2,1,4,2034,-2.5174
KENYA,BESS001,2,1,4,2035,0.0689
KENYA,BESS001,2,1,4,2036,-0.6064
KENYA,BESS001,2,1,4,2037,-0.6784
KENYA,BESS001,2,1,4,2038,-1.1963
KENYA,BESS001,2,1,4,2039,-1.4626
KENYA,BESS001,2,1,4,2040,-3.7225
KENYA,BESS001,2,1,4,2041,-4.8386
KENYA,BESS001,2,1,4,2042,-4.0092
KENYA,BESS001,2,1,4,2043,-5.2848
KENYA,BESS001,2,1,4,2044,-6.8814
KENYA,BESS001,2,1,4,2045,-8.9856
KENYA,BESS001,2,1,4,2046,-11.1483
KENYA,BESS001,2,1,4,2047,-13.371
KENYA,BESS001,2,1,4,2048,-13.2664
KENYA,BESS001,2,1,4,2049,-14.9582
KENYA,BESS001,2,1,4,2050,-16.7201
KENYA,BESS001,2,1,5,2024,0.2048
KENYA,BESS001,2,1,5,2025,-0.4226
KENYA,BESS001,2,1,5,2026,0.7763
KENYA,BESS001,2,1,5,2027,-0.6595
KENYA,BESS001,2,1,5,2028,-0.9846
KENYA,BESS001,2,1,5,2029,0.3877
KENYA,BESS001,2,1,5,2030,-0.8856
KENYA,BESS001,2,1,5,2031,-0.4774
KENYA,BESS001,2,1,5,2032,-1.6113
KENYA,BESS001,2,1,5,2033,-2.7221
KENYA,BESS001,2,1,5,2034,-2.1302
KENYA,BESS001,2,1,5,2035,-0.1377
KENYA,BESS001,2,1,5,2036,-0.8841
KENYA,BESS001,2,1,5,2037,-1.1169
KENYA,BESS001,2,1,5,2038,-1.1963
KENYA,BESS001,2,1,5,2039,-1.4626
KENYA,BESS001,2,1,5,2040,-3.7225
KENYA,BESS001,2,1,5,2041,-3.7249
KENYA,BESS001,2,1,5,2042,-4.8386
KENYA,BESS001,2,1,5,2043,-5.9752
KENYA,BESS001,2,1,5,2044,-7.6367
KENYA,BESS001,2,1,5,2045,-8.9856
KENYA,BESS001,2,1,5,2046,-11.1483
KENYA,BESS001,2,1,5,2047,-13.4965
KENYA,BESS001,2,1,5,2048,-14.202
KENYA,BESS001,2,1,5,2049,-17.0989
KENYA,BESS001,2,1,5,2050,-17.7963
KENYA,BESS001,2,1,6,2024,0.1385
KENYA,BESS001,2,1,6,2025,2.7221
KENYA,BESS001,2,1,6,2029,2.7221
KENYA,BESS001,2,1,6,2031,1.4413
KENYA,BESS001,2,1,6,2032,2.7221
KENYA,BESS001,2,1,6,2033,2.7221
KENYA,BESS001,2,1,6,2034,2.5174
KENYA,BESS001,2,1,6,2035,0.1377
KENYA,BESS001,2,1,6,2036,0.8841
KENYA,BESS001,2,1,6,2037,1.1169
KENYA,BESS001,2,1,6,2038,1.1963
KENYA,BESS001,2,1,6,2039,1.4626
KENYA,BESS001,2,1,6,2040,3.7225
KENYA,BESS001,2,1,6,2041,4.8386
KENYA,BESS001,2,1,6,2042,4.8386
KENYA,BESS001,2,1,6,2043,5.9752
KENYA,BESS001,2,1,6,2044,7.6367
