r,t,y,TotalTechnologyAnnualActivity
KENYA,MINWND,2039,13.1124
KENYA,MINWND,2040,15.3309
KENYA,MINWND,2041,16.6056
KENYA,MINWND,2042,20.4012
KENYA,MINWND,2043,24.5022
KENYA,MINWND,2044,29.5307
KENYA,MINWND,2045,35.5799
KENYA,MINWND,2046,42.3933
KENYA,MINWND,2047,51.4985
KENYA,MINWND,2048,61.0157
KENYA,MINWND,2049,67.4177
KENYA,MINWND,2050,75.7249
KENYA,PWRBIO001,2019,0.0315
KENYA,PWRBIO001,2020,0.0315
KENYA,PWRBIO001,2021,0.0315
KENYA,PWRBIO001,2022,0.0315
KENYA,PWRBIO001,2023,0.0536
KENYA,PWRBIO001,2024,0.0536
KENYA,PWRBIO001,2025,0.0536
KENYA,PWRBIO001,2026,0.2112
KENYA,PWRBIO001,2027,0.2112
KENYA,PWRBIO001,2028,0.3374
KENYA,PWRBIO001,2029,0.3374
KENYA,PWRBIO001,2030,1.0972
KENYA,PWRBIO001,2031,1.4125
KENYA,PWRBIO001,2032,1.5828
KENYA,PWRBIO001,2033,1.6301
KENYA,PWRBIO001,2034,1.7247
KENYA,PWRBIO001,2035,1.7294
KENYA,PWRBIO001,2036,1.8697
KENYA,PWRBIO001,2037,1.8697
KENYA,PWRBIO001,2038,2.1503
KENYA,PWRBIO001,2039,2.1503
KENYA,PWRBIO001,2040,2.1503
KENYA,PWRBIO001,2041,2.1503
KENYA,PWRBIO001,2042,2.7116
KENYA,PWRBIO001,2043,2.8519
KENYA,PWRBIO001,2044,2.9922
KENYA,PWRBIO001,2045,3.1325
KENYA,PWRBIO001,2046,3.2728
KENYA,PWRBIO001,2047,3.4131
KENYA,PWRBIO001,2048,3.4131
KENYA,PWRBIO001,2049,3.4131
KENYA,PWRBIO001,2050,3.4131
KENYA,PWRDIST,2019,45.2992
KENYA,PWRDIST,2020,46.0963
KENYA,PWRDIST,2021,48.1497
KENYA,PWRDIST,2022,49.7134
KENYA,PWRDIST,2023,51.0728
KENYA,PWRDIST,2024,52.7433
KENYA,PWRDIST,2025,54.5992
KENYA,PWRDIST,2026,56.1896
KENYA,PWRDIST,2027,59.2532
KENYA,PWRDIST,2028,62.6198
KENYA,PWRDIST,2029,66.4146
KENYA,PWRDIST,2030,70.0744
KENYA,PWRDIST,2031,73.5814
KENYA,PWRDIST,2032,77.6614
KENYA,PWRDIST,2033,81.6008
KENYA,PWRDIST,2034,85.9252
KENYA,PWRDIST,2035,90.4002
KENYA,PWRDIST,2036,95.0004
KENYA,PWRDIST,2037,100.5754
KENYA,PWRDIST,2038,106.3824
KENYA,PWRDIST,2039,112.5223
KENYA,PWRDIST,2040,119.0315
KENYA,PWRDIST,2041,125.8895
KENYA,PWRDIST,2042,132.9869
KENYA,PWRDIST,2043,140.5561
KENYA,PWRDIST,2044,148.5288
KENYA,PWRDIST,2045,156.9573
KENYA,PWRDIST,2046,165.8514
KENYA,PWRDIST,2047,175.2192
KENYA,PWRDIST,2048,185.1236
KENYA,PWRDIST,2049,195.575
KENYA,PWRDIST,2050,206.5812
KENYA,PWRGEO001,2019,0.4472
KENYA,PWRGEO001,2020,0.4472
KENYA,PWRGEO001,2021,0.4472
KENYA,PWRGEO001,2022,0.4472
KENYA,PWRGEO001,2023,0.4472
KENYA,PWRGEO002,2019,4.1736
KENYA,PWRGEO002,2020,4.1736
KENYA,PWRGEO002,2021,4.1736
KENYA,PWRGEO002,2022,4.1736
KENYA,PWRGEO002,2023,4.1736
KENYA,PWRGEO002,2024,4.1736
KENYA,PWRGEO002,2025,4.1736
KENYA,PWRGEO002,2026,4.1736
KENYA,PWRGEO002,2027,4.1736
KENYA,PWRGEO002,2028,4.1736
KENYA,PWRGEO002,2029,4.1736
KENYA,PWRGEO002,2030,4.1736
KENYA,PWRGEO002,2031,4.1736
KENYA,PWRGEO002,2032,4.1736
KENYA,PWRGEO002,2033,4.1736
KENYA,PWRGEO002,2034,4.1736
KENYA,PWRGEO002,2035,4.1736
KENYA,PWRGEO002,2036,4.1736
KENYA,PWRGEO002,2037,4.1736
KENYA,PWRGEO002,2038,4.1736
