r,t,y,AnnualFixedOperatingCost
KENYA,PWRGEO018,2039,9.1008
KENYA,PWRGEO018,2040,9.1008
KENYA,PWRGEO018,2041,9.1008
KENYA,PWRGEO018,2042,9.1008
KENYA,PWRGEO018,2043,9.1008
KENYA,PWRGEO018,2044,9.1008
KENYA,PWRGEO018,2045,9.1008
KENYA,PWRGEO018,2046,9.1008
KENYA,PWRGEO018,2047,9.1008
KENYA,PWRGEO018,2048,9.1008
KENYA,PWRGEO018,2049,9.1008
KENYA,PWRGEO018,2050,9.1008
KENYA,PWRGEO019,2037,15.178
KENYA,PWRGEO019,2038,15.178
KENYA,PWRGEO019,2039,15.178
KENYA,PWRGEO019,2040,15.178
KENYA,PWRGEO019,2041,15.178
KENYA,PWRGEO019,2042,15.178
KENYA,PWRGEO019,2043,15.178
KENYA,PWRGEO019,2044,15.178
KENYA,PWRGEO019,2045,15.178
KENYA,PWRGEO019,2046,15.178
KENYA,PWRGEO019,2047,15.178
KENYA,PWRGEO019,2048,15.178
KENYA,PWRGEO019,2049,15.178
KENYA,PWRGEO019,2050,15.178
KENYA,PWRGEO020,2040,14.978
KENYA,PWRGEO020,2041,14.978
KENYA,PWRGEO020,2042,14.978
KENYA,PWRGEO020,2043,14.978
KENYA,PWRGEO020,2044,14.978
KENYA,PWRGEO020,2045,14.978
KENYA,PWRGEO020,2046,14.978
KENYA,PWRGEO020,2047,14.978
KENYA,PWRGEO020,2048,14.978
KENYA,PWRGEO020,2049,14.978
KENYA,PWRGEO020,2050,14.978
KENYA,PWRGEO021,2040,0.6666
KENYA,PWRGEO021,2041,15.178
KENYA,PWRGEO021,2042,15.178
KENYA,PWRGEO021,2043,15.178
KENYA,PWRGEO021,2044,15.178
KENYA,PWRGEO021,2045,15.178
KENYA,PWRGEO021,2046,15.178
KENYA,PWRGEO021,2047,15.178
KENYA,PWRGEO021,2048,15.178
KENYA,PWRGEO021,2049,15.178
KENYA,PWRGEO021,2050,15.178
KENYA,PWRGEO024,2031,15.748
KENYA,PWRGEO024,2032,15.748
KENYA,PWRGEO024,2033,15.748
KENYA,PWRGEO024,2034,15.748
KENYA,PWRGEO024,2035,15.748
KENYA,PWRGEO024,2036,15.748
KENYA,PWRGEO024,2037,15.748
KENYA,PWRGEO024,2038,15.748
KENYA,PWRGEO024,2039,15.748
KENYA,PWRGEO024,2040,15.748
KENYA,PWRGEO024,2041,15.748
KENYA,PWRGEO024,2042,15.748
KENYA,PWRGEO024,2043,15.748
KENYA,PWRGEO024,2044,15.748
KENYA,PWRGEO024,2045,15.748
KENYA,PWRGEO024,2046,15.748
KENYA,PWRGEO024,2047,15.748
KENYA,PWRGEO024,2048,15.748
KENYA,PWRGEO024,2049,15.748
KENYA,PWRGEO024,2050,15.748
KENYA,PWRGEO025,2041,15.178
KENYA,PWRGEO025,2042,15.178
KENYA,PWRGEO025,2043,15.178
KENYA,PWRGEO025,2044,15.178
KENYA,PWRGEO025,2045,15.178
KENYA,PWRGEO025,2046,15.178
KENYA,PWRGEO025,2047,15.178
KENYA,PWRGEO025,2048,15.178
KENYA,PWRGEO025,2049,15.178
KENYA,PWRGEO025,2050,15.178
KENYA,PWRGEO026,2040,15.178
KENYA,PWRGEO026,2041,15.178
KENYA,PWRGEO026,2042,15.178
KENYA,PWRGEO026,2043,15.178
KENYA,PWRGEO026,2044,15.178
KENYA,PWRGEO026,2045,15.178
KENYA,PWRGEO026,2046,15.178
KENYA,PWRGEO026,2047,15.178
KENYA,PWRGEO026,2048,15.178
KENYA,PWRGEO026,2049,15.178
KENYA,PWRGEO026,2050,15.178
KENYA,PWRGEO027,2025,5.3123
KENYA,PWRGEO027,2026,5.3123
KENYA,PWRGEO027,2027,5.3123
KENYA,PWRGEO027,2028,5.3123
KENYA,PWRGEO027,2029,5.3123
KENYA,PWRGEO027,2030,5.3123
KENYA,PWRGEO027,2031,5.3123
KENYA,PWRGEO027,2032,5.3123
KENYA,PWRGEO027,2033,5.3123
KENYA,PWRGEO027,2034,5.3123
KENYA,PWRGEO027,2035,5.3123
KENYA,PWRGEO027,2036,5.3123
KENYA,PWRGEO027,2037,5.3123
KENYA,PWRGEO027,2038,5.3123
KENYA,PWRGEO027,2039,5.3123
KENYA,PWRGEO027,2040,5.3123
KENYA,PWRGEO027,2041,5.3123
KENYA,PWRGEO027,2042,5.3123
KENYA,PWRGEO027,2043,5.3123
KENYA,PWRGEO027,2044,5.3123
KENYA,PWRGEO027,2045,5.3123
KENYA,PWRGEO027,2046,5.3123
KENYA,PWRGEO027,2047,5.3123
KENYA,PWRGEO027,2048,5.3123
KENYA,PWRGEO027,2049,5.3123
KENYA,PWRGEO028,2028,5.3123
KENYA,PWRGEO028,2029,5.3123
KENYA,PWRGEO028,2030,5.3123
KENYA,PWRGEO028,2031,5.3123
KENYA,PWRGEO028,2032,5.3123
KENYA,PWRGEO028,2033,5.3123
KENYA,PWRGEO028,2034,5.3123
KENYA,PWRGEO028,2035,5.3123
KENYA,PWRGEO028,2036,5.3123
KENYA,PWRGEO028,2037,5.3123
KENYA,PWRGEO028,2038,5.3123
KENYA,PWRGEO028,2039,5.3123
KENYA,PWRGEO028,2040,5.3123
KENYA,PWRGEO028,2041,5.3123
KENYA,PWRGEO028,2042,5.3123
KENYA,PWRGEO028,2043,5.3123
KENYA,PWRGEO028,2044,5.3123
KENYA,PWRGEO028,2045,5.3123
KENYA,PWRGEO028,2046,5.3123
KENYA,PWRGEO028,2047,5.3123
KENYA,PWRGEO028,2048,5.3123
KENYA,PWRGEO028,2049,5.3123
KENYA,PWRGEO028,2050,5.3123
KENYA,PWRGEO029,2038,15.178
KENYA,PWRGEO029,2039,15.178
KENYA,PWRGEO029,2040,15.178
KENYA,PWRGEO029,2041,15.178
KENYA,PWRGEO029,2042,15.178
KENYA,PWRGEO029,2043,15.178
KENYA,PWRGEO029,2044,15.178
KENYA,PWRGEO029,2045,15.178
KENYA,PWRGEO029,2046,15.178
KENYA,PWRGEO029,2047,15.178
KENYA,PWRGEO029,2048,15.178
KENYA,PWRGEO029,2049,15.178
KENYA,PWRGEO029,2050,15.178
KENYA,PWRGEO030,2039,15.178
KENYA,PWRGEO030,2040,15.178
KENYA,PWRGEO030,2041,15.178
KENYA,PWRGEO030,2042,15.178
KENYA,PWRGEO030,2043,15.178
KENYA,PWRGEO030,2044,15.178
KENYA,PWRGEO030,2045,15.178
KENYA,PWRGEO030,2046,15.178
KENYA,PWRGEO030,2047,15.178
KENYA,PWRGEO030,2048,15.178
KENYA,PWRGEO030,2049,15.178
KENYA,PWRGEO030,2050,15.178
KENYA,PWRGEO031,2040,14.978
KENYA,PWRGEO031,2041,14.978
KENYA,PWRGEO031,2042,14.978
KENYA,PWRGEO031,2043,14.978
KENYA,PWRGEO031,2044,14.978
KENYA,PWRGEO031,2045,14.978
KENYA,PWRGEO031,2046,14.978
KENYA,PWRGEO031,2047,14.978
KENYA,PWRGEO031,2048,14.978
KENYA,PWRGEO031,2049,14.978
KENYA,PWRGEO031,2050,14.978
KENYA,PWRGEO033,2025,3.0376
KENYA,PWRGEO033,2026,3.0376
KENYA,PWRGEO033,2027,3.0376
KENYA,PWRGEO033,2028,3.0376
KENYA,PWRGEO033,2029,3.0376
KENYA,PWRGEO033,2030,3.0376
KENYA,PWRGEO033,2031,3.0376
KENYA,PWRGEO033,2032,3.0376
KENYA,PWRGEO033,2033,3.0376
KENYA,PWRGEO033,2034,3.0376
KENYA,PWRGEO033,2035,3.0376
KENYA,PWRGEO033,2036,3.0376
KENYA,PWRGEO033,2037,3.0376
KENYA,PWRGEO033,2038,3.0376
KENYA,PWRGEO033,2039,3.0376
KENYA,PWRGEO033,2040,3.0376
KENYA,PWRGEO033,2041,3.0376
KENYA,PWRGEO033,2042,3.0376
KENYA,PWRGEO033,2043,3.0376
KENYA,PWRGEO033,2044,3.0376
KENYA,PWRGEO033,2045,3.0376
KENYA,PWRGEO033,2046,3.0376
KENYA,PWRGEO033,2047,3.0376
KENYA,PWRGEO033,2048,3.0376
KENYA,PWRGEO033,2049,3.0376
KENYA,PWRGEO034,2041,5.3368
KENYA,PWRGEO034,2042,5.3368
KENYA,PWRGEO034,2043,5.3368
KENYA,PWRGEO034,2044,5.3368
KENYA,PWRGEO034,2045,5.3368
KENYA,PWRGEO034,2046,5.3368
KENYA,PWRGEO034,2047,5.3368
KENYA,PWRGEO034,2048,5.3368
