r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,2,4,2040,0.0122
KENYA,BESS001,1,2,4,2041,0.0874
KENYA,BESS001,1,2,4,2042,0.0874
KENYA,BESS001,1,2,4,2043,0.1528
KENYA,BESS001,1,2,4,2044,0.166
KENYA,BESS001,1,2,4,2045,0.1802
KENYA,BESS001,1,2,4,2046,0.1956
KENYA,BESS001,1,2,4,2047,0.1894
KENYA,BESS001,1,2,4,2048,0.2302
KENYA,BESS001,1,2,4,2049,0.266
KENYA,BESS001,1,2,4,2050,0.2705
KENYA,BESS001,1,2,5,2025,-0.0037
KENYA,BESS001,1,2,5,2026,-0.0114
KENYA,BESS001,1,2,5,2027,-0.011
KENYA,BESS001,1,2,5,2028,-0.026
KENYA,BESS001,1,2,5,2029,-0.0275
KENYA,BESS001,1,2,5,2030,-0.017
KENYA,BESS001,1,2,5,2031,-0.0125
KENYA,BESS001,1,2,5,2032,-0.0178
KENYA,BESS001,1,2,5,2033,-0.0522
KENYA,BESS001,1,2,5,2034,-0.0625
KENYA,BESS001,1,2,5,2035,-0.0588
KENYA,BESS001,1,2,5,2036,-0.0492
KENYA,BESS001,1,2,5,2037,-0.0434
KENYA,BESS001,1,2,5,2038,-0.027
KENYA,BESS001,1,2,5,2039,-0.0189
KENYA,BESS001,1,2,5,2040,-0.0061
KENYA,BESS001,1,2,5,2041,-0.0441
KENYA,BESS001,1,2,5,2042,-0.0441
KENYA,BESS001,1,2,5,2043,-0.0822
KENYA,BESS001,1,2,5,2044,-0.1034
KENYA,BESS001,1,2,5,2045,-0.1369
KENYA,BESS001,1,2,5,2046,-0.155
KENYA,BESS001,1,2,5,2047,-0.1847
KENYA,BESS001,1,2,5,2048,-0.184
KENYA,BESS001,1,2,5,2049,-0.184
KENYA,BESS001,1,2,5,2050,-0.1786
KENYA,BESS001,1,2,6,2026,0.0073
KENYA,BESS001,1,2,6,2028,0.0374
KENYA,BESS001,1,2,6,2029,0.0571
KENYA,BESS001,1,2,6,2032,0.0055
KENYA,BESS001,1,2,6,2033,0.0234
KENYA,BESS001,1,2,6,2034,0.0783
KENYA,BESS001,1,2,6,2036,0.014
KENYA,BESS001,1,2,6,2038,0.0175
KENYA,BESS001,1,2,6,2039,-0.0191
KENYA,BESS001,1,2,6,2040,0.0092
KENYA,BESS001,1,2,6,2041,-0.0657
KENYA,BESS001,1,2,6,2042,-0.0657
KENYA,BESS001,1,2,6,2043,-0.1225
KENYA,BESS001,1,2,6,2044,-0.1543
KENYA,BESS001,1,2,6,2045,-0.2043
KENYA,BESS001,1,2,6,2046,-0.2311
KENYA,BESS001,1,2,6,2047,-0.2326
KENYA,BESS001,1,2,6,2048,-0.2396
KENYA,BESS001,1,2,6,2049,-0.2521
KENYA,BESS001,1,2,6,2050,-0.2009
KENYA,BESS001,2,1,1,2025,0.0032
KENYA,BESS001,2,1,1,2028,0.0114
KENYA,BESS001,2,1,1,2031,0.051
KENYA,BESS001,2,1,1,2033,0.0435
KENYA,BESS001,2,1,1,2035,0.015
KENYA,BESS001,2,1,1,2036,0.0841
KENYA,BESS001,2,1,1,2037,0.1127
KENYA,BESS001,2,1,1,2039,0.0957
KENYA,BESS001,2,1,1,2040,0.031
