r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,2,1,4,2045,-16.9247
KENYA,BESS001,2,1,4,2046,-14.9956
KENYA,BESS001,2,1,4,2047,-16.1586
KENYA,BESS001,2,1,4,2048,-22.6992
KENYA,BESS001,2,1,4,2049,0.5597
KENYA,BESS001,2,1,4,2050,-4.8371
KENYA,BESS001,2,1,5,2025,0.5992
KENYA,BESS001,2,1,5,2026,0.8444
KENYA,BESS001,2,1,5,2027,1.4242
KENYA,BESS001,2,1,5,2028,-0.7123
KENYA,BESS001,2,1,5,2029,-0.4184
KENYA,BESS001,2,1,5,2030,2.3966
KENYA,BESS001,2,1,5,2031,3.654
KENYA,BESS001,2,1,5,2032,3.4802
KENYA,BESS001,2,1,5,2033,-1.4786
KENYA,BESS001,2,1,5,2034,-9.4253
KENYA,BESS001,2,1,5,2035,-9.9686
KENYA,BESS001,2,1,5,2036,-8.3349
KENYA,BESS001,2,1,5,2037,-7.3488
KENYA,BESS001,2,1,5,2038,-4.5702
KENYA,BESS001,2,1,5,2039,-3.2101
KENYA,BESS001,2,1,5,2040,-1.0419
KENYA,BESS001,2,1,5,2041,-7.4662
KENYA,BESS001,2,1,5,2042,-7.4662
KENYA,BESS001,2,1,5,2043,-13.9256
KENYA,BESS001,2,1,5,2044,-17.5286
KENYA,BESS001,2,1,5,2045,-23.2115
KENYA,BESS001,2,1,5,2046,-26.2658
KENYA,BESS001,2,1,5,2047,-31.3047
KENYA,BESS001,2,1,5,2048,-31.188
KENYA,BESS001,2,1,5,2049,-31.188
KENYA,BESS001,2,1,5,2050,-30.2628
KENYA,BESS001,2,1,6,2025,0.0811
KENYA,BESS001,2,1,6,2026,0.1556
KENYA,BESS001,2,1,6,2028,1.0224
KENYA,BESS001,2,1,6,2029,2.0653
KENYA,BESS001,2,1,6,2030,4.8596
KENYA,BESS001,2,1,6,2032,3.9689
KENYA,BESS001,2,1,6,2034,4.2075
KENYA,BESS001,2,1,6,2035,9.9686
KENYA,BESS001,2,1,6,2036,8.3349
KENYA,BESS001,2,1,6,2037,7.3488
KENYA,BESS001,2,1,6,2038,2.4335
KENYA,BESS001,2,1,6,2039,0.0944
KENYA,BESS001,2,1,6,2040,0.0306
KENYA,BESS001,2,1,6,2041,1.1116
KENYA,BESS001,2,1,6,2042,-1.9762
KENYA,BESS001,2,1,6,2043,-1.3247
KENYA,BESS001,2,1,6,2044,-14.1259
KENYA,BESS001,2,1,6,2045,-12.68
KENYA,BESS001,2,1,6,2046,-13.7065
KENYA,BESS001,2,1,6,2047,-14.7396
KENYA,BESS001,2,1,6,2048,-12.5257
KENYA,BESS001,2,1,6,2049,-18.372
KENYA,BESS001,2,1,6,2050,-19.2049
KENYA,BESS001,2,2,1,2025,0.4492
KENYA,BESS001,2,2,1,2026,1.2624
KENYA,BESS001,2,2,1,2027,3.2428
KENYA,BESS001,2,2,1,2028,0.8995
KENYA,BESS001,2,2,1,2029,7.4984
KENYA,BESS001,2,2,1,2030,1.6498
KENYA,BESS001,2,2,1,2031,8.2937
KENYA,BESS001,2,2,1,2032,4.394
KENYA,BESS001,2,2,1,2033,5.993
KENYA,BESS001,2,2,1,2034,10.5917
KENYA,BESS001,2,2,1,2035,9.9686
KENYA,BESS001,2,2,1,2036,8.2144
KENYA,BESS001,2,2,1,2037,7.3488
KENYA,BESS001,2,2,1,2038,4.5702
KENYA,BESS001,2,2,1,2039,3.2101
KENYA,BESS001,2,2,1,2040,1.0419
KENYA,BESS001,2,2,1,2041,7.4662
KENYA,BESS001,2,2,1,2042,7.4662
KENYA,BESS001,2,2,1,2043,13.9256
KENYA,BESS001,2,2,1,2044,17.5286
KENYA,BESS001,2,2,1,2045,23.2115
KENYA,BESS001,2,2,1,2046,26.2658
KENYA,BESS001,2,2,1,2047,31.3047
KENYA,BESS001,2,2,1,2048,31.188
KENYA,BESS001,2,2,1,2049,31.188
KENYA,BESS001,2,2,1,2050,30.2628
KENYA,BESS001,2,2,2,2025,-0.6231
KENYA,BESS001,2,2,2,2026,-2.2568
KENYA,BESS001,2,2,2,2027,-3.2428
KENYA,BESS001,2,2,2,2028,-6.1382
KENYA,BESS001,2,2,2,2029,-7.4984
KENYA,BESS001,2,2,2,2030,-10.5917
KENYA,BESS001,2,2,2,2031,-10.5917
KENYA,BESS001,2,2,2,2032,-10.5917
KENYA,BESS001,2,2,2,2033,-10.5917
KENYA,BESS001,2,2,2,2034,-10.5917
KENYA,BESS001,2,2,2,2035,-9.9686
KENYA,BESS001,2,2,2,2036,-8.3349
KENYA,BESS001,2,2,2,2037,-7.3488
KENYA,BESS001,2,2,2,2038,-4.5702
KENYA,BESS001,2,2,2,2039,-3.2101
KENYA,BESS001,2,2,2,2040,-1.0419
KENYA,BESS001,2,2,2,2041,-7.4662
KENYA,BESS001,2,2,2,2042,-7.4662
KENYA,BESS001,2,2,2,2043,-13.9256
KENYA,BESS001,2,2,2,2044,-17.5286
KENYA,BESS001,2,2,2,2045,-23.2115
KENYA,BESS001,2,2,2,2046,-26.2658
KENYA,BESS001,2,2,2,2047,-31.3047
KENYA,BESS001,2,2,2,2048,-31.188
KENYA,BESS001,2,2,2,2049,-31.188
KENYA,BESS001,2,2,2,2050,-30.2628
KENYA,BESS001,2,2,3,2025,0.6231
KENYA,BESS001,2,2,3,2026,0.5435
KENYA,BESS001,2,2,3,2027,1.7133
KENYA,BESS001,2,2,3,2028,5.7953
KENYA,BESS001,2,2,3,2029,0.2916
KENYA,BESS001,2,2,3,2030,6.2126
KENYA,BESS001,2,2,3,2032,2.2943
KENYA,BESS001,2,2,3,2033,5.6379
KENYA,BESS001,2,2,3,2034,8.1466
KENYA,BESS001,2,2,3,2035,9.9686
KENYA,BESS001,2,2,3,2036,8.3349
KENYA,BESS001,2,2,3,2037,7.3488
KENYA,BESS001,2,2,3,2038,4.5702
KENYA,BESS001,2,2,3,2039,3.2101
KENYA,BESS001,2,2,3,2040,1.0419
KENYA,BESS001,2,2,3,2041,7.4662
KENYA,BESS001,2,2,3,2042,7.4662
KENYA,BESS001,2,2,3,2043,13.9256
KENYA,BESS001,2,2,3,2044,17.5286
KENYA,BESS001,2,2,3,2045,23.2115
KENYA,BESS001,2,2,3,2046,26.2658
KENYA,BESS001,2,2,3,2047,31.3047
KENYA,BESS001,2,2,3,2048,31.188
KENYA,BESS001,2,2,3,2049,31.188
KENYA,BESS001,2,2,3,2050,30.2628
KENYA,BESS001,2,2,4,2025,-0.6231
KENYA,BESS001,2,2,4,2026,-0.4619
KENYA,BESS001,2,2,4,2027,-3.2428
KENYA,BESS001,2,2,4,2028,-2.396
KENYA,BESS001,2,2,4,2029,-2.334
KENYA,BESS001,2,2,4,2030,0.4829
KENYA,BESS001,2,2,4,2031,-0.1661
KENYA,BESS001,2,2,4,2032,1.2306
KENYA,BESS001,2,2,4,2033,-3.78
KENYA,BESS001,2,2,4,2034,-10.5917
KENYA,BESS001,2,2,4,2035,-9.9686
KENYA,BESS001,2,2,4,2036,-8.3349
KENYA,BESS001,2,2,4,2037,-7.3488
KENYA,BESS001,2,2,4,2038,-4.5702
KENYA,BESS001,2,2,4,2039,-3.1403
KENYA,BESS001,2,2,4,2040,-1.0193
KENYA,BESS001,2,2,4,2041,-7.3039
KENYA,BESS001,2,2,4,2042,-7.4662
KENYA,BESS001,2,2,4,2043,-13.6229
KENYA,BESS001,2,2,4,2044,-17.1475
KENYA,BESS001,2,2,4,2045,-22.7069
KENYA,BESS001,2,2,4,2046,-26.2658
KENYA,BESS001,2,2,4,2047,-30.6242
KENYA,BESS001,2,2,4,2048,-30.51
KENYA,BESS001,2,2,4,2049,-31.188
KENYA,BESS001,2,2,4,2050,-29.6049
KENYA,BESS001,2,2,5,2025,-0.082
KENYA,BESS001,2,2,5,2026,2.2568
KENYA,BESS001,2,2,5,2027,1.4201
KENYA,BESS001,2,2,5,2028,3.1464
KENYA,BESS001,2,2,5,2029,3.8057
KENYA,BESS001,2,2,5,2030,7.1036
KENYA,BESS001,2,2,5,2031,7.1261
KENYA,BESS001,2,2,5,2032,9.0792
KENYA,BESS001,2,2,5,2033,4.4876
KENYA,BESS001,2,2,5,2034,-2.9022
KENYA,BESS001,2,2,5,2035,-9.5352
KENYA,BESS001,2,2,5,2036,-7.6163
KENYA,BESS001,2,2,5,2037,-7.0293
KENYA,BESS001,2,2,5,2038,-4.3715
KENYA,BESS001,2,2,5,2039,-3.2101
KENYA,BESS001,2,2,5,2040,-1.0419
KENYA,BESS001,2,2,5,2041,-7.4662
KENYA,BESS001,2,2,5,2042,-7.1416
KENYA,BESS001,2,2,5,2043,-13.9256
KENYA,BESS001,2,2,5,2044,-17.5286
KENYA,BESS001,2,2,5,2045,-23.2115
KENYA,BESS001,2,2,5,2046,-25.1238
KENYA,BESS001,2,2,5,2047,-31.3047
KENYA,BESS001,2,2,5,2048,-31.188
KENYA,BESS001,2,2,5,2049,-29.832
KENYA,BESS001,2,2,5,2050,-30.2628
KENYA,BESS001,2,2,6,2025,-0.6231
KENYA,BESS001,2,2,6,2026,-2.2568
KENYA,BESS001,2,2,6,2027,-3.2428
KENYA,BESS001,2,2,6,2028,-6.1382
KENYA,BESS001,2,2,6,2029,-7.4984
KENYA,BESS001,2,2,6,2030,-10.5917
KENYA,BESS001,2,2,6,2031,-10.5917
KENYA,BESS001,2,2,6,2032,-10.5917
KENYA,BESS001,2,2,6,2033,-10.5917
KENYA,BESS001,2,2,6,2034,-10.5917
KENYA,BESS001,2,2,6,2035,-9.9686
KENYA,BESS001,2,2,6,2036,-8.3349
KENYA,BESS001,2,2,6,2037,-7.3488
KENYA,BESS001,2,2,6,2038,-4.5702
KENYA,BESS001,2,2,6,2039,-3.2101
KENYA,BESS001,2,2,6,2040,-1.0419
