r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,MINGEO,1,2030,133.4743
KENYA,MINGEO,1,2031,148.659
KENYA,MINGEO,1,2032,153.4938
KENYA,MINGEO,1,2033,158.5906
KENYA,MINGEO,1,2034,176.3809
KENYA,MINGEO,1,2035,183.0885
KENYA,MINGEO,1,2036,202.5768
KENYA,MINGEO,1,2037,219.9354
KENYA,MINGEO,1,2038,233.3119
KENYA,MINGEO,1,2039,260.8897
KENYA,MINGEO,1,2040,307.0495
KENYA,MINGEO,1,2041,304.0049
KENYA,MINGEO,1,2042,318.7036
KENYA,MINGEO,1,2043,328.6998
KENYA,MINGEO,1,2044,346.3947
KENYA,MINGEO,1,2045,352.2976
KENYA,MINGEO,1,2046,374.5547
KENYA,MINGEO,1,2047,391.9918
KENYA,MINGEO,1,2048,412.9524
KENYA,MINGEO,1,2049,427.5614
KENYA,MINGEO,1,2050,438.2747
KENYA,MINHYD,1,2019,12.0376
KENYA,MINHYD,1,2020,12.0376
KENYA,MINHYD,1,2021,12.1705
KENYA,MINHYD,1,2022,12.3225
KENYA,MINHYD,1,2023,12.5934
KENYA,MINHYD,1,2024,12.8254
KENYA,MINHYD,1,2025,13.0567
KENYA,MINHYD,1,2026,13.6463
KENYA,MINHYD,1,2027,14.0897
KENYA,MINHYD,1,2028,14.4708
KENYA,MINHYD,1,2029,14.9578
KENYA,MINHYD,1,2030,15.8887
KENYA,MINHYD,1,2031,16.7705
KENYA,MINHYD,1,2032,17.5935
KENYA,MINHYD,1,2033,19.8925
KENYA,MINHYD,1,2034,20.986
KENYA,MINHYD,1,2035,22.2762
KENYA,MINHYD,1,2036,23.6407
KENYA,MINHYD,1,2037,24.8246
KENYA,MINHYD,1,2038,26.1756
KENYA,MINHYD,1,2039,26.2315
KENYA,MINHYD,1,2040,26.294
KENYA,MINHYD,1,2041,26.3618
KENYA,MINHYD,1,2042,24.7418
KENYA,MINHYD,1,2043,24.8229
KENYA,MINHYD,1,2044,24.9106
KENYA,MINHYD,1,2045,25.0077
KENYA,MINHYD,1,2046,25.114
KENYA,MINHYD,1,2047,25.2297
KENYA,MINHYD,1,2048,25.356
KENYA,MINHYD,1,2049,25.4942
KENYA,MINHYD,1,2050,25.6458
KENYA,MINSOL,1,2019,0.3111
KENYA,MINSOL,1,2020,0.3111
KENYA,MINSOL,1,2021,0.8065
KENYA,MINSOL,1,2022,1.0542
KENYA,MINSOL,1,2023,1.3112
KENYA,MINSOL,1,2024,1.5588
KENYA,MINSOL,1,2025,1.5588
KENYA,MINSOL,1,2026,1.8684
KENYA,MINSOL,1,2027,1.953
KENYA,MINSOL,1,2028,2.0686
KENYA,MINSOL,1,2029,2.2264
KENYA,MINSOL,1,2030,2.442
KENYA,MINSOL,1,2031,2.7365
KENYA,MINSOL,1,2032,4.145
KENYA,MINSOL,1,2033,4.6945
KENYA,MINSOL,1,2034,5.4451
KENYA,MINSOL,1,2035,6.4705
KENYA,MINSOL,1,2036,7.8712
KENYA,MINSOL,1,2037,9.7845
KENYA,MINSOL,1,2038,12.087
KENYA,MINSOL,1,2039,15.6572
KENYA,MINSOL,1,2040,20.5341
KENYA,MINSOL,1,2041,26.7005
KENYA,MINSOL,1,2042,32.0127
KENYA,MINSOL,1,2043,36.9823
KENYA,MINSOL,1,2044,39.7203
KENYA,MINSOL,1,2045,41.2968
KENYA,MINSOL,1,2046,40.9872
KENYA,MINSOL,1,2047,40.9026
KENYA,MINSOL,1,2048,40.787
KENYA,MINSOL,1,2049,40.6292
KENYA,MINSOL,1,2050,40.4136
KENYA,MINWND,1,2019,5.4829
KENYA,MINWND,1,2020,5.4829
KENYA,MINWND,1,2021,6.9304
KENYA,MINWND,1,2022,6.9304
KENYA,MINWND,1,2023,6.9304
KENYA,MINWND,1,2024,6.9304
KENYA,MINWND,1,2025,7.0512
KENYA,MINWND,1,2026,7.8084
KENYA,MINWND,1,2027,7.97
KENYA,MINWND,1,2028,9.3821
KENYA,MINWND,1,2029,9.6456
KENYA,MINWND,1,2030,10.4405
KENYA,MINWND,1,2031,11.306
KENYA,MINWND,1,2032,11.8548
KENYA,MINWND,1,2033,12.9498
KENYA,MINWND,1,2034,13.8447
KENYA,MINWND,1,2035,14.7633
KENYA,MINWND,1,2036,16.2226
KENYA,MINWND,1,2037,18.0862
KENYA,MINWND,1,2038,16.9975
KENYA,MINWND,1,2039,18.3022
KENYA,MINWND,1,2040,22.183
KENYA,MINWND,1,2041,25.6911
KENYA,MINWND,1,2042,32.0196
