r,t,e,m,y,AnnualTechnologyEmissionByMode
KENYA,PWRNGS002,CO2,1,2039,0.8115
KENYA,PWRNGS002,CO2,1,2040,0.5491
KENYA,PWRNGS002,CO2,1,2041,0.6039
KENYA,PWRNGS002,CO2,1,2042,0.5452
KENYA,PWRNGS002,CO2,1,2043,0.5658
KENYA,PWRNGS002,CO2,1,2044,0.631
KENYA,PWRNGS002,CO2,1,2045,0.6031
KENYA,PWRNGS002,CO2,1,2046,0.6351
KENYA,PWRNGS002,CO2,1,2047,0.6484
KENYA,PWRNGS002,CO2,1,2048,0.6129
KENYA,PWRNGS002,CO2,1,2049,0.6397
KENYA,PWRNGS002,CO2,1,2050,0.6063
KENYA,PWRNGS003,CO2,1,2041,0.5906
KENYA,PWRNGS003,CO2,1,2042,0.5796
KENYA,PWRNGS003,CO2,1,2043,0.5924
KENYA,PWRNGS003,CO2,1,2044,0.5668
KENYA,PWRNGS003,CO2,1,2045,0.7095
KENYA,PWRNGS003,CO2,1,2046,0.672
KENYA,PWRNGS003,CO2,1,2047,0.6635
KENYA,PWRNGS003,CO2,1,2048,0.6674
KENYA,PWRNGS003,CO2,1,2049,0.5804
KENYA,PWRNGS003,CO2,1,2050,0.6484
KENYA,PWRNGS004,CO2,1,2030,0.0883
KENYA,PWRNGS004,CO2,1,2031,0.0637
KENYA,PWRNGS004,CO2,1,2032,0.0754
KENYA,PWRNGS004,CO2,1,2033,0.2566
KENYA,PWRNGS004,CO2,1,2034,0.2653
KENYA,PWRNGS004,CO2,1,2035,0.2856
KENYA,PWRNGS004,CO2,1,2036,0.2842
KENYA,PWRNGS004,CO2,1,2037,0.2879
KENYA,PWRNGS004,CO2,1,2038,0.3025
KENYA,PWRNGS004,CO2,1,2039,0.2888
KENYA,PWRNGS004,CO2,1,2040,0.2888
KENYA,PWRNGS004,CO2,1,2041,0.2888
KENYA,PWRNGS004,CO2,1,2042,0.2888
KENYA,PWRNGS004,CO2,1,2043,0.2888
KENYA,PWRNGS004,CO2,1,2044,0.2888
KENYA,PWRNGS004,CO2,1,2045,0.2888
KENYA,PWRNGS004,CO2,1,2046,0.2888
KENYA,PWRNGS004,CO2,1,2047,0.2888
KENYA,PWRNGS004,CO2,1,2048,0.2888
KENYA,PWRNGS004,CO2,1,2049,0.2888
KENYA,PWRNGS004,CO2,1,2050,0.2888
KENYA,PWRNGS005,CO2,1,2033,0.014
KENYA,PWRNGS005,CO2,1,2034,0.071
KENYA,PWRNGS005,CO2,1,2035,0.0762
KENYA,PWRNGS005,CO2,1,2036,0.0784
KENYA,PWRNGS005,CO2,1,2037,0.0834
KENYA,PWRNGS005,CO2,1,2038,0.0821
KENYA,PWRNGS005,CO2,1,2039,0.0349
KENYA,PWRNGS005,CO2,1,2040,0.042
KENYA,PWRNGS005,CO2,1,2041,0.0804
KENYA,PWRNGS005,CO2,1,2042,0.0427
KENYA,PWRNGS005,CO2,1,2043,0.1062
KENYA,PWRNGS005,CO2,1,2044,0.0826
KENYA,PWRNGS005,CO2,1,2045,0.1109
KENYA,PWRNGS005,CO2,1,2046,0.0687
KENYA,PWRNGS005,CO2,1,2047,0.085
KENYA,PWRNGS005,CO2,1,2048,0.0832
KENYA,PWRNGS005,CO2,1,2049,0.0712
KENYA,PWRNGS005,CO2,1,2050,0.0637
KENYA,PWRNGS006,CO2,1,2034,0.0344
KENYA,PWRNGS006,CO2,1,2035,0.062
KENYA,PWRNGS006,CO2,1,2036,0.0498
KENYA,PWRNGS006,CO2,1,2037,0.0831
KENYA,PWRNGS006,CO2,1,2038,0.0915
KENYA,PWRNGS006,CO2,1,2039,0.0777
KENYA,PWRNGS006,CO2,1,2040,0.0301
KENYA,PWRNGS006,CO2,1,2041,0.0753
KENYA,PWRNGS006,CO2,1,2042,0.0756
KENYA,PWRNGS006,CO2,1,2043,0.0907
KENYA,PWRNGS006,CO2,1,2044,0.0918
KENYA,PWRNGS006,CO2,1,2045,0.0731
KENYA,PWRNGS006,CO2,1,2046,0.0953
KENYA,PWRNGS006,CO2,1,2047,0.0759
KENYA,PWRNGS006,CO2,1,2048,0.0795
KENYA,PWRNGS006,CO2,1,2049,0.0869
KENYA,PWRNGS006,CO2,1,2050,0.0566
KENYA,PWRNGS009,CO2,1,2033,0.032
KENYA,PWRNGS009,CO2,1,2034,0.0988
KENYA,PWRNGS009,CO2,1,2035,0.0736
KENYA,PWRNGS009,CO2,1,2036,0.1022
KENYA,PWRNGS009,CO2,1,2037,0.1163
KENYA,PWRNGS009,CO2,1,2038,0.1951
KENYA,PWRNGS009,CO2,1,2039,0.0996
KENYA,PWRNGS009,CO2,1,2040,0.0797
KENYA,PWRNGS009,CO2,1,2041,0.1371
KENYA,PWRNGS009,CO2,1,2042,0.099
KENYA,PWRNGS009,CO2,1,2043,0.1446
KENYA,PWRNGS009,CO2,1,2044,0.1177
KENYA,PWRNGS009,CO2,1,2045,0.1314
KENYA,PWRNGS009,CO2,1,2046,0.1314
KENYA,PWRNGS009,CO2,1,2047,0.1375
KENYA,PWRNGS009,CO2,1,2048,0.1392
KENYA,PWRNGS009,CO2,1,2049,0.1327
KENYA,PWRNGS010,CO2,1,2035,0.1489
KENYA,PWRNGS010,CO2,1,2036,0.09
KENYA,PWRNGS010,CO2,1,2037,0.144
KENYA,PWRNGS010,CO2,1,2038,0.1472
KENYA,PWRNGS010,CO2,1,2039,0.105
KENYA,PWRNGS010,CO2,1,2040,0.0754
KENYA,PWRNGS010,CO2,1,2041,0.1591
KENYA,PWRNGS010,CO2,1,2042,0.1155
KENYA,PWRNGS010,CO2,1,2043,0.1636
KENYA,PWRNGS010,CO2,1,2044,0.1828
KENYA,PWRNGS010,CO2,1,2045,0.1511
KENYA,PWRNGS010,CO2,1,2046,0.1189
KENYA,PWRNGS010,CO2,1,2047,0.1472
