r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,3,1,6,2029,0.0811
KENYA,BESS001,3,1,6,2030,0.0811
KENYA,BESS001,3,1,6,2031,0.0811
KENYA,BESS001,3,1,6,2032,0.0811
KENYA,BESS001,3,1,6,2033,0.0811
KENYA,BESS001,3,1,6,2034,0.075
KENYA,BESS001,3,1,6,2044,0.04
KENYA,BESS001,3,1,6,2045,0.0837
KENYA,BESS001,3,1,6,2046,0.1437
KENYA,BESS001,3,1,6,2047,0.2174
KENYA,BESS001,3,1,6,2048,0.2816
KENYA,BESS001,3,1,6,2049,0.3461
KENYA,BESS001,3,1,6,2050,0.4657
KENYA,BESS001,3,2,1,2024,0.0035
KENYA,BESS001,3,2,1,2025,0.0651
KENYA,BESS001,3,2,1,2026,-0.0095
KENYA,BESS001,3,2,1,2029,0.0651
KENYA,BESS001,3,2,1,2031,0.0651
KENYA,BESS001,3,2,1,2032,0.0651
KENYA,BESS001,3,2,1,2033,0.0651
KENYA,BESS001,3,2,1,2034,0.0602
KENYA,BESS001,3,2,1,2044,0.0321
KENYA,BESS001,3,2,1,2045,0.0671
KENYA,BESS001,3,2,1,2046,0.1153
KENYA,BESS001,3,2,1,2047,0.1744
KENYA,BESS001,3,2,1,2048,0.2259
KENYA,BESS001,3,2,1,2049,0.2776
KENYA,BESS001,3,2,1,2050,0.3735
KENYA,BESS001,3,2,2,2024,0.0024
KENYA,BESS001,3,2,2,2025,-0.0186
KENYA,BESS001,3,2,2,2026,0.0324
KENYA,BESS001,3,2,2,2027,0.0294
KENYA,BESS001,3,2,2,2028,0.0324
KENYA,BESS001,3,2,2,2029,0.0003
KENYA,BESS001,3,2,2,2030,0.0324
KENYA,BESS001,3,2,2,2031,0.032
KENYA,BESS001,3,2,2,2032,0.0313
KENYA,BESS001,3,2,2,2033,0.0259
KENYA,BESS001,3,2,2,2034,0.0297
KENYA,BESS001,3,2,2,2044,0.0085
KENYA,BESS001,3,2,2,2045,0.016
KENYA,BESS001,3,2,2,2046,0.0267
KENYA,BESS001,3,2,2,2047,0.0423
KENYA,BESS001,3,2,2,2048,0.0557
KENYA,BESS001,3,2,2,2049,0.0729
KENYA,BESS001,3,2,2,2050,0.0603
KENYA,BESS001,3,2,3,2024,-0.0049
KENYA,BESS001,3,2,3,2025,-0.0651
KENYA,BESS001,3,2,3,2027,-0.0023
KENYA,BESS001,3,2,3,2028,-0.0238
KENYA,BESS001,3,2,3,2029,-0.0651
KENYA,BESS001,3,2,3,2030,-0.0292
KENYA,BESS001,3,2,3,2031,-0.0651
