r,l,t,m,y,RateOfActivity
KENYA,TS02,BESS_TECH,2,2029,2.7221
KENYA,TS10,BESS_TECH,2,2029,1.0285
KENYA,TS11,BESS_TECH,2,2029,2.6012
KENYA,TS14,BESS_TECH,2,2029,1.682
KENYA,TS16,BESS_TECH,2,2029,2.1191
KENYA,TS20,BESS_TECH,2,2029,2.7221
KENYA,TS22,BESS_TECH,2,2029,1.2628
KENYA,TS24,BESS_TECH,2,2029,2.7221
KENYA,TS25,BESS_TECH,2,2029,0.1341
KENYA,TS27,BESS_TECH,2,2029,2.7221
KENYA,TS28,BESS_TECH,2,2029,1.1629
KENYA,TS33,BESS_TECH,2,2029,2.7221
KENYA,TS34,BESS_TECH,2,2029,2.7221
KENYA,TS35,BESS_TECH,2,2029,0.8039
KENYA,TS38,BESS_TECH,2,2029,0.2809
KENYA,TS40,BESS_TECH,2,2029,2.0213
KENYA,TS44,BESS_TECH,2,2029,1.2903
KENYA,TS45,BESS_TECH,2,2029,0.3822
KENYA,TS46,BESS_TECH,2,2029,2.7221
KENYA,TS04,BESS_TECH,1,2030,2.2917
KENYA,TS05,BESS_TECH,1,2030,2.7221
KENYA,TS12,BESS_TECH,1,2030,0.1762
KENYA,TS15,BESS_TECH,1,2030,0.1148
KENYA,TS17,BESS_TECH,1,2030,2.7221
KENYA,TS18,BESS_TECH,1,2030,1.3512
KENYA,TS19,BESS_TECH,1,2030,0.8373
KENYA,TS21,BESS_TECH,1,2030,2.4834
KENYA,TS23,BESS_TECH,1,2030,2.7221
KENYA,TS26,BESS_TECH,1,2030,2.7221
KENYA,TS29,BESS_TECH,1,2030,2.7221
KENYA,TS30,BESS_TECH,1,2030,2.7221
KENYA,TS32,BESS_TECH,1,2030,2.7221
KENYA,TS35,BESS_TECH,1,2030,0.692
KENYA,TS36,BESS_TECH,1,2030,2.7221
KENYA,TS37,BESS_TECH,1,2030,0.6826
KENYA,TS41,BESS_TECH,1,2030,2.7221
KENYA,TS43,BESS_TECH,1,2030,0.2544
KENYA,TS45,BESS_TECH,1,2030,0.0476
KENYA,TS47,BESS_TECH,1,2030,0.5273
KENYA,TS48,BESS_TECH,1,2030,2.7221
KENYA,TS01,BESS_TECH,2,2030,2.471
KENYA,TS10,BESS_TECH,2,2030,0.0255
KENYA,TS11,BESS_TECH,2,2030,0.2096
KENYA,TS16,BESS_TECH,2,2030,2.5294
KENYA,TS20,BESS_TECH,2,2030,2.7221
KENYA,TS22,BESS_TECH,2,2030,2.246
KENYA,TS24,BESS_TECH,2,2030,2.7221
KENYA,TS25,BESS_TECH,2,2030,0.1149
KENYA,TS27,BESS_TECH,2,2030,2.4915
KENYA,TS28,BESS_TECH,2,2030,1.5322
KENYA,TS33,BESS_TECH,2,2030,1.1148
KENYA,TS34,BESS_TECH,2,2030,2.7221
KENYA,TS40,BESS_TECH,2,2030,2.3701
KENYA,TS46,BESS_TECH,2,2030,2.7221
KENYA,TS01,BESS_TECH,1,2031,0.0857
KENYA,TS02,BESS_TECH,1,2031,0.1527
KENYA,TS03,BESS_TECH,1,2031,0.281
KENYA,TS05,BESS_TECH,1,2031,0.4166
KENYA,TS06,BESS_TECH,1,2031,0.241
KENYA,TS07,BESS_TECH,1,2031,2.5641
KENYA,TS10,BESS_TECH,1,2031,0.4209
KENYA,TS12,BESS_TECH,1,2031,2.7221
KENYA,TS13,BESS_TECH,1,2031,2.7221
KENYA,TS18,BESS_TECH,1,2031,2.7221
KENYA,TS19,BESS_TECH,1,2031,2.7221
KENYA,TS21,BESS_TECH,1,2031,2.7221
KENYA,TS28,BESS_TECH,1,2031,0.3889
KENYA,TS29,BESS_TECH,1,2031,2.7221
KENYA,TS30,BESS_TECH,1,2031,2.7221
KENYA,TS31,BESS_TECH,1,2031,2.7221
KENYA,TS35,BESS_TECH,1,2031,2.7221
KENYA,TS36,BESS_TECH,1,2031,2.7221
KENYA,TS41,BESS_TECH,1,2031,2.7221
KENYA,TS43,BESS_TECH,1,2031,0.6708
KENYA,TS47,BESS_TECH,1,2031,2.7221
KENYA,TS48,BESS_TECH,1,2031,2.7221
KENYA,TS04,BESS_TECH,2,2031,1.0414
KENYA,TS08,BESS_TECH,2,2031,2.1938
KENYA,TS09,BESS_TECH,2,2031,2.1922
KENYA,TS11,BESS_TECH,2,2031,2.7221
KENYA,TS14,BESS_TECH,2,2031,2.0608
KENYA,TS15,BESS_TECH,2,2031,0.5911
KENYA,TS16,BESS_TECH,2,2031,2.278
KENYA,TS17,BESS_TECH,2,2031,2.7221
KENYA,TS20,BESS_TECH,2,2031,2.7221
KENYA,TS22,BESS_TECH,2,2031,2.663
KENYA,TS23,BESS_TECH,2,2031,2.7221
KENYA,TS24,BESS_TECH,2,2031,2.7221
KENYA,TS26,BESS_TECH,2,2031,1.0732
KENYA,TS27,BESS_TECH,2,2031,2.0082
KENYA,TS32,BESS_TECH,2,2031,0.8807
KENYA,TS33,BESS_TECH,2,2031,2.7221
KENYA,TS34,BESS_TECH,2,2031,2.7221
KENYA,TS38,BESS_TECH,2,2031,1.4957
KENYA,TS40,BESS_TECH,2,2031,0.2556
KENYA,TS44,BESS_TECH,2,2031,1.4883
KENYA,TS45,BESS_TECH,2,2031,0.9426
KENYA,TS46,BESS_TECH,2,2031,1.8711
KENYA,TS04,BESS_TECH,1,2032,2.7221
KENYA,TS05,BESS_TECH,1,2032,2.7221
KENYA,TS07,BESS_TECH,1,2032,1.9481
KENYA,TS13,BESS_TECH,1,2032,0.9968
KENYA,TS18,BESS_TECH,1,2032,2.7221
KENYA,TS19,BESS_TECH,1,2032,2.7221
KENYA,TS21,BESS_TECH,1,2032,0.9457
KENYA,TS23,BESS_TECH,1,2032,2.6482
KENYA,TS26,BESS_TECH,1,2032,2.7221
KENYA,TS29,BESS_TECH,1,2032,2.7221
KENYA,TS30,BESS_TECH,1,2032,2.7221
KENYA,TS31,BESS_TECH,1,2032,0.572
KENYA,TS32,BESS_TECH,1,2032,1.232
KENYA,TS33,BESS_TECH,1,2032,0.213
KENYA,TS36,BESS_TECH,1,2032,2.7221
KENYA,TS41,BESS_TECH,1,2032,2.7221
KENYA,TS47,BESS_TECH,1,2032,2.7221
KENYA,TS48,BESS_TECH,1,2032,1.8414
KENYA,TS01,BESS_TECH,2,2032,1.4011
KENYA,TS02,BESS_TECH,2,2032,2.7221
KENYA,TS10,BESS_TECH,2,2032,1.5187
KENYA,TS11,BESS_TECH,2,2032,2.7221
KENYA,TS16,BESS_TECH,2,2032,2.6407
KENYA,TS17,BESS_TECH,2,2032,1.6898
KENYA,TS20,BESS_TECH,2,2032,2.7221
KENYA,TS22,BESS_TECH,2,2032,2.7221
KENYA,TS24,BESS_TECH,2,2032,2.7221
KENYA,TS27,BESS_TECH,2,2032,2.5377
KENYA,TS28,BESS_TECH,2,2032,1.6337
KENYA,TS34,BESS_TECH,2,2032,2.7221
KENYA,TS35,BESS_TECH,2,2032,2.7221
KENYA,TS39,BESS_TECH,2,2032,0.1875
KENYA,TS40,BESS_TECH,2,2032,0.2968
KENYA,TS42,BESS_TECH,2,2032,1.0648
KENYA,TS46,BESS_TECH,2,2032,2.7221
KENYA,TS04,BESS_TECH,1,2033,2.7153
KENYA,TS05,BESS_TECH,1,2033,2.7221
KENYA,TS07,BESS_TECH,1,2033,2.1553
KENYA,TS09,BESS_TECH,1,2033,0.6069
KENYA,TS13,BESS_TECH,1,2033,2.5284
KENYA,TS19,BESS_TECH,1,2033,2.7221
KENYA,TS21,BESS_TECH,1,2033,1.705
KENYA,TS23,BESS_TECH,1,2033,0.4034
KENYA,TS26,BESS_TECH,1,2033,2.7221
KENYA,TS29,BESS_TECH,1,2033,2.7221
KENYA,TS30,BESS_TECH,1,2033,2.7221
KENYA,TS31,BESS_TECH,1,2033,2.2732
KENYA,TS36,BESS_TECH,1,2033,2.7221
KENYA,TS41,BESS_TECH,1,2033,2.7221
KENYA,TS45,BESS_TECH,1,2033,0.1012
KENYA,TS47,BESS_TECH,1,2033,2.4231
KENYA,TS48,BESS_TECH,1,2033,1.8414
KENYA,TS01,BESS_TECH,2,2033,1.2207
KENYA,TS02,BESS_TECH,2,2033,2.7221
KENYA,TS03,BESS_TECH,2,2033,0.1757
KENYA,TS10,BESS_TECH,2,2033,2.7221
KENYA,TS11,BESS_TECH,2,2033,2.7221
KENYA,TS16,BESS_TECH,2,2033,2.3766
KENYA,TS17,BESS_TECH,2,2033,2.7221
KENYA,TS20,BESS_TECH,2,2033,2.7221
KENYA,TS22,BESS_TECH,2,2033,2.7221
KENYA,TS24,BESS_TECH,2,2033,2.7221
KENYA,TS25,BESS_TECH,2,2033,0.7759
KENYA,TS27,BESS_TECH,2,2033,2.7221
KENYA,TS28,BESS_TECH,2,2033,0.2141
KENYA,TS32,BESS_TECH,2,2033,1.4241
KENYA,TS33,BESS_TECH,2,2033,0.4599
KENYA,TS34,BESS_TECH,2,2033,2.7221
KENYA,TS35,BESS_TECH,2,2033,1.8356
KENYA,TS38,BESS_TECH,2,2033,0.1336
KENYA,TS40,BESS_TECH,2,2033,1.2623
KENYA,TS46,BESS_TECH,2,2033,2.7221
KENYA,TS04,BESS_TECH,1,2034,1.1038
KENYA,TS05,BESS_TECH,1,2034,2.5174
KENYA,TS07,BESS_TECH,1,2034,0.8923
KENYA,TS09,BESS_TECH,1,2034,0.2015
KENYA,TS17,BESS_TECH,1,2034,2.1336
KENYA,TS18,BESS_TECH,1,2034,1.9625
KENYA,TS19,BESS_TECH,1,2034,2.5174
KENYA,TS21,BESS_TECH,1,2034,0.2778
KENYA,TS23,BESS_TECH,1,2034,2.5174
KENYA,TS26,BESS_TECH,1,2034,2.5174
KENYA,TS29,BESS_TECH,1,2034,2.5174
KENYA,TS30,BESS_TECH,1,2034,2.5174
KENYA,TS31,BESS_TECH,1,2034,0.714
KENYA,TS32,BESS_TECH,1,2034,0.0946
KENYA,TS33,BESS_TECH,1,2034,0.0288
KENYA,TS36,BESS_TECH,1,2034,2.5174
KENYA,TS41,BESS_TECH,1,2034,2.5174
KENYA,TS43,BESS_TECH,1,2034,0.8515
KENYA,TS47,BESS_TECH,1,2034,2.5174
KENYA,TS02,BESS_TECH,2,2034,1.3155
KENYA,TS03,BESS_TECH,2,2034,0.9404
KENYA,TS10,BESS_TECH,2,2034,0.5714
KENYA,TS11,BESS_TECH,2,2034,2.0911
KENYA,TS16,BESS_TECH,2,2034,2.5174
KENYA,TS20,BESS_TECH,2,2034,2.5174
KENYA,TS22,BESS_TECH,2,2034,1.6693
KENYA,TS24,BESS_TECH,2,2034,2.5174
KENYA,TS27,BESS_TECH,2,2034,2.1263
KENYA,TS28,BESS_TECH,2,2034,1.8368
KENYA,TS34,BESS_TECH,2,2034,2.5174
KENYA,TS35,BESS_TECH,2,2034,1.0227
KENYA,TS38,BESS_TECH,2,2034,1.7029
KENYA,TS46,BESS_TECH,2,2034,2.5174
KENYA,TS05,BESS_TECH,1,2037,1.1205
KENYA,TS07,BESS_TECH,1,2037,0.7813
KENYA,TS10,BESS_TECH,1,2037,1.1806
KENYA,TS12,BESS_TECH,1,2037,1.1806
KENYA,TS13,BESS_TECH,1,2037,1.1806
KENYA,TS17,BESS_TECH,1,2037,0.342
KENYA,TS18,BESS_TECH,1,2037,1.1806
KENYA,TS19,BESS_TECH,1,2037,1.1806
KENYA,TS21,BESS_TECH,1,2037,0.3993
KENYA,TS23,BESS_TECH,1,2037,1.1806
KENYA,TS25,BESS_TECH,1,2037,1.0326
KENYA,TS29,BESS_TECH,1,2037,1.1806
KENYA,TS30,BESS_TECH,1,2037,1.1806
KENYA,TS31,BESS_TECH,1,2037,1.1806
KENYA,TS36,BESS_TECH,1,2037,1.1806
KENYA,TS37,BESS_TECH,1,2037,0.6084
KENYA,TS41,BESS_TECH,1,2037,0.5989
KENYA,TS42,BESS_TECH,1,2037,1.156
KENYA,TS43,BESS_TECH,1,2037,1.1806
KENYA,TS47,BESS_TECH,1,2037,0.8824
KENYA,TS48,BESS_TECH,1,2037,1.1806
KENYA,TS02,BESS_TECH,2,2037,0.1284
KENYA,TS04,BESS_TECH,2,2037,0.4654
KENYA,TS08,BESS_TECH,2,2037,1.1806
KENYA,TS09,BESS_TECH,2,2037,1.1806
KENYA,TS11,BESS_TECH,2,2037,1.1806
KENYA,TS14,BESS_TECH,2,2037,1.1806
KENYA,TS15,BESS_TECH,2,2037,1.1806
KENYA,TS16,BESS_TECH,2,2037,0.171
KENYA,TS20,BESS_TECH,2,2037,1.1806
KENYA,TS22,BESS_TECH,2,2037,1.1806
KENYA,TS24,BESS_TECH,2,2037,1.1806
KENYA,TS26,BESS_TECH,2,2037,1.1806
KENYA,TS27,BESS_TECH,2,2037,1.1806
KENYA,TS28,BESS_TECH,2,2037,0.3716
