r,l,f,y,Demand
KENYA,TS03,RESELC,2019,0.6192
KENYA,TS03,RESELC,2020,0.63
KENYA,TS03,RESELC,2021,0.6586
KENYA,TS03,RESELC,2022,0.6806
KENYA,TS03,RESELC,2023,0.7014
KENYA,TS03,RESELC,2024,0.7255
KENYA,TS03,RESELC,2025,0.7517
KENYA,TS03,RESELC,2026,0.7792
KENYA,TS03,RESELC,2027,0.8242
KENYA,TS03,RESELC,2028,0.8719
KENYA,TS03,RESELC,2029,0.9264
KENYA,TS03,RESELC,2030,0.9849
KENYA,TS03,RESELC,2031,1.0398
KENYA,TS03,RESELC,2032,1.1007
KENYA,TS03,RESELC,2033,1.1625
KENYA,TS03,RESELC,2034,1.2285
KENYA,TS03,RESELC,2035,1.2979
KENYA,TS03,RESELC,2036,1.3685
KENYA,TS03,RESELC,2037,1.4478
KENYA,TS03,RESELC,2038,1.5306
KENYA,TS03,RESELC,2039,1.6183
KENYA,TS03,RESELC,2040,1.7114
KENYA,TS03,RESELC,2041,1.8095
KENYA,TS03,RESELC,2042,1.9115
KENYA,TS03,RESELC,2043,2.0202
KENYA,TS03,RESELC,2044,2.1351
KENYA,TS03,RESELC,2045,2.2565
KENYA,TS03,RESELC,2046,2.3848
KENYA,TS03,RESELC,2047,2.5203
KENYA,TS03,RESELC,2048,2.6636
KENYA,TS03,RESELC,2049,2.8151
KENYA,TS03,RESELC,2050,2.9752
KENYA,TS04,COMELC,2019,0.2128
KENYA,TS04,COMELC,2020,0.2165
KENYA,TS04,COMELC,2021,0.2264
KENYA,TS04,COMELC,2022,0.2339
KENYA,TS04,COMELC,2023,0.2411
KENYA,TS04,COMELC,2024,0.2493
KENYA,TS04,COMELC,2025,0.2583
KENYA,TS04,COMELC,2026,0.2678
KENYA,TS04,COMELC,2027,0.2833
KENYA,TS04,COMELC,2028,0.2997
KENYA,TS04,COMELC,2029,0.3184
KENYA,TS04,COMELC,2030,0.3385
KENYA,TS04,COMELC,2031,0.3574
KENYA,TS04,COMELC,2032,0.3783
KENYA,TS04,COMELC,2033,0.3995
KENYA,TS04,COMELC,2034,0.4222
KENYA,TS04,COMELC,2035,0.4461
KENYA,TS04,COMELC,2036,0.4703
KENYA,TS04,COMELC,2037,0.4976
KENYA,TS04,COMELC,2038,0.526
KENYA,TS04,COMELC,2039,0.5562
KENYA,TS04,COMELC,2040,0.5882
KENYA,TS04,COMELC,2041,0.6219
KENYA,TS04,COMELC,2042,0.657
KENYA,TS04,COMELC,2043,0.6943
KENYA,TS04,COMELC,2044,0.7338
KENYA,TS04,COMELC,2045,0.7755
KENYA,TS04,COMELC,2046,0.8196
KENYA,TS04,COMELC,2047,0.8662
KENYA,TS04,COMELC,2048,0.9155
KENYA,TS04,COMELC,2049,0.9675
KENYA,TS04,COMELC,2050,1.0225
KENYA,TS04,INDELC,2019,0.7331
KENYA,TS04,INDELC,2020,0.746
KENYA,TS04,INDELC,2021,0.7798
KENYA,TS04,INDELC,2022,0.8059
KENYA,TS04,INDELC,2023,0.8305
KENYA,TS04,INDELC,2024,0.859
KENYA,TS04,INDELC,2025,0.89
KENYA,TS04,INDELC,2026,0.9226
KENYA,TS04,INDELC,2027,0.9758
KENYA,TS04,INDELC,2028,1.0324
KENYA,TS04,INDELC,2029,1.0968
KENYA,TS04,INDELC,2030,1.1661
KENYA,TS04,INDELC,2031,1.2312
KENYA,TS04,INDELC,2032,1.3032
KENYA,TS04,INDELC,2033,1.3764
KENYA,TS04,INDELC,2034,1.4546
KENYA,TS04,INDELC,2035,1.5367
KENYA,TS04,INDELC,2036,1.6203
KENYA,TS04,INDELC,2037,1.7142
KENYA,TS04,INDELC,2038,1.8122
KENYA,TS04,INDELC,2039,1.9161
KENYA,TS04,INDELC,2040,2.0263
KENYA,TS04,INDELC,2041,2.1425
KENYA,TS04,INDELC,2042,2.2633
KENYA,TS04,INDELC,2043,2.3919
KENYA,TS04,INDELC,2044,2.5279
KENYA,TS04,INDELC,2045,2.6717
KENYA,TS04,INDELC,2046,2.8236
KENYA,TS04,INDELC,2047,2.9841
KENYA,TS04,INDELC,2048,3.1538
KENYA,TS04,INDELC,2049,3.3331
KENYA,TS04,INDELC,2050,3.5226
KENYA,TS04,RESELC,2019,0.4689
KENYA,TS04,RESELC,2020,0.4771
KENYA,TS04,RESELC,2021,0.4987
KENYA,TS04,RESELC,2022,0.5154
KENYA,TS04,RESELC,2023,0.5312
KENYA,TS04,RESELC,2024,0.5494
KENYA,TS04,RESELC,2025,0.5692
KENYA,TS04,RESELC,2026,0.5901
KENYA,TS04,RESELC,2027,0.6241
KENYA,TS04,RESELC,2028,0.6602
KENYA,TS04,RESELC,2029,0.7015
KENYA,TS04,RESELC,2030,0.7458
KENYA,TS04,RESELC,2031,0.7874
KENYA,TS04,RESELC,2032,0.8335
