r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS14,2042,2.0437
KENYA,BESS_TECH,TS14,2044,0.2571
KENYA,BESS_TECH,TS14,2045,4.2231
KENYA,BESS_TECH,TS14,2046,4.6366
KENYA,BESS_TECH,TS14,2047,5.3183
KENYA,BESS_TECH,TS14,2048,5.0327
KENYA,BESS_TECH,TS14,2049,9.4235
KENYA,BESS_TECH,TS14,2050,12.1771
KENYA,BESS_TECH,TS15,2026,0.3171
KENYA,BESS_TECH,TS15,2030,0.1148
KENYA,BESS_TECH,TS15,2031,0.5911
KENYA,BESS_TECH,TS15,2037,1.1806
KENYA,BESS_TECH,TS15,2038,0.2038
KENYA,BESS_TECH,TS15,2039,0.0035
KENYA,BESS_TECH,TS15,2040,0.1952
KENYA,BESS_TECH,TS15,2041,1.5077
KENYA,BESS_TECH,TS15,2042,0.7883
KENYA,BESS_TECH,TS15,2043,0.0594
KENYA,BESS_TECH,TS15,2046,4.7049
KENYA,BESS_TECH,TS15,2049,0.0162
KENYA,BESS_TECH,TS15,2050,0.3461
KENYA,BESS_TECH,TS16,2024,0.2048
KENYA,BESS_TECH,TS16,2025,2.6007
KENYA,BESS_TECH,TS16,2026,2.7221
KENYA,BESS_TECH,TS16,2027,2.7221
KENYA,BESS_TECH,TS16,2028,2.7221
KENYA,BESS_TECH,TS16,2029,2.1191
KENYA,BESS_TECH,TS16,2030,2.5294
KENYA,BESS_TECH,TS16,2031,2.278
KENYA,BESS_TECH,TS16,2032,2.6407
KENYA,BESS_TECH,TS16,2033,2.3766
KENYA,BESS_TECH,TS16,2034,2.5174
KENYA,BESS_TECH,TS16,2037,0.171
KENYA,BESS_TECH,TS16,2038,1.1806
KENYA,BESS_TECH,TS16,2039,1.1806
KENYA,BESS_TECH,TS16,2040,1.8923
KENYA,BESS_TECH,TS16,2041,1.8142
KENYA,BESS_TECH,TS16,2042,2.0437
KENYA,BESS_TECH,TS16,2043,2.0437
KENYA,BESS_TECH,TS16,2044,2.0437
KENYA,BESS_TECH,TS16,2045,6.6091
KENYA,BESS_TECH,TS16,2046,7.048
KENYA,BESS_TECH,TS16,2047,8.637
KENYA,BESS_TECH,TS16,2048,9.4235
KENYA,BESS_TECH,TS16,2049,9.2427
KENYA,BESS_TECH,TS16,2050,12.1771
KENYA,BESS_TECH,TS17,2024,0.2048
KENYA,BESS_TECH,TS17,2025,0.4226
KENYA,BESS_TECH,TS17,2026,0.7141
KENYA,BESS_TECH,TS17,2027,1.1729
KENYA,BESS_TECH,TS17,2028,1.0082
KENYA,BESS_TECH,TS17,2029,0.2492
KENYA,BESS_TECH,TS17,2030,2.7221
KENYA,BESS_TECH,TS17,2031,2.7221
KENYA,BESS_TECH,TS17,2032,1.6898
KENYA,BESS_TECH,TS17,2033,2.7221
KENYA,BESS_TECH,TS17,2034,2.1336
KENYA,BESS_TECH,TS17,2037,0.342
KENYA,BESS_TECH,TS17,2038,0.0247
KENYA,BESS_TECH,TS17,2039,1.1806
KENYA,BESS_TECH,TS17,2040,1.2329
KENYA,BESS_TECH,TS17,2041,2.0437
KENYA,BESS_TECH,TS17,2042,0.3757
KENYA,BESS_TECH,TS17,2043,0.491
KENYA,BESS_TECH,TS17,2044,0.7281
KENYA,BESS_TECH,TS17,2045,4.0438
KENYA,BESS_TECH,TS17,2046,5.0649
KENYA,BESS_TECH,TS17,2047,7.4634
