r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,2,1,2,2044,0.1907
KENYA,BESS001,2,1,2,2046,0.5072
KENYA,BESS001,2,1,2,2047,0.8174
KENYA,BESS001,2,1,2,2048,0.957
KENYA,BESS001,2,1,2,2049,1.0561
KENYA,BESS001,2,1,2,2050,1.0772
KENYA,BESS001,2,1,3,2033,0.0617
KENYA,BESS001,2,1,3,2035,0.1224
KENYA,BESS001,2,1,3,2036,0.0368
KENYA,BESS001,2,1,3,2043,0.0473
KENYA,BESS001,2,1,3,2044,0.0039
KENYA,BESS001,2,1,3,2045,0.325
KENYA,BESS001,2,1,3,2046,1.0365
KENYA,BESS001,2,1,3,2047,1.6348
KENYA,BESS001,2,1,3,2048,2.1121
KENYA,BESS001,2,1,3,2049,2.1121
KENYA,BESS001,2,1,3,2050,2.1545
KENYA,BESS001,2,1,4,2028,-0.056
KENYA,BESS001,2,1,4,2029,-0.0829
KENYA,BESS001,2,1,4,2030,-0.0595
KENYA,BESS001,2,1,4,2031,-0.0722
KENYA,BESS001,2,1,4,2032,-0.0745
KENYA,BESS001,2,1,4,2033,-0.0698
KENYA,BESS001,2,1,4,2034,-0.146
KENYA,BESS001,2,1,4,2035,-0.146
KENYA,BESS001,2,1,4,2036,-0.146
KENYA,BESS001,2,1,4,2037,-0.146
KENYA,BESS001,2,1,4,2038,-0.0699
KENYA,BESS001,2,1,4,2039,-0.01
KENYA,BESS001,2,1,4,2041,-0.0042
KENYA,BESS001,2,1,4,2042,-0.0025
KENYA,BESS001,2,1,4,2043,-0.1581
KENYA,BESS001,2,1,4,2044,-0.2505
KENYA,BESS001,2,1,4,2045,-0.2343
KENYA,BESS001,2,1,4,2046,-0.0938
KENYA,BESS001,2,1,4,2047,-0.1419
KENYA,BESS001,2,1,4,2048,-0.1607
KENYA,BESS001,2,1,4,2049,-0.1662
KENYA,BESS001,2,1,4,2050,-0.1579
KENYA,BESS001,2,1,5,2028,0.0088
KENYA,BESS001,2,1,5,2029,0.0114
KENYA,BESS001,2,1,5,2030,0.0387
KENYA,BESS001,2,1,5,2031,0.0398
KENYA,BESS001,2,1,5,2032,0.0452
KENYA,BESS001,2,1,5,2033,-0.0083
KENYA,BESS001,2,1,5,2034,-0.0734
KENYA,BESS001,2,1,5,2035,-0.0734
KENYA,BESS001,2,1,5,2036,-0.0734
KENYA,BESS001,2,1,5,2037,-0.0734
KENYA,BESS001,2,1,5,2038,0.0452
KENYA,BESS001,2,1,5,2039,-0.0317
KENYA,BESS001,2,1,5,2041,-0.0397
KENYA,BESS001,2,1,5,2042,-0.0417
KENYA,BESS001,2,1,5,2043,-0.1317
KENYA,BESS001,2,1,5,2044,0.0587
KENYA,BESS001,2,1,5,2045,-0.0305
KENYA,BESS001,2,1,5,2046,-0.0681
KENYA,BESS001,2,1,5,2047,-0.1151
KENYA,BESS001,2,1,5,2048,-0.1492
KENYA,BESS001,2,1,5,2049,-0.4515
KENYA,BESS001,2,1,5,2050,-0.1572
