r,l,t,m,y,RateOfActivity
KENYA,TS35,BESS_TECH,1,2033,0.6234
KENYA,TS36,BESS_TECH,1,2033,7.3364
KENYA,TS37,BESS_TECH,1,2033,1.1481
KENYA,TS41,BESS_TECH,1,2033,4.9332
KENYA,TS43,BESS_TECH,1,2033,2.5473
KENYA,TS47,BESS_TECH,1,2033,0.7965
KENYA,TS01,BESS_TECH,2,2033,1.2168
KENYA,TS06,BESS_TECH,2,2033,2.2456
KENYA,TS10,BESS_TECH,2,2033,0.9785
KENYA,TS11,BESS_TECH,2,2033,7.3364
KENYA,TS16,BESS_TECH,2,2033,3.5071
KENYA,TS17,BESS_TECH,2,2033,0.8325
KENYA,TS20,BESS_TECH,2,2033,7.3364
KENYA,TS22,BESS_TECH,2,2033,3.2614
KENYA,TS24,BESS_TECH,2,2033,7.3364
KENYA,TS25,BESS_TECH,2,2033,1.0171
KENYA,TS27,BESS_TECH,2,2033,7.3364
KENYA,TS28,BESS_TECH,2,2033,2.1647
KENYA,TS33,BESS_TECH,2,2033,3.571
KENYA,TS34,BESS_TECH,2,2033,4.9265
KENYA,TS40,BESS_TECH,2,2033,4.1638
KENYA,TS46,BESS_TECH,2,2033,4.1638
KENYA,TS01,BESS_TECH,1,2034,3.7854
KENYA,TS06,BESS_TECH,1,2034,5.9029
KENYA,TS12,BESS_TECH,1,2034,5.5461
KENYA,TS13,BESS_TECH,1,2034,7.3364
KENYA,TS18,BESS_TECH,1,2034,0.2158
KENYA,TS19,BESS_TECH,1,2034,7.3364
KENYA,TS21,BESS_TECH,1,2034,5.9084
KENYA,TS26,BESS_TECH,1,2034,6.848
KENYA,TS28,BESS_TECH,1,2034,2.0807
KENYA,TS29,BESS_TECH,1,2034,3.7427
KENYA,TS30,BESS_TECH,1,2034,7.3364
KENYA,TS31,BESS_TECH,1,2034,5.9167
KENYA,TS36,BESS_TECH,1,2034,7.3364
KENYA,TS40,BESS_TECH,1,2034,5.743
KENYA,TS41,BESS_TECH,1,2034,7.3364
KENYA,TS46,BESS_TECH,1,2034,0.0669
KENYA,TS47,BESS_TECH,1,2034,7.3364
KENYA,TS04,BESS_TECH,2,2034,7.298
KENYA,TS05,BESS_TECH,2,2034,5.3219
KENYA,TS08,BESS_TECH,2,2034,0.1795
KENYA,TS10,BESS_TECH,2,2034,0.2984
KENYA,TS11,BESS_TECH,2,2034,7.3364
KENYA,TS16,BESS_TECH,2,2034,7.3364
KENYA,TS17,BESS_TECH,2,2034,7.3364
KENYA,TS20,BESS_TECH,2,2034,7.3364
KENYA,TS22,BESS_TECH,2,2034,7.3364
KENYA,TS23,BESS_TECH,2,2034,2.7956
KENYA,TS24,BESS_TECH,2,2034,7.3364
KENYA,TS25,BESS_TECH,2,2034,2.9912
KENYA,TS27,BESS_TECH,2,2034,6.7745
KENYA,TS32,BESS_TECH,2,2034,1.7656
KENYA,TS33,BESS_TECH,2,2034,3.1102
KENYA,TS34,BESS_TECH,2,2034,4.5981
KENYA,TS35,BESS_TECH,2,2034,7.3364
KENYA,TS39,BESS_TECH,2,2034,6.3664
KENYA,TS43,BESS_TECH,2,2034,2.5267
KENYA,TS01,BESS_TECH,1,2035,3.7761
KENYA,TS06,BESS_TECH,1,2035,7.3364
KENYA,TS07,BESS_TECH,1,2035,4.7609
KENYA,TS12,BESS_TECH,1,2035,2.3446
KENYA,TS13,BESS_TECH,1,2035,2.8958
KENYA,TS14,BESS_TECH,1,2035,0.8821
KENYA,TS15,BESS_TECH,1,2035,4.1075
KENYA,TS19,BESS_TECH,1,2035,7.3364
KENYA,TS21,BESS_TECH,1,2035,7.3364
KENYA,TS26,BESS_TECH,1,2035,1.1319
KENYA,TS28,BESS_TECH,1,2035,0.7201
KENYA,TS29,BESS_TECH,1,2035,7.3364
KENYA,TS30,BESS_TECH,1,2035,7.3364
KENYA,TS31,BESS_TECH,1,2035,7.3364
KENYA,TS35,BESS_TECH,1,2035,7.3364
KENYA,TS36,BESS_TECH,1,2035,7.3364
KENYA,TS40,BESS_TECH,1,2035,5.7568
KENYA,TS41,BESS_TECH,1,2035,7.3364
KENYA,TS47,BESS_TECH,1,2035,7.3364
KENYA,TS04,BESS_TECH,2,2035,7.3364
KENYA,TS05,BESS_TECH,2,2035,7.3364
KENYA,TS08,BESS_TECH,2,2035,3.7478
KENYA,TS09,BESS_TECH,2,2035,0.8721
KENYA,TS10,BESS_TECH,2,2035,1.0434
KENYA,TS11,BESS_TECH,2,2035,7.3364
KENYA,TS16,BESS_TECH,2,2035,7.3364
KENYA,TS17,BESS_TECH,2,2035,7.3364
KENYA,TS20,BESS_TECH,2,2035,7.3364
KENYA,TS22,BESS_TECH,2,2035,7.3364
KENYA,TS23,BESS_TECH,2,2035,7.0174
KENYA,TS24,BESS_TECH,2,2035,7.3364
KENYA,TS27,BESS_TECH,2,2035,7.2027
KENYA,TS32,BESS_TECH,2,2035,5.9394
KENYA,TS33,BESS_TECH,2,2035,6.7217
KENYA,TS34,BESS_TECH,2,2035,5.6094
KENYA,TS38,BESS_TECH,2,2035,7.3364
KENYA,TS39,BESS_TECH,2,2035,2.7075
