r,l,f,y,Demand
KENYA,TS03,COMELC,2019,0.281
KENYA,TS03,COMELC,2020,0.286
KENYA,TS03,COMELC,2021,0.2989
KENYA,TS03,COMELC,2022,0.3089
KENYA,TS03,COMELC,2023,0.3184
KENYA,TS03,COMELC,2024,0.3293
KENYA,TS03,COMELC,2025,0.3412
KENYA,TS03,COMELC,2026,0.3722
KENYA,TS03,COMELC,2027,0.4061
KENYA,TS03,COMELC,2028,0.443
KENYA,TS03,COMELC,2029,0.4833
KENYA,TS03,COMELC,2030,0.5273
KENYA,TS03,COMELC,2031,0.5753
KENYA,TS03,COMELC,2032,0.6276
KENYA,TS03,COMELC,2033,0.6848
KENYA,TS03,COMELC,2034,0.7471
KENYA,TS03,COMELC,2035,0.815
KENYA,TS03,COMELC,2036,0.8892
KENYA,TS03,COMELC,2037,0.9701
KENYA,TS03,COMELC,2038,1.0584
KENYA,TS03,COMELC,2039,1.1547
KENYA,TS03,COMELC,2040,1.2598
KENYA,TS03,COMELC,2041,1.3744
KENYA,TS03,COMELC,2042,1.4886
KENYA,TS03,COMELC,2043,1.61
KENYA,TS03,COMELC,2044,1.7413
KENYA,TS03,COMELC,2045,1.8833
KENYA,TS03,COMELC,2046,2.0369
KENYA,TS03,COMELC,2047,2.203
KENYA,TS03,COMELC,2048,2.3826
KENYA,TS03,COMELC,2049,2.5769
KENYA,TS03,COMELC,2050,2.787
KENYA,TS03,INDELC,2019,0.9682
KENYA,TS03,INDELC,2020,0.9851
KENYA,TS03,INDELC,2021,1.0298
KENYA,TS03,INDELC,2022,1.0643
KENYA,TS03,INDELC,2023,1.0968
KENYA,TS03,INDELC,2024,1.1344
KENYA,TS03,INDELC,2025,1.1753
KENYA,TS03,INDELC,2026,1.2823
KENYA,TS03,INDELC,2027,1.3989
KENYA,TS03,INDELC,2028,1.5262
KENYA,TS03,INDELC,2029,1.6651
KENYA,TS03,INDELC,2030,1.8166
KENYA,TS03,INDELC,2031,1.9819
KENYA,TS03,INDELC,2032,2.1623
KENYA,TS03,INDELC,2033,2.359
KENYA,TS03,INDELC,2034,2.5737
KENYA,TS03,INDELC,2035,2.8079
KENYA,TS03,INDELC,2036,3.0634
KENYA,TS03,INDELC,2037,3.3421
KENYA,TS03,INDELC,2038,3.6463
KENYA,TS03,INDELC,2039,3.978
KENYA,TS03,INDELC,2040,4.34
KENYA,TS03,INDELC,2041,4.7349
KENYA,TS03,INDELC,2042,5.1284
KENYA,TS03,INDELC,2043,5.5466
KENYA,TS03,INDELC,2044,5.9989
KENYA,TS03,INDELC,2045,6.4881
KENYA,TS03,INDELC,2046,7.0171
KENYA,TS03,INDELC,2047,7.5893
KENYA,TS03,INDELC,2048,8.2081
KENYA,TS03,INDELC,2049,8.8774
KENYA,TS03,INDELC,2050,9.6013
KENYA,TS03,RESELC,2019,0.6192
KENYA,TS03,RESELC,2020,0.63
KENYA,TS03,RESELC,2021,0.6586
KENYA,TS03,RESELC,2022,0.6806
KENYA,TS03,RESELC,2023,0.7014
KENYA,TS03,RESELC,2024,0.7255
KENYA,TS03,RESELC,2025,0.7517
KENYA,TS03,RESELC,2026,0.8201
KENYA,TS03,RESELC,2027,0.8947
KENYA,TS03,RESELC,2028,0.9761
KENYA,TS03,RESELC,2029,1.0649
KENYA,TS03,RESELC,2030,1.1618
KENYA,TS03,RESELC,2031,1.2676
KENYA,TS03,RESELC,2032,1.3829
KENYA,TS03,RESELC,2033,1.5087
KENYA,TS03,RESELC,2034,1.646
KENYA,TS03,RESELC,2035,1.7958
KENYA,TS03,RESELC,2036,1.9592
KENYA,TS03,RESELC,2037,2.1375
KENYA,TS03,RESELC,2038,2.332
KENYA,TS03,RESELC,2039,2.5442
KENYA,TS03,RESELC,2040,2.7757
KENYA,TS03,RESELC,2041,3.0282
KENYA,TS03,RESELC,2042,3.2799
KENYA,TS03,RESELC,2043,3.5474
KENYA,TS03,RESELC,2044,3.8366
KENYA,TS03,RESELC,2045,4.1495
KENYA,TS03,RESELC,2046,4.4878
KENYA,TS03,RESELC,2047,4.8538
KENYA,TS03,RESELC,2048,5.2495
KENYA,TS03,RESELC,2049,5.6776
KENYA,TS03,RESELC,2050,6.1406
KENYA,TS04,COMELC,2019,0.2128
KENYA,TS04,COMELC,2020,0.2165
KENYA,TS04,COMELC,2021,0.2264
KENYA,TS04,COMELC,2022,0.2339
KENYA,TS04,COMELC,2023,0.2411
KENYA,TS04,COMELC,2024,0.2493
KENYA,TS04,COMELC,2025,0.2583
KENYA,TS04,COMELC,2026,0.2818
KENYA,TS04,COMELC,2027,0.3075
KENYA,TS04,COMELC,2028,0.3355
KENYA,TS04,COMELC,2029,0.366
KENYA,TS04,COMELC,2030,0.3993
KENYA,TS04,COMELC,2031,0.4356
KENYA,TS04,COMELC,2032,0.4753
KENYA,TS04,COMELC,2033,0.5185
KENYA,TS04,COMELC,2034,0.5657
KENYA,TS04,COMELC,2035,0.6172
KENYA,TS04,COMELC,2036,0.6733
KENYA,TS04,COMELC,2037,0.7346
KENYA,TS04,COMELC,2038,0.8015
KENYA,TS04,COMELC,2039,0.8744
KENYA,TS04,COMELC,2040,0.954
KENYA,TS04,COMELC,2041,1.0408
KENYA,TS04,COMELC,2042,1.1273
KENYA,TS04,COMELC,2043,1.2192
KENYA,TS04,COMELC,2044,1.3186
KENYA,TS04,COMELC,2045,1.4261
KENYA,TS04,COMELC,2046,1.5424
KENYA,TS04,COMELC,2047,1.6682
KENYA,TS04,COMELC,2048,1.8042
KENYA,TS04,COMELC,2049,1.9513
KENYA,TS04,COMELC,2050,2.1104
KENYA,TS04,INDELC,2019,0.7331
KENYA,TS04,INDELC,2020,0.746
KENYA,TS04,INDELC,2021,0.7798
KENYA,TS04,INDELC,2022,0.8059
KENYA,TS04,INDELC,2023,0.8305
KENYA,TS04,INDELC,2024,0.859
KENYA,TS04,INDELC,2025,0.89
KENYA,TS04,INDELC,2026,0.971
KENYA,TS04,INDELC,2027,1.0593
KENYA,TS04,INDELC,2028,1.1557
KENYA,TS04,INDELC,2029,1.2609
KENYA,TS04,INDELC,2030,1.3756
KENYA,TS04,INDELC,2031,1.5008
KENYA,TS04,INDELC,2032,1.6374
KENYA,TS04,INDELC,2033,1.7864
KENYA,TS04,INDELC,2034,1.9489
KENYA,TS04,INDELC,2035,2.1262
KENYA,TS04,INDELC,2036,2.3197
KENYA,TS04,INDELC,2037,2.5308
KENYA,TS04,INDELC,2038,2.7611
KENYA,TS04,INDELC,2039,3.0123
KENYA,TS04,INDELC,2040,3.2864
KENYA,TS04,INDELC,2041,3.5855
KENYA,TS04,INDELC,2042,3.8835
KENYA,TS04,INDELC,2043,4.2001
KENYA,TS04,INDELC,2044,4.5426
KENYA,TS04,INDELC,2045,4.913
KENYA,TS04,INDELC,2046,5.3136
KENYA,TS04,INDELC,2047,5.7469
KENYA,TS04,INDELC,2048,6.2155
KENYA,TS04,INDELC,2049,6.7223
KENYA,TS04,INDELC,2050,7.2705
KENYA,TS04,RESELC,2019,0.4689
KENYA,TS04,RESELC,2020,0.4771
KENYA,TS04,RESELC,2021,0.4987
KENYA,TS04,RESELC,2022,0.5154
KENYA,TS04,RESELC,2023,0.5312
KENYA,TS04,RESELC,2024,0.5494
KENYA,TS04,RESELC,2025,0.5692
KENYA,TS04,RESELC,2026,0.621
