r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,MINBIO,1,2026,0.6042
KENYA,MINBIO,1,2027,0.6042
KENYA,MINBIO,1,2028,0.9649
KENYA,MINBIO,1,2029,0.9649
KENYA,MINBIO,1,2030,3.1381
KENYA,MINBIO,1,2031,4.0398
KENYA,MINBIO,1,2032,4.5268
KENYA,MINBIO,1,2033,4.662
KENYA,MINBIO,1,2034,4.9326
KENYA,MINBIO,1,2035,4.9461
KENYA,MINBIO,1,2036,5.3474
KENYA,MINBIO,1,2037,5.7487
KENYA,MINBIO,1,2038,6.1499
KENYA,MINBIO,1,2039,6.5512
KENYA,MINBIO,1,2040,6.9525
KENYA,MINBIO,1,2041,7.3538
KENYA,MINBIO,1,2042,7.755
KENYA,MINBIO,1,2043,8.1563
KENYA,MINBIO,1,2044,8.5576
KENYA,MINBIO,1,2045,8.9589
KENYA,MINBIO,1,2046,9.3602
KENYA,MINBIO,1,2047,9.7614
KENYA,MINBIO,1,2048,7.5809
KENYA,MINBIO,1,2049,10.564
KENYA,MINBIO,1,2050,10.9653
KENYA,MINGEO,1,2019,70.0437
KENYA,MINGEO,1,2020,70.0437
KENYA,MINGEO,1,2021,70.0437
KENYA,MINGEO,1,2022,77.4191
KENYA,MINGEO,1,2023,80.5179
KENYA,MINGEO,1,2024,77.8618
KENYA,MINGEO,1,2025,88.3094
KENYA,MINGEO,1,2026,101.8473
KENYA,MINGEO,1,2027,103.0309
KENYA,MINGEO,1,2028,111.1602
KENYA,MINGEO,1,2029,129.9168
KENYA,MINGEO,1,2030,132.9237
KENYA,MINGEO,1,2031,147.7696
KENYA,MINGEO,1,2032,152.152
KENYA,MINGEO,1,2033,156.6614
KENYA,MINGEO,1,2034,173.7045
KENYA,MINGEO,1,2035,179.4761
KENYA,MINGEO,1,2036,197.8065
KENYA,MINGEO,1,2037,213.7466
KENYA,MINGEO,1,2038,225.3995
KENYA,MINGEO,1,2039,250.897
KENYA,MINGEO,1,2040,294.5606
KENYA,MINGEO,1,2041,288.5354
KENYA,MINGEO,1,2042,299.6905
KENYA,MINGEO,1,2043,305.4895
KENYA,MINGEO,1,2044,318.2293
KENYA,MINGEO,1,2045,318.2995
KENYA,MINGEO,1,2046,333.7088
KENYA,MINGEO,1,2047,343.1253
KENYA,MINGEO,1,2048,358.2362
KENYA,MINGEO,1,2049,378.8766
KENYA,MINGEO,1,2050,396.146
KENYA,MINHYD,1,2019,12.6902
KENYA,MINHYD,1,2020,12.8841
KENYA,MINHYD,1,2021,13.0962
KENYA,MINHYD,1,2022,13.3281
KENYA,MINHYD,1,2023,13.6788
KENYA,MINHYD,1,2024,13.9893
KENYA,MINHYD,1,2025,14.2966
KENYA,MINHYD,1,2026,14.9578
KENYA,MINHYD,1,2027,15.4667
KENYA,MINHYD,1,2028,15.9044
KENYA,MINHYD,1,2029,16.4363
KENYA,MINHYD,1,2030,17.397
KENYA,MINHYD,1,2031,18.289
KENYA,MINHYD,1,2032,19.0979
KENYA,MINHYD,1,2033,21.3523
KENYA,MINHYD,1,2034,22.3639
KENYA,MINHYD,1,2035,24.0406
KENYA,MINHYD,1,2036,25.222
KENYA,MINHYD,1,2037,26.5158
KENYA,MINHYD,1,2038,28.4209
KENYA,MINHYD,1,2039,29.5366
KENYA,MINHYD,1,2040,30.7581
KENYA,MINHYD,1,2041,32.0932
KENYA,MINHYD,1,2042,31.8591
KENYA,MINHYD,1,2043,33.9265
KENYA,MINHYD,1,2044,36.26
