r,s,ls,ld,lh,y,NetChargeWithinDay
KENYA,BESS001,3,1,4,2049,0.0023
KENYA,BESS001,3,1,4,2050,0.0041
KENYA,BESS001,3,1,5,2028,0.0006
KENYA,BESS001,3,1,5,2029,0.001
KENYA,BESS001,3,1,5,2030,0.0017
KENYA,BESS001,3,1,5,2031,0.0017
KENYA,BESS001,3,1,5,2032,0.0017
KENYA,BESS001,3,1,5,2033,0.0017
KENYA,BESS001,3,1,5,2034,0.0009
KENYA,BESS001,3,1,5,2035,0.0017
KENYA,BESS001,3,1,5,2036,0.0014
KENYA,BESS001,3,1,5,2037,0.0017
KENYA,BESS001,3,1,5,2038,0.001
KENYA,BESS001,3,1,5,2039,0.0007
KENYA,BESS001,3,1,5,2041,0.0009
KENYA,BESS001,3,1,5,2042,0.001
KENYA,BESS001,3,1,5,2043,0.003
KENYA,BESS001,3,1,5,2044,0.0039
KENYA,BESS001,3,1,5,2045,0.0065
KENYA,BESS001,3,1,5,2046,0.0066
KENYA,BESS001,3,1,5,2047,0.0064
KENYA,BESS001,3,1,5,2048,0.0067
KENYA,BESS001,3,1,5,2049,0.0079
KENYA,BESS001,3,1,5,2050,0.0095
KENYA,BESS001,3,1,6,2028,0.001
KENYA,BESS001,3,1,6,2029,0.0014
KENYA,BESS001,3,1,6,2030,0.0025
KENYA,BESS001,3,1,6,2031,0.0025
KENYA,BESS001,3,1,6,2032,0.0025
KENYA,BESS001,3,1,6,2033,0.0025
KENYA,BESS001,3,1,6,2034,0.0025
KENYA,BESS001,3,1,6,2035,0.0025
KENYA,BESS001,3,1,6,2036,0.0025
KENYA,BESS001,3,1,6,2037,0.0025
KENYA,BESS001,3,1,6,2038,0.0009
KENYA,BESS001,3,1,6,2039,0.0011
KENYA,BESS001,3,1,6,2041,0.0013
KENYA,BESS001,3,1,6,2042,0.0014
KENYA,BESS001,3,1,6,2043,0.0045
KENYA,BESS001,3,1,6,2044,0.0064
KENYA,BESS001,3,1,6,2045,0.0044
KENYA,BESS001,3,1,6,2046,0.003
KENYA,BESS001,3,1,6,2047,-0.0002
KENYA,BESS001,3,1,6,2048,-0.0123
KENYA,BESS001,3,1,6,2049,-0.0133
KENYA,BESS001,3,1,6,2050,-0.0143
KENYA,BESS001,3,2,1,2028,0.0011
KENYA,BESS001,3,2,1,2029,0.001
KENYA,BESS001,3,2,1,2030,0.0032
