r,t,f,y,UseByTechnologyAnnual
KENYA,PWRGEO001,GEO,2020,1.328
KENYA,PWRGEO001,GEO,2021,1.328
KENYA,PWRGEO001,GEO,2022,1.328
KENYA,PWRGEO001,GEO,2023,1.328
KENYA,PWRGEO002,GEO,2019,12.3954
KENYA,PWRGEO002,GEO,2020,12.3954
KENYA,PWRGEO002,GEO,2021,12.3954
KENYA,PWRGEO002,GEO,2022,12.3954
KENYA,PWRGEO002,GEO,2023,12.3954
KENYA,PWRGEO002,GEO,2024,12.3955
KENYA,PWRGEO002,GEO,2025,12.3954
KENYA,PWRGEO002,GEO,2026,12.3954
KENYA,PWRGEO002,GEO,2027,12.3954
KENYA,PWRGEO002,GEO,2028,12.3954
KENYA,PWRGEO002,GEO,2029,12.3954
KENYA,PWRGEO002,GEO,2030,12.3954
KENYA,PWRGEO002,GEO,2031,12.3954
KENYA,PWRGEO002,GEO,2032,12.3954
KENYA,PWRGEO002,GEO,2033,12.3954
KENYA,PWRGEO002,GEO,2034,12.3954
KENYA,PWRGEO002,GEO,2035,12.3954
KENYA,PWRGEO002,GEO,2036,12.3954
KENYA,PWRGEO002,GEO,2037,12.3954
KENYA,PWRGEO002,GEO,2038,12.3954
KENYA,PWRGEO002,GEO,2039,12.3954
KENYA,PWRGEO002,GEO,2040,12.3954
KENYA,PWRGEO003,GEO,2019,8.9424
KENYA,PWRGEO003,GEO,2020,8.9424
KENYA,PWRGEO003,GEO,2021,8.9424
KENYA,PWRGEO003,GEO,2022,8.9424
KENYA,PWRGEO003,GEO,2023,8.9424
KENYA,PWRGEO003,GEO,2024,8.9424
KENYA,PWRGEO003,GEO,2025,8.9424
KENYA,PWRGEO003,GEO,2026,8.9424
KENYA,PWRGEO003,GEO,2027,8.9424
KENYA,PWRGEO003,GEO,2028,8.9424
KENYA,PWRGEO004,GEO,2019,5.6488
KENYA,PWRGEO004,GEO,2020,5.6488
KENYA,PWRGEO004,GEO,2021,5.6488
KENYA,PWRGEO004,GEO,2022,5.6488
KENYA,PWRGEO004,GEO,2023,5.6488
KENYA,PWRGEO004,GEO,2024,5.6488
KENYA,PWRGEO004,GEO,2025,5.6488
KENYA,PWRGEO004,GEO,2026,5.6488
KENYA,PWRGEO004,GEO,2027,5.6488
KENYA,PWRGEO004,GEO,2028,5.6488
KENYA,PWRGEO004,GEO,2029,5.6488
KENYA,PWRGEO004,GEO,2030,5.6488
KENYA,PWRGEO004,GEO,2031,5.6488
KENYA,PWRGEO004,GEO,2032,5.6488
KENYA,PWRGEO004,GEO,2033,5.6488
KENYA,PWRGEO004,GEO,2034,5.6488
KENYA,PWRGEO004,GEO,2035,5.6488
KENYA,PWRGEO004,GEO,2036,5.6488
KENYA,PWRGEO004,GEO,2037,5.6488
KENYA,PWRGEO004,GEO,2038,5.6488
KENYA,PWRGEO004,GEO,2039,5.6488
KENYA,PWRGEO004,GEO,2040,5.6488
KENYA,PWRGEO004,GEO,2041,5.6488
KENYA,PWRGEO004,GEO,2042,5.6488
KENYA,PWRGEO005,GEO,2019,3.5061
KENYA,PWRGEO005,GEO,2020,3.5061
KENYA,PWRGEO005,GEO,2021,3.5061
KENYA,PWRGEO005,GEO,2022,3.5061
KENYA,PWRGEO005,GEO,2023,3.5061
KENYA,PWRGEO005,GEO,2024,3.5061
KENYA,PWRGEO005,GEO,2025,3.5061
KENYA,PWRGEO005,GEO,2026,3.5061
KENYA,PWRGEO005,GEO,2027,3.5061
KENYA,PWRGEO005,GEO,2028,3.5061
KENYA,PWRGEO005,GEO,2029,3.5061
KENYA,PWRGEO005,GEO,2030,3.5061
KENYA,PWRGEO005,GEO,2031,3.5061
KENYA,PWRGEO005,GEO,2032,3.5061
