r,t,e,y,AnnualTechnologyEmission
KENYA,PWRNGS003,CO2,2048,0.7401
KENYA,PWRNGS003,CO2,2049,0.7894
KENYA,PWRNGS003,CO2,2050,0.936
KENYA,PWRNGS004,CO2,2030,0.0398
KENYA,PWRNGS004,CO2,2031,0.0633
KENYA,PWRNGS004,CO2,2032,0.0571
KENYA,PWRNGS004,CO2,2033,0.2503
KENYA,PWRNGS004,CO2,2034,0.2739
KENYA,PWRNGS004,CO2,2035,0.2964
KENYA,PWRNGS004,CO2,2036,0.2854
KENYA,PWRNGS004,CO2,2037,0.2951
KENYA,PWRNGS004,CO2,2038,1.0306
KENYA,PWRNGS004,CO2,2039,0.4182
KENYA,PWRNGS004,CO2,2040,0.3025
KENYA,PWRNGS004,CO2,2041,0.3023
KENYA,PWRNGS004,CO2,2042,0.2904
KENYA,PWRNGS004,CO2,2043,0.2888
KENYA,PWRNGS004,CO2,2044,0.3215
KENYA,PWRNGS004,CO2,2045,0.3798
KENYA,PWRNGS004,CO2,2046,0.3774
KENYA,PWRNGS004,CO2,2047,0.3525
KENYA,PWRNGS004,CO2,2048,0.3371
KENYA,PWRNGS004,CO2,2049,0.3428
KENYA,PWRNGS004,CO2,2050,0.3788
KENYA,PWRNGS005,CO2,2033,0.0179
KENYA,PWRNGS005,CO2,2034,0.0744
KENYA,PWRNGS005,CO2,2035,0.0758
KENYA,PWRNGS005,CO2,2036,0.0828
KENYA,PWRNGS005,CO2,2037,0.0906
KENYA,PWRNGS005,CO2,2038,0.1256
KENYA,PWRNGS005,CO2,2039,0.0737
KENYA,PWRNGS005,CO2,2040,0.0607
KENYA,PWRNGS005,CO2,2041,0.0804
KENYA,PWRNGS005,CO2,2042,0.0729
KENYA,PWRNGS005,CO2,2043,0.1109
KENYA,PWRNGS005,CO2,2044,0.1155
KENYA,PWRNGS005,CO2,2045,0.1155
KENYA,PWRNGS005,CO2,2046,0.1314
KENYA,PWRNGS005,CO2,2047,0.1155
KENYA,PWRNGS005,CO2,2048,0.121
KENYA,PWRNGS005,CO2,2049,0.1151
KENYA,PWRNGS005,CO2,2050,0.1103
KENYA,PWRNGS006,CO2,2034,0.0456
KENYA,PWRNGS006,CO2,2035,0.0773
KENYA,PWRNGS006,CO2,2036,0.0706
KENYA,PWRNGS006,CO2,2037,0.0852
KENYA,PWRNGS006,CO2,2038,0.1634
KENYA,PWRNGS006,CO2,2039,0.0804
KENYA,PWRNGS006,CO2,2040,0.051
KENYA,PWRNGS006,CO2,2041,0.0854
KENYA,PWRNGS006,CO2,2042,0.1001
KENYA,PWRNGS006,CO2,2043,0.0999
KENYA,PWRNGS006,CO2,2044,0.1155
KENYA,PWRNGS006,CO2,2045,0.128
KENYA,PWRNGS006,CO2,2046,0.121
KENYA,PWRNGS006,CO2,2047,0.1155
KENYA,PWRNGS006,CO2,2048,0.121
KENYA,PWRNGS006,CO2,2049,0.1155
KENYA,PWRNGS006,CO2,2050,0.1132
KENYA,PWRNGS009,CO2,2033,0.029
KENYA,PWRNGS009,CO2,2034,0.0802
KENYA,PWRNGS009,CO2,2035,0.067
KENYA,PWRNGS009,CO2,2036,0.12
KENYA,PWRNGS009,CO2,2037,0.1195
KENYA,PWRNGS009,CO2,2038,0.2405
KENYA,PWRNGS009,CO2,2039,0.154
KENYA,PWRNGS009,CO2,2040,0.1119
KENYA,PWRNGS009,CO2,2041,0.1736
KENYA,PWRNGS009,CO2,2042,0.1523
KENYA,PWRNGS009,CO2,2043,0.1957
KENYA,PWRNGS009,CO2,2044,0.2003
KENYA,PWRNGS009,CO2,2045,0.2118
KENYA,PWRNGS009,CO2,2046,0.2098
KENYA,PWRNGS009,CO2,2047,0.2094
KENYA,PWRNGS009,CO2,2048,0.2118
KENYA,PWRNGS009,CO2,2049,0.2159
KENYA,PWRNGS009,CO2,2050,0.2125
KENYA,PWRNGS010,CO2,2035,0.1604
KENYA,PWRNGS010,CO2,2036,0.101
KENYA,PWRNGS010,CO2,2037,0.1482
KENYA,PWRNGS010,CO2,2038,0.2168
KENYA,PWRNGS010,CO2,2039,0.1643
KENYA,PWRNGS010,CO2,2040,0.1399
KENYA,PWRNGS010,CO2,2041,0.1591
KENYA,PWRNGS010,CO2,2042,0.1755
KENYA,PWRNGS010,CO2,2043,0.1941
KENYA,PWRNGS010,CO2,2044,0.2021
KENYA,PWRNGS010,CO2,2045,0.2113
KENYA,PWRNGS010,CO2,2046,0.2021
KENYA,PWRNGS010,CO2,2047,0.2021
KENYA,PWRNGS010,CO2,2048,0.2021
KENYA,PWRNGS010,CO2,2049,0.2167
KENYA,PWRNGS010,CO2,2050,0.1929
KENYA,PWRNGS011,CO2,2034,0.1046
KENYA,PWRNGS011,CO2,2035,0.1177
KENYA,PWRNGS011,CO2,2036,0.1369
KENYA,PWRNGS011,CO2,2037,0.1386
KENYA,PWRNGS011,CO2,2038,0.1915
KENYA,PWRNGS011,CO2,2039,0.1498
KENYA,PWRNGS011,CO2,2040,0.1519
KENYA,PWRNGS011,CO2,2041,0.1437
KENYA,PWRNGS011,CO2,2042,0.1286
KENYA,PWRNGS011,CO2,2043,0.1715
KENYA,PWRNGS011,CO2,2044,0.2021
KENYA,PWRNGS011,CO2,2045,0.2124
KENYA,PWRNGS011,CO2,2046,0.2021
KENYA,PWRNGS011,CO2,2047,0.2094
KENYA,PWRNGS011,CO2,2048,0.2155
KENYA,PWRNGS011,CO2,2049,0.2094
KENYA,PWRNGS011,CO2,2050,0.2021
KENYA,PWRNGS018,CO2,2033,0.0097
KENYA,PWRNGS018,CO2,2034,0.1255
KENYA,PWRNGS018,CO2,2035,0.3957
KENYA,PWRNGS018,CO2,2036,0.3071
KENYA,PWRNGS018,CO2,2037,0.5394
KENYA,PWRNGS018,CO2,2038,0.957
KENYA,PWRNGS018,CO2,2039,0.9396
KENYA,PWRNGS018,CO2,2040,1.0701
KENYA,PWRNGS018,CO2,2041,1.2916
KENYA,PWRNGS018,CO2,2042,1.5069
KENYA,PWRNGS018,CO2,2043,1.8925
KENYA,PWRNGS018,CO2,2044,2.2792
KENYA,PWRNGS018,CO2,2045,2.6613
KENYA,PWRNGS018,CO2,2046,3.2339
KENYA,PWRNGS018,CO2,2047,3.7838
KENYA,PWRNGS018,CO2,2048,4.2972
KENYA,PWRNGS018,CO2,2049,4.9356
KENYA,PWRNGS018,CO2,2050,5.7625
