r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,2,6,2044,0.4342
KENYA,BESS001,1,2,6,2045,-0.138
KENYA,BESS001,1,2,6,2048,-0.0192
KENYA,BESS001,1,2,6,2049,-0.0531
KENYA,BESS001,1,2,6,2050,-0.5138
KENYA,BESS001,2,1,1,2024,0.0693
KENYA,BESS001,2,1,1,2025,1.9607
KENYA,BESS001,2,1,1,2026,0.3374
KENYA,BESS001,2,1,1,2027,0.3348
KENYA,BESS001,2,1,1,2028,2.1613
KENYA,BESS001,2,1,1,2029,2.2342
KENYA,BESS001,2,1,1,2030,1.6021
KENYA,BESS001,2,1,1,2031,2.0817
KENYA,BESS001,2,1,1,2032,2.2934
KENYA,BESS001,2,1,1,2033,2.7221
KENYA,BESS001,2,1,1,2034,2.5174
KENYA,BESS001,2,1,1,2035,0.0001
KENYA,BESS001,2,1,1,2037,0.0001
KENYA,BESS001,2,1,1,2038,0.0
KENYA,BESS001,2,1,1,2040,0.0001
KENYA,BESS001,2,1,1,2041,-0.0
KENYA,BESS001,2,1,1,2042,0.0
KENYA,BESS001,2,1,1,2044,1.3421
KENYA,BESS001,2,1,1,2045,2.808
KENYA,BESS001,2,1,1,2046,4.8234
KENYA,BESS001,2,1,1,2047,7.2967
KENYA,BESS001,2,1,1,2048,9.4502
KENYA,BESS001,2,1,1,2049,11.1881
KENYA,BESS001,2,1,1,2050,11.2638
KENYA,BESS001,2,1,2,2025,-0.1169
KENYA,BESS001,2,1,2,2026,0.0855
KENYA,BESS001,2,1,2,2027,2.7221
KENYA,BESS001,2,1,2,2029,-1.7257
KENYA,BESS001,2,1,2,2031,-2.2478
KENYA,BESS001,2,1,2,2032,-2.7221
KENYA,BESS001,2,1,2,2033,-2.7221
KENYA,BESS001,2,1,2,2034,-2.2049
KENYA,BESS001,2,1,2,2037,-0.0
KENYA,BESS001,2,1,2,2038,0.0
KENYA,BESS001,2,1,2,2041,-0.0001
KENYA,BESS001,2,1,2,2042,-0.0
KENYA,BESS001,2,1,2,2044,-1.3421
KENYA,BESS001,2,1,2,2045,-2.808
KENYA,BESS001,2,1,2,2046,-4.8234
KENYA,BESS001,2,1,2,2047,-7.2967
KENYA,BESS001,2,1,2,2048,-9.4502
KENYA,BESS001,2,1,2,2049,-7.9501
KENYA,BESS001,2,1,2,2050,-5.0716
KENYA,BESS001,2,1,3,2029,-0.2965
KENYA,BESS001,2,1,3,2031,-0.5586
KENYA,BESS001,2,1,3,2032,-0.4615
KENYA,BESS001,2,1,3,2033,-0.341
KENYA,BESS001,2,1,3,2035,0.0
KENYA,BESS001,2,1,3,2036,0.0
KENYA,BESS001,2,1,3,2037,-0.0001
KENYA,BESS001,2,1,3,2038,0.0001
KENYA,BESS001,2,1,3,2040,-0.0
KENYA,BESS001,2,1,3,2041,-0.0001
KENYA,BESS001,2,1,3,2042,0.0
KENYA,BESS001,2,1,3,2044,0.0197
KENYA,BESS001,2,1,3,2045,0.0413
KENYA,BESS001,2,1,3,2046,0.0709
KENYA,BESS001,2,1,3,2047,0.1073
KENYA,BESS001,2,1,3,2048,3.0425
KENYA,BESS001,2,1,3,2049,3.2051
KENYA,BESS001,2,1,3,2050,3.1134
KENYA,BESS001,2,1,4,2024,-0.2047
KENYA,BESS001,2,1,4,2025,-2.6007
KENYA,BESS001,2,1,4,2026,-2.7221
KENYA,BESS001,2,1,4,2027,-2.1772
KENYA,BESS001,2,1,4,2028,-2.7027
KENYA,BESS001,2,1,4,2029,-1.7828
KENYA,BESS001,2,1,4,2030,-2.4195
KENYA,BESS001,2,1,4,2031,-2.3635
KENYA,BESS001,2,1,4,2032,-1.5211
KENYA,BESS001,2,1,4,2033,-2.163
KENYA,BESS001,2,1,4,2034,-1.6995
KENYA,BESS001,2,1,4,2035,-0.0001
KENYA,BESS001,2,1,4,2036,-0.0
KENYA,BESS001,2,1,4,2037,-0.0
KENYA,BESS001,2,1,4,2038,-0.0002
KENYA,BESS001,2,1,4,2040,-0.0001
KENYA,BESS001,2,1,4,2041,0.0
KENYA,BESS001,2,1,4,2042,-0.0
KENYA,BESS001,2,1,4,2044,-1.3421
KENYA,BESS001,2,1,4,2045,-2.808
KENYA,BESS001,2,1,4,2046,-4.8234
KENYA,BESS001,2,1,4,2047,-7.2967
KENYA,BESS001,2,1,4,2048,-9.4502
KENYA,BESS001,2,1,4,2049,-11.6138
KENYA,BESS001,2,1,4,2050,-13.3481
KENYA,BESS001,2,1,5,2024,0.2047
KENYA,BESS001,2,1,5,2025,-0.4226
KENYA,BESS001,2,1,5,2026,0.7762
KENYA,BESS001,2,1,5,2027,-0.6595
KENYA,BESS001,2,1,5,2028,-0.9846
KENYA,BESS001,2,1,5,2029,0.3877
KENYA,BESS001,2,1,5,2030,-0.8856
KENYA,BESS001,2,1,5,2031,-0.4774
KENYA,BESS001,2,1,5,2032,-1.6113
KENYA,BESS001,2,1,5,2033,-2.7138
KENYA,BESS001,2,1,5,2034,-1.7358
KENYA,BESS001,2,1,5,2035,-0.0002
KENYA,BESS001,2,1,5,2037,0.0
KENYA,BESS001,2,1,5,2038,0.0
KENYA,BESS001,2,1,5,2041,-0.0
KENYA,BESS001,2,1,5,2042,-0.0
KENYA,BESS001,2,1,5,2044,-1.3421
KENYA,BESS001,2,1,5,2045,-2.808
KENYA,BESS001,2,1,5,2046,-4.8234
KENYA,BESS001,2,1,5,2047,-7.2967
KENYA,BESS001,2,1,5,2048,-9.4502
KENYA,BESS001,2,1,5,2049,-11.6138
KENYA,BESS001,2,1,5,2050,-15.6268
KENYA,BESS001,2,1,6,2026,2.3975
KENYA,BESS001,2,1,6,2030,0.6683
KENYA,BESS001,2,1,6,2031,2.7221
KENYA,BESS001,2,1,6,2032,2.2061
KENYA,BESS001,2,1,6,2033,2.7221
KENYA,BESS001,2,1,6,2034,0.6436
KENYA,BESS001,2,1,6,2037,-0.0001
KENYA,BESS001,2,1,6,2038,-0.0
KENYA,BESS001,2,1,6,2041,0.0002
KENYA,BESS001,2,1,6,2042,0.0
KENYA,BESS001,2,1,6,2044,1.3421
KENYA,BESS001,2,1,6,2045,2.808
KENYA,BESS001,2,1,6,2046,4.8234
KENYA,BESS001,2,1,6,2047,7.2967
KENYA,BESS001,2,1,6,2048,3.6431
KENYA,BESS001,2,1,6,2049,2.733
KENYA,BESS001,2,1,6,2050,4.9474
KENYA,BESS001,2,2,1,2024,0.2047
KENYA,BESS001,2,2,1,2025,2.7221
KENYA,BESS001,2,2,1,2026,0.0864
KENYA,BESS001,2,2,1,2027,1.7568
KENYA,BESS001,2,2,1,2028,2.7221
KENYA,BESS001,2,2,1,2029,2.7221
KENYA,BESS001,2,2,1,2030,2.7221
KENYA,BESS001,2,2,1,2031,2.7221
KENYA,BESS001,2,2,1,2032,2.7221
KENYA,BESS001,2,2,1,2033,2.7221
KENYA,BESS001,2,2,1,2034,0.0176
KENYA,BESS001,2,2,1,2035,0.0001
KENYA,BESS001,2,2,1,2036,0.0002
KENYA,BESS001,2,2,1,2037,0.0
KENYA,BESS001,2,2,1,2038,-0.0
KENYA,BESS001,2,2,1,2041,0.0
KENYA,BESS001,2,2,1,2042,0.0001
KENYA,BESS001,2,2,1,2044,1.3421
KENYA,BESS001,2,2,1,2045,2.808
KENYA,BESS001,2,2,1,2046,4.8234
KENYA,BESS001,2,2,1,2047,7.2967
KENYA,BESS001,2,2,1,2048,9.4502
KENYA,BESS001,2,2,1,2049,11.6138
KENYA,BESS001,2,2,1,2050,15.6268
KENYA,BESS001,2,2,2,2024,-0.2047
KENYA,BESS001,2,2,2,2025,-2.7221
KENYA,BESS001,2,2,2,2026,-2.7221
KENYA,BESS001,2,2,2,2027,-2.7221
KENYA,BESS001,2,2,2,2028,-2.7221
KENYA,BESS001,2,2,2,2029,-2.7221
KENYA,BESS001,2,2,2,2030,-2.7221
KENYA,BESS001,2,2,2,2031,-2.7221
KENYA,BESS001,2,2,2,2032,-2.7221
KENYA,BESS001,2,2,2,2033,-2.7221
KENYA,BESS001,2,2,2,2034,-2.5174
KENYA,BESS001,2,2,2,2036,-0.0003
KENYA,BESS001,2,2,2,2037,-0.0002
KENYA,BESS001,2,2,2,2038,0.0
KENYA,BESS001,2,2,2,2041,-0.0
KENYA,BESS001,2,2,2,2042,-0.0
KENYA,BESS001,2,2,2,2044,-1.3421
KENYA,BESS001,2,2,2,2045,-2.808
KENYA,BESS001,2,2,2,2046,-4.8234
KENYA,BESS001,2,2,2,2047,-7.2967
KENYA,BESS001,2,2,2,2048,-9.4502
KENYA,BESS001,2,2,2,2049,-11.6138
KENYA,BESS001,2,2,2,2050,-15.6268
KENYA,BESS001,2,2,3,2024,0.0693
KENYA,BESS001,2,2,3,2025,2.2148
KENYA,BESS001,2,2,3,2026,1.9996
KENYA,BESS001,2,2,3,2027,1.2578
KENYA,BESS001,2,2,3,2028,0.6586
KENYA,BESS001,2,2,3,2029,2.7221
KENYA,BESS001,2,2,3,2030,0.6261
KENYA,BESS001,2,2,3,2031,0.4744
KENYA,BESS001,2,2,3,2032,0.926
KENYA,BESS001,2,2,3,2033,1.2222
