r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,2,1,4,2036,-0.0
KENYA,BESS001,2,1,4,2037,-0.0
KENYA,BESS001,2,1,4,2038,-0.0
KENYA,BESS001,2,1,4,2040,-0.0
KENYA,BESS001,2,1,4,2041,0.0
KENYA,BESS001,2,1,4,2042,-0.0
KENYA,BESS001,2,1,4,2044,-0.0267
KENYA,BESS001,2,1,4,2045,-0.0559
KENYA,BESS001,2,1,4,2046,-0.096
KENYA,BESS001,2,1,4,2047,-0.1452
KENYA,BESS001,2,1,4,2048,-0.1881
KENYA,BESS001,2,1,4,2049,-0.2311
KENYA,BESS001,2,1,4,2050,-0.2656
KENYA,BESS001,2,1,5,2024,0.002
KENYA,BESS001,2,1,5,2025,-0.0042
KENYA,BESS001,2,1,5,2026,0.0078
KENYA,BESS001,2,1,5,2027,-0.0066
KENYA,BESS001,2,1,5,2028,-0.0098
KENYA,BESS001,2,1,5,2029,0.0039
KENYA,BESS001,2,1,5,2030,-0.0089
KENYA,BESS001,2,1,5,2031,-0.0048
KENYA,BESS001,2,1,5,2032,-0.0161
KENYA,BESS001,2,1,5,2033,-0.0271
KENYA,BESS001,2,1,5,2034,-0.0174
KENYA,BESS001,2,1,5,2035,-0.0
KENYA,BESS001,2,1,5,2042,-0.0
KENYA,BESS001,2,1,5,2044,-0.0134
KENYA,BESS001,2,1,5,2045,-0.0281
KENYA,BESS001,2,1,5,2046,-0.0482
KENYA,BESS001,2,1,5,2047,-0.073
KENYA,BESS001,2,1,5,2048,-0.0945
KENYA,BESS001,2,1,5,2049,-0.1161
KENYA,BESS001,2,1,5,2050,-0.1563
KENYA,BESS001,2,1,6,2026,0.0357
KENYA,BESS001,2,1,6,2030,0.01
KENYA,BESS001,2,1,6,2031,0.0406
KENYA,BESS001,2,1,6,2032,0.0329
KENYA,BESS001,2,1,6,2033,0.0406
KENYA,BESS001,2,1,6,2034,0.0096
KENYA,BESS001,2,1,6,2037,-0.0
KENYA,BESS001,2,1,6,2038,-0.0
KENYA,BESS001,2,1,6,2041,0.0
KENYA,BESS001,2,1,6,2042,0.0
KENYA,BESS001,2,1,6,2044,0.02
KENYA,BESS001,2,1,6,2045,0.0418
KENYA,BESS001,2,1,6,2046,0.0719
KENYA,BESS001,2,1,6,2047,0.1087
KENYA,BESS001,2,1,6,2048,0.0543
KENYA,BESS001,2,1,6,2049,0.0407
KENYA,BESS001,2,1,6,2050,0.0737
KENYA,BESS001,2,2,1,2024,0.0024
KENYA,BESS001,2,2,1,2025,0.0324
KENYA,BESS001,2,2,1,2026,0.001
KENYA,BESS001,2,2,1,2027,0.0209
KENYA,BESS001,2,2,1,2028,0.0324
KENYA,BESS001,2,2,1,2029,0.0324
KENYA,BESS001,2,2,1,2030,0.0324
KENYA,BESS001,2,2,1,2031,0.0324
KENYA,BESS001,2,2,1,2032,0.0324
KENYA,BESS001,2,2,1,2033,0.0324
KENYA,BESS001,2,2,1,2034,0.0002
KENYA,BESS001,2,2,1,2035,0.0
KENYA,BESS001,2,2,1,2036,0.0
KENYA,BESS001,2,2,1,2037,0.0
KENYA,BESS001,2,2,1,2041,0.0
KENYA,BESS001,2,2,1,2042,0.0
KENYA,BESS001,2,2,1,2044,0.016
KENYA,BESS001,2,2,1,2045,0.0334
KENYA,BESS001,2,2,1,2046,0.0574
KENYA,BESS001,2,2,1,2047,0.0868
KENYA,BESS001,2,2,1,2048,0.1125
KENYA,BESS001,2,2,1,2049,0.1382
KENYA,BESS001,2,2,1,2050,0.186
KENYA,BESS001,2,2,2,2024,-0.0012
KENYA,BESS001,2,2,2,2025,-0.0163
KENYA,BESS001,2,2,2,2026,-0.0163
KENYA,BESS001,2,2,2,2027,-0.0163
KENYA,BESS001,2,2,2,2028,-0.0163
KENYA,BESS001,2,2,2,2029,-0.0163
KENYA,BESS001,2,2,2,2030,-0.0163
KENYA,BESS001,2,2,2,2031,-0.0163
KENYA,BESS001,2,2,2,2032,-0.0163
KENYA,BESS001,2,2,2,2033,-0.0163
KENYA,BESS001,2,2,2,2034,-0.0151
KENYA,BESS001,2,2,2,2036,-0.0
KENYA,BESS001,2,2,2,2037,-0.0
KENYA,BESS001,2,2,2,2044,-0.0081
KENYA,BESS001,2,2,2,2045,-0.0168
KENYA,BESS001,2,2,2,2046,-0.0289
KENYA,BESS001,2,2,2,2047,-0.0438
KENYA,BESS001,2,2,2,2048,-0.0567
KENYA,BESS001,2,2,2,2049,-0.0697
KENYA,BESS001,2,2,2,2050,-0.0938
KENYA,BESS001,2,2,3,2024,0.0008
KENYA,BESS001,2,2,3,2025,0.0264
KENYA,BESS001,2,2,3,2026,0.0238
KENYA,BESS001,2,2,3,2027,0.015
KENYA,BESS001,2,2,3,2028,0.0078
KENYA,BESS001,2,2,3,2029,0.0324
KENYA,BESS001,2,2,3,2030,0.0075
KENYA,BESS001,2,2,3,2031,0.0056
KENYA,BESS001,2,2,3,2032,0.011
KENYA,BESS001,2,2,3,2033,0.0145
KENYA,BESS001,2,2,3,2036,0.0
KENYA,BESS001,2,2,3,2037,0.0
KENYA,BESS001,2,2,3,2038,0.0
KENYA,BESS001,2,2,3,2040,0.0
KENYA,BESS001,2,2,3,2041,0.0
KENYA,BESS001,2,2,3,2042,0.0
KENYA,BESS001,2,2,3,2044,0.016
KENYA,BESS001,2,2,3,2045,0.0334
KENYA,BESS001,2,2,3,2046,0.0574
KENYA,BESS001,2,2,3,2047,0.0868
KENYA,BESS001,2,2,3,2048,0.1125
KENYA,BESS001,2,2,3,2049,0.1122
KENYA,BESS001,2,2,3,2050,0.1136
KENYA,BESS001,2,2,4,2024,-0.0016
KENYA,BESS001,2,2,4,2025,-0.0218
KENYA,BESS001,2,2,4,2026,-0.0034
KENYA,BESS001,2,2,4,2027,-0.0141
KENYA,BESS001,2,2,4,2028,-0.0175
KENYA,BESS001,2,2,4,2029,-0.0213
KENYA,BESS001,2,2,4,2030,-0.0183
KENYA,BESS001,2,2,4,2031,-0.0165
KENYA,BESS001,2,2,4,2032,-0.0218
KENYA,BESS001,2,2,4,2033,-0.0218
KENYA,BESS001,2,2,4,2034,0.0195
KENYA,BESS001,2,2,4,2036,-0.0
KENYA,BESS001,2,2,4,2041,-0.0
KENYA,BESS001,2,2,4,2042,-0.0
KENYA,BESS001,2,2,4,2044,-0.0107
KENYA,BESS001,2,2,4,2045,-0.0225
KENYA,BESS001,2,2,4,2046,-0.0377
KENYA,BESS001,2,2,4,2047,-0.0571
KENYA,BESS001,2,2,4,2048,-0.0756
KENYA,BESS001,2,2,4,2049,-0.0929
KENYA,BESS001,2,2,4,2050,-0.1128
KENYA,BESS001,2,2,5,2024,0.0008
KENYA,BESS001,2,2,5,2025,-0.0044
KENYA,BESS001,2,2,5,2026,0.0109
KENYA,BESS001,2,2,5,2027,0.0106
KENYA,BESS001,2,2,5,2028,0.0097
KENYA,BESS001,2,2,5,2029,-0.0109
KENYA,BESS001,2,2,5,2030,0.0109
KENYA,BESS001,2,2,5,2031,0.0109
KENYA,BESS001,2,2,5,2032,0.0108
KENYA,BESS001,2,2,5,2033,0.0073
KENYA,BESS001,2,2,5,2034,0.0101
KENYA,BESS001,2,2,5,2036,-0.0
KENYA,BESS001,2,2,5,2037,-0.0
KENYA,BESS001,2,2,5,2040,-0.0
KENYA,BESS001,2,2,5,2044,-0.0054
KENYA,BESS001,2,2,5,2045,-0.0107
KENYA,BESS001,2,2,5,2046,-0.0193
KENYA,BESS001,2,2,5,2047,-0.0292
KENYA,BESS001,2,2,5,2048,-0.0362
KENYA,BESS001,2,2,5,2049,-0.0186
KENYA,BESS001,2,2,6,2024,-0.0012
KENYA,BESS001,2,2,6,2025,-0.0163
KENYA,BESS001,2,2,6,2026,-0.0163
KENYA,BESS001,2,2,6,2027,-0.0163
KENYA,BESS001,2,2,6,2028,-0.0163
KENYA,BESS001,2,2,6,2029,-0.0163
KENYA,BESS001,2,2,6,2030,-0.0163
KENYA,BESS001,2,2,6,2031,-0.0163
KENYA,BESS001,2,2,6,2032,-0.0163
KENYA,BESS001,2,2,6,2033,-0.0163
KENYA,BESS001,2,2,6,2034,-0.0151
KENYA,BESS001,2,2,6,2035,-0.0
KENYA,BESS001,2,2,6,2036,-0.0
KENYA,BESS001,2,2,6,2037,-0.0
KENYA,BESS001,2,2,6,2038,-0.0
KENYA,BESS001,2,2,6,2040,-0.0
KENYA,BESS001,2,2,6,2042,-0.0
KENYA,BESS001,2,2,6,2044,-0.0078
KENYA,BESS001,2,2,6,2045,-0.0168
KENYA,BESS001,2,2,6,2046,-0.0289
KENYA,BESS001,2,2,6,2047,-0.0438
KENYA,BESS001,2,2,6,2048,-0.0567
KENYA,BESS001,2,2,6,2049,-0.0697
KENYA,BESS001,2,2,6,2050,-0.0938
KENYA,BESS001,3,1,1,2024,-0.0081
KENYA,BESS001,3,1,1,2026,-0.052
KENYA,BESS001,3,1,1,2027,-0.0059
KENYA,BESS001,3,1,1,2030,-0.0186
KENYA,BESS001,3,1,1,2031,-0.0961
KENYA,BESS001,3,1,1,2032,-0.0925
KENYA,BESS001,3,1,1,2033,-0.0975
KENYA,BESS001,3,1,1,2034,-0.1503
KENYA,BESS001,3,1,1,2038,-0.0
KENYA,BESS001,3,1,1,2041,-0.0
KENYA,BESS001,3,1,1,2042,-0.0
KENYA,BESS001,3,1,1,2044,-0.0084
KENYA,BESS001,3,1,1,2045,-0.0698
KENYA,BESS001,3,1,1,2046,-0.1276
KENYA,BESS001,3,1,1,2047,-0.4356
KENYA,BESS001,3,1,1,2048,-0.4004
KENYA,BESS001,3,1,1,2049,-0.5518
KENYA,BESS001,3,1,1,2050,-0.6272
KENYA,BESS001,3,1,2,2024,0.0061
KENYA,BESS001,3,1,2,2025,0.0114
KENYA,BESS001,3,1,2,2026,0.0811
KENYA,BESS001,3,1,2,2027,0.0811
KENYA,BESS001,3,1,2,2028,0.0811
KENYA,BESS001,3,1,2,2029,-0.0195
KENYA,BESS001,3,1,2,2030,0.0811
KENYA,BESS001,3,1,2,2031,-0.0313
KENYA,BESS001,3,1,2,2032,-0.0311
KENYA,BESS001,3,1,2,2033,-0.0303
KENYA,BESS001,3,1,2,2034,0.075
KENYA,BESS001,3,1,2,2035,0.0
KENYA,BESS001,3,1,2,2036,0.0
KENYA,BESS001,3,1,2,2037,-0.0
KENYA,BESS001,3,1,2,2038,0.0
KENYA,BESS001,3,1,2,2040,-0.0
KENYA,BESS001,3,1,2,2041,0.0
KENYA,BESS001,3,1,2,2042,0.0
KENYA,BESS001,3,1,2,2044,0.04
KENYA,BESS001,3,1,2,2045,0.0837
KENYA,BESS001,3,1,2,2046,0.1437
KENYA,BESS001,3,1,2,2047,0.2174
KENYA,BESS001,3,1,2,2048,0.2816
KENYA,BESS001,3,1,2,2049,0.3461
KENYA,BESS001,3,1,2,2050,0.4657
KENYA,BESS001,3,1,3,2025,-0.0903
KENYA,BESS001,3,1,3,2026,-0.1625
KENYA,BESS001,3,1,3,2027,-0.1625
KENYA,BESS001,3,1,3,2028,-0.1533
KENYA,BESS001,3,1,3,2029,-0.0892
KENYA,BESS001,3,1,3,2030,-0.1536
KENYA,BESS001,3,1,3,2031,-0.0312
KENYA,BESS001,3,1,3,2032,-0.0277
KENYA,BESS001,3,1,3,2033,-0.0167
KENYA,BESS001,3,1,3,2034,-0.0858
KENYA,BESS001,3,1,3,2035,-0.0
KENYA,BESS001,3,1,3,2036,-0.0
KENYA,BESS001,3,1,3,2037,-0.0
KENYA,BESS001,3,1,3,2038,-0.0
KENYA,BESS001,3,1,3,2041,-0.0
KENYA,BESS001,3,1,3,2042,-0.0
KENYA,BESS001,3,1,3,2044,-0.0801
KENYA,BESS001,3,1,3,2045,-0.1676
KENYA,BESS001,3,1,3,2046,-0.288
KENYA,BESS001,3,1,3,2047,-0.2409
KENYA,BESS001,3,1,3,2048,-0.5642
KENYA,BESS001,3,1,3,2049,-0.6933
KENYA,BESS001,3,1,3,2050,-0.9329
KENYA,BESS001,3,1,4,2024,-0.0081
KENYA,BESS001,3,1,4,2025,-0.0564
KENYA,BESS001,3,1,4,2026,-0.0029
KENYA,BESS001,3,1,4,2027,-0.0483
KENYA,BESS001,3,1,4,2028,-0.0632
KENYA,BESS001,3,1,4,2029,-0.0271
KENYA,BESS001,3,1,4,2030,-0.0446
KENYA,BESS001,3,1,4,2031,0.0221
KENYA,BESS001,3,1,4,2032,0.0149
KENYA,BESS001,3,1,4,2033,0.0081
KENYA,BESS001,3,1,4,2034,0.0344
KENYA,BESS001,3,1,4,2035,0.0
KENYA,BESS001,3,1,4,2036,-0.0
KENYA,BESS001,3,1,4,2037,0.0
KENYA,BESS001,3,1,4,2038,0.0
KENYA,BESS001,3,1,4,2040,-0.0
KENYA,BESS001,3,1,4,2041,0.0
KENYA,BESS001,3,1,4,2042,0.0
KENYA,BESS001,3,1,4,2044,-0.0184
KENYA,BESS001,3,1,4,2045,0.0129
KENYA,BESS001,3,1,4,2046,0.0298
KENYA,BESS001,3,1,4,2047,0.0922
KENYA,BESS001,3,1,4,2048,0.2065
KENYA,BESS001,3,1,4,2049,0.3127
KENYA,BESS001,3,1,4,2050,0.3389
KENYA,BESS001,3,1,5,2024,0.0041
KENYA,BESS001,3,1,5,2025,0.0542
KENYA,BESS001,3,1,5,2026,0.0542
KENYA,BESS001,3,1,5,2027,0.0542
KENYA,BESS001,3,1,5,2028,0.0542
KENYA,BESS001,3,1,5,2029,0.0542
KENYA,BESS001,3,1,5,2030,0.0542
KENYA,BESS001,3,1,5,2031,0.0542
KENYA,BESS001,3,1,5,2032,0.0542
KENYA,BESS001,3,1,5,2033,0.0542
KENYA,BESS001,3,1,5,2034,0.0501
KENYA,BESS001,3,1,5,2035,0.0
KENYA,BESS001,3,1,5,2036,0.0
KENYA,BESS001,3,1,5,2037,0.0
KENYA,BESS001,3,1,5,2038,0.0
KENYA,BESS001,3,1,5,2041,0.0
KENYA,BESS001,3,1,5,2042,0.0
KENYA,BESS001,3,1,5,2044,0.0267
KENYA,BESS001,3,1,5,2045,0.0559
KENYA,BESS001,3,1,5,2046,0.096
KENYA,BESS001,3,1,5,2047,0.1452
KENYA,BESS001,3,1,5,2048,0.1881
KENYA,BESS001,3,1,5,2049,0.2311
KENYA,BESS001,3,1,5,2050,0.2793
