r,t,e,m,y,AnnualTechnologyEmissionByMode
KENYA,PWRNGS002,CO2,1,2040,0.0
KENYA,PWRNGS002,CO2,1,2041,0.0
KENYA,PWRNGS002,CO2,1,2042,0.0
KENYA,PWRNGS002,CO2,1,2043,0.0
KENYA,PWRNGS002,CO2,1,2044,0.0
KENYA,PWRNGS002,CO2,1,2045,0.0
KENYA,PWRNGS002,CO2,1,2046,0.0
KENYA,PWRNGS002,CO2,1,2047,0.0
KENYA,PWRNGS002,CO2,1,2048,0.0
KENYA,PWRNGS002,CO2,1,2049,0.0
KENYA,PWRNGS002,CO2,1,2050,0.0
KENYA,PWRNGS003,CO2,1,2033,0.0
KENYA,PWRNGS003,CO2,1,2038,0.0
KENYA,PWRNGS003,CO2,1,2039,0.0
KENYA,PWRNGS003,CO2,1,2041,0.0
KENYA,PWRNGS003,CO2,1,2042,0.0
KENYA,PWRNGS003,CO2,1,2043,-0.0
KENYA,PWRNGS003,CO2,1,2046,0.0
KENYA,PWRNGS003,CO2,1,2047,0.0
KENYA,PWRNGS003,CO2,1,2048,0.0
KENYA,PWRNGS003,CO2,1,2050,0.0
KENYA,PWRNGS004,CO2,1,2031,0.0006
KENYA,PWRNGS004,CO2,1,2032,0.0022
KENYA,PWRNGS004,CO2,1,2033,0.0038
KENYA,PWRNGS004,CO2,1,2034,0.0038
KENYA,PWRNGS004,CO2,1,2035,0.0228
KENYA,PWRNGS004,CO2,1,2036,0.028
KENYA,PWRNGS004,CO2,1,2037,0.0376
KENYA,PWRNGS004,CO2,1,2038,0.0375
KENYA,PWRNGS004,CO2,1,2039,0.0445
KENYA,PWRNGS004,CO2,1,2040,0.0219
KENYA,PWRNGS004,CO2,1,2041,0.0265
KENYA,PWRNGS004,CO2,1,2042,0.0395
KENYA,PWRNGS004,CO2,1,2043,0.0358
KENYA,PWRNGS004,CO2,1,2044,0.0321
KENYA,PWRNGS004,CO2,1,2045,0.0329
KENYA,PWRNGS004,CO2,1,2046,0.0257
KENYA,PWRNGS004,CO2,1,2047,0.0209
KENYA,PWRNGS004,CO2,1,2048,0.0208
KENYA,PWRNGS004,CO2,1,2049,0.0208
KENYA,PWRNGS004,CO2,1,2050,0.0208
KENYA,PWRNGS005,CO2,1,2045,0.0018
KENYA,PWRNGS005,CO2,1,2046,0.0055
KENYA,PWRNGS005,CO2,1,2047,0.0028
KENYA,PWRNGS005,CO2,1,2048,0.0028
KENYA,PWRNGS005,CO2,1,2049,0.0055
KENYA,PWRNGS005,CO2,1,2050,0.0083
KENYA,PWRNGS006,CO2,1,2025,0.0
KENYA,PWRNGS006,CO2,1,2043,-0.0
KENYA,PWRNGS006,CO2,1,2044,0.0033
KENYA,PWRNGS006,CO2,1,2045,0.0055
KENYA,PWRNGS006,CO2,1,2048,0.0009
KENYA,PWRNGS006,CO2,1,2049,0.0009
KENYA,PWRNGS006,CO2,1,2050,0.0028
KENYA,PWRNGS007,CO2,1,2038,-0.0
KENYA,PWRNGS008,CO2,1,2038,-0.0
KENYA,PWRNGS008,CO2,1,2042,-0.0
KENYA,PWRNGS009,CO2,1,2046,0.0017
KENYA,PWRNGS009,CO2,1,2048,0.0027
KENYA,PWRNGS009,CO2,1,2049,0.0027
KENYA,PWRNGS010,CO2,1,2025,-0.0
KENYA,PWRNGS010,CO2,1,2037,0.0
KENYA,PWRNGS010,CO2,1,2042,-0.0
KENYA,PWRNGS010,CO2,1,2048,0.0028
KENYA,PWRNGS010,CO2,1,2050,0.0036
KENYA,PWRNGS011,CO2,1,2043,0.0025
KENYA,PWRNGS011,CO2,1,2047,0.0054
KENYA,PWRNGS011,CO2,1,2049,0.0045
KENYA,PWRNGS011,CO2,1,2050,0.0093
KENYA,PWRNGS017,CO2,1,2047,-0.0
