r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,MINBIO,1,2031,4.0398
KENYA,MINBIO,1,2032,4.5268
KENYA,MINBIO,1,2033,4.662
KENYA,MINBIO,1,2034,4.9326
KENYA,MINBIO,1,2035,4.9461
KENYA,MINBIO,1,2036,4.9461
KENYA,MINBIO,1,2037,4.9461
KENYA,MINBIO,1,2038,4.9461
KENYA,MINBIO,1,2039,4.9461
KENYA,MINBIO,1,2040,4.9461
KENYA,MINBIO,1,2041,4.9461
KENYA,MINBIO,1,2042,4.9461
KENYA,MINBIO,1,2043,4.8559
KENYA,MINBIO,1,2044,4.8559
KENYA,MINBIO,1,2045,4.8559
KENYA,MINBIO,1,2046,4.8559
KENYA,MINBIO,1,2047,4.8559
KENYA,MINBIO,1,2048,4.8559
KENYA,MINBIO,1,2049,4.8559
KENYA,MINBIO,1,2050,4.8559
KENYA,MINGEO,1,2019,70.0437
KENYA,MINGEO,1,2020,70.0437
KENYA,MINGEO,1,2021,70.0437
KENYA,MINGEO,1,2022,77.4191
KENYA,MINGEO,1,2023,80.5179
KENYA,MINGEO,1,2024,77.8618
KENYA,MINGEO,1,2025,88.3094
KENYA,MINGEO,1,2026,98.5669
KENYA,MINGEO,1,2027,101.1831
KENYA,MINGEO,1,2028,108.2663
KENYA,MINGEO,1,2029,124.1242
KENYA,MINGEO,1,2030,127.6564
KENYA,MINGEO,1,2031,138.9452
KENYA,MINGEO,1,2032,141.6014
KENYA,MINGEO,1,2033,144.2576
KENYA,MINGEO,1,2034,158.0105
KENYA,MINGEO,1,2035,162.851
KENYA,MINGEO,1,2036,177.3926
KENYA,MINGEO,1,2037,192.069
KENYA,MINGEO,1,2038,200.9584
KENYA,MINGEO,1,2039,223.3058
KENYA,MINGEO,1,2040,244.1026
KENYA,MINGEO,1,2041,253.9405
KENYA,MINGEO,1,2042,261.0237
KENYA,MINGEO,1,2043,262.458
KENYA,MINGEO,1,2044,270.4266
KENYA,MINGEO,1,2045,265.2913
KENYA,MINGEO,1,2046,275.0307
KENYA,MINGEO,1,2047,278.2801
KENYA,MINGEO,1,2048,286.6913
KENYA,MINGEO,1,2049,299.9723
KENYA,MINGEO,1,2050,309.2689
KENYA,MINHYD,1,2019,12.0376
KENYA,MINHYD,1,2020,12.0376
KENYA,MINHYD,1,2021,12.0376
KENYA,MINHYD,1,2022,12.0376
KENYA,MINHYD,1,2023,12.1346
KENYA,MINHYD,1,2024,12.1678
KENYA,MINHYD,1,2025,12.1718
KENYA,MINHYD,1,2026,12.5015
KENYA,MINHYD,1,2027,12.6478
KENYA,MINHYD,1,2028,12.689
KENYA,MINHYD,1,2029,12.7873
KENYA,MINHYD,1,2030,13.2739
KENYA,MINHYD,1,2031,13.6474
KENYA,MINHYD,1,2032,13.8894
KENYA,MINHYD,1,2033,14.3174
KENYA,MINHYD,1,2034,14.6511
KENYA,MINHYD,1,2035,15.0725
KENYA,MINHYD,1,2036,15.4434
KENYA,MINHYD,1,2037,15.4913
KENYA,MINHYD,1,2038,15.5431
KENYA,MINHYD,1,2039,15.5989
KENYA,MINHYD,1,2040,15.6614
KENYA,MINHYD,1,2041,15.7292
KENYA,MINHYD,1,2042,14.1093
KENYA,MINHYD,1,2043,14.1904
KENYA,MINHYD,1,2044,14.2781
KENYA,MINHYD,1,2045,14.3751
KENYA,MINHYD,1,2046,14.4815
KENYA,MINHYD,1,2047,14.5972
KENYA,MINHYD,1,2048,14.7234
KENYA,MINHYD,1,2049,14.8617
KENYA,MINHYD,1,2050,15.0132
KENYA,MINSOL,1,2019,0.3111
KENYA,MINSOL,1,2020,0.3111
KENYA,MINSOL,1,2021,0.8065
KENYA,MINSOL,1,2022,1.0542
KENYA,MINSOL,1,2023,1.3112
KENYA,MINSOL,1,2024,1.5588
KENYA,MINSOL,1,2025,1.5588
KENYA,MINSOL,1,2026,1.8065
KENYA,MINSOL,1,2027,1.8065
KENYA,MINSOL,1,2028,1.8065
KENYA,MINSOL,1,2029,1.8065
KENYA,MINSOL,1,2030,1.8065
KENYA,MINSOL,1,2031,1.8065
KENYA,MINSOL,1,2032,1.8065
KENYA,MINSOL,1,2033,1.8065
KENYA,MINSOL,1,2034,1.8065
KENYA,MINSOL,1,2035,1.8065
KENYA,MINSOL,1,2036,1.8065
KENYA,MINSOL,1,2037,1.8065
KENYA,MINSOL,1,2038,1.4954
KENYA,MINSOL,1,2039,1.4954
KENYA,MINSOL,1,2040,1.4954
KENYA,MINSOL,1,2041,1.0
KENYA,MINSOL,1,2042,1.0
KENYA,MINSOL,1,2043,0.743
KENYA,MINSOL,1,2044,0.4954
KENYA,MINSOL,1,2045,0.4954
KENYA,MINSOL,1,2046,0.2477
KENYA,MINSOL,1,2047,0.2477
KENYA,MINSOL,1,2048,0.2477
KENYA,MINSOL,1,2049,0.2477
KENYA,MINSOL,1,2050,0.2477
KENYA,MINWND,1,2019,5.4829
KENYA,MINWND,1,2020,5.4829
KENYA,MINWND,1,2021,6.9304
KENYA,MINWND,1,2022,6.9304
KENYA,MINWND,1,2023,6.9304
KENYA,MINWND,1,2024,6.9304
KENYA,MINWND,1,2025,7.0512
KENYA,MINWND,1,2026,7.6819
KENYA,MINWND,1,2027,9.1116
KENYA,MINWND,1,2028,10.3174
KENYA,MINWND,1,2029,10.3174
KENYA,MINWND,1,2030,11.3767
KENYA,MINWND,1,2031,11.3767
KENYA,MINWND,1,2032,14.472
KENYA,MINWND,1,2033,17.5225
KENYA,MINWND,1,2034,17.5225
KENYA,MINWND,1,2035,20.1545
KENYA,MINWND,1,2036,20.1545
KENYA,MINWND,1,2037,20.8755
KENYA,MINWND,1,2038,24.2541
KENYA,MINWND,1,2039,23.0153
KENYA,MINWND,1,2040,23.0153
KENYA,MINWND,1,2041,27.2997
KENYA,MINWND,1,2042,33.7354
KENYA,MINWND,1,2043,41.4868
KENYA,MINWND,1,2044,47.38
KENYA,MINWND,1,2045,57.8321
KENYA,MINWND,1,2046,63.9188
KENYA,MINWND,1,2047,72.275
KENYA,MINWND,1,2048,78.8978
KENYA,MINWND,1,2049,84.8923
KENYA,MINWND,1,2050,92.9496
KENYA,PWRBIO001,1,2019,0.0315
KENYA,PWRBIO001,1,2020,0.0315
KENYA,PWRBIO001,1,2021,0.0315
KENYA,PWRBIO001,1,2022,0.0315
KENYA,PWRBIO001,1,2023,0.0536
KENYA,PWRBIO001,1,2024,0.0536
KENYA,PWRBIO001,1,2025,0.0536
KENYA,PWRBIO001,1,2026,0.2112
KENYA,PWRBIO001,1,2027,0.2112
KENYA,PWRBIO001,1,2028,0.3374
KENYA,PWRBIO001,1,2029,0.3374
KENYA,PWRBIO001,1,2030,1.0972
KENYA,PWRBIO001,1,2031,1.4125
KENYA,PWRBIO001,1,2032,1.5828
KENYA,PWRBIO001,1,2033,1.6301
KENYA,PWRBIO001,1,2034,1.7247
KENYA,PWRBIO001,1,2035,1.7294
KENYA,PWRBIO001,1,2036,1.7294
KENYA,PWRBIO001,1,2037,1.7294
KENYA,PWRBIO001,1,2038,1.7294
KENYA,PWRBIO001,1,2039,1.7294
KENYA,PWRBIO001,1,2040,1.7294
KENYA,PWRBIO001,1,2041,1.7294
KENYA,PWRBIO001,1,2042,1.7294
KENYA,PWRBIO001,1,2043,1.6979
KENYA,PWRBIO001,1,2044,1.6979
KENYA,PWRBIO001,1,2045,1.6979
KENYA,PWRBIO001,1,2046,1.6979
KENYA,PWRBIO001,1,2047,1.6979
KENYA,PWRBIO001,1,2048,1.6979
KENYA,PWRBIO001,1,2049,1.6979
KENYA,PWRBIO001,1,2050,1.6979
KENYA,PWRDIST,1,2019,45.2992
KENYA,PWRDIST,1,2020,46.0963
KENYA,PWRDIST,1,2021,48.1497
KENYA,PWRDIST,1,2022,49.7134
KENYA,PWRDIST,1,2023,51.0728
KENYA,PWRDIST,1,2024,52.7433
KENYA,PWRDIST,1,2025,54.5992
KENYA,PWRDIST,1,2026,56.1896
KENYA,PWRDIST,1,2027,59.2532
KENYA,PWRDIST,1,2028,62.6198
KENYA,PWRDIST,1,2029,66.4146
KENYA,PWRDIST,1,2030,70.0744
KENYA,PWRDIST,1,2031,73.5814
KENYA,PWRDIST,1,2032,77.6614
KENYA,PWRDIST,1,2033,81.6008
KENYA,PWRDIST,1,2034,85.9252
KENYA,PWRDIST,1,2035,90.4002
KENYA,PWRDIST,1,2036,95.0004
KENYA,PWRDIST,1,2037,100.5754
KENYA,PWRDIST,1,2038,106.3824
KENYA,PWRDIST,1,2039,112.5223
KENYA,PWRDIST,1,2040,119.0315
KENYA,PWRDIST,1,2041,125.8895
KENYA,PWRDIST,1,2042,132.9869
KENYA,PWRDIST,1,2043,140.5561
KENYA,PWRDIST,1,2044,148.5288
KENYA,PWRDIST,1,2045,156.9573
KENYA,PWRDIST,1,2046,165.8514
KENYA,PWRDIST,1,2047,175.2192
KENYA,PWRDIST,1,2048,185.1236
KENYA,PWRDIST,1,2049,195.575
KENYA,PWRDIST,1,2050,206.5812
KENYA,PWRGEO001,1,2019,0.4472
KENYA,PWRGEO001,1,2020,0.4472
KENYA,PWRGEO001,1,2021,0.4472
KENYA,PWRGEO001,1,2022,0.4472
KENYA,PWRGEO001,1,2023,0.4472
KENYA,PWRGEO002,1,2019,4.1736
KENYA,PWRGEO002,1,2020,4.1736
KENYA,PWRGEO002,1,2021,4.1736
KENYA,PWRGEO002,1,2022,4.1736
KENYA,PWRGEO002,1,2023,4.1736
KENYA,PWRGEO002,1,2024,4.1736
KENYA,PWRGEO002,1,2025,4.1736
KENYA,PWRGEO002,1,2026,4.1736
KENYA,PWRGEO002,1,2027,4.1736
KENYA,PWRGEO002,1,2028,4.1736
KENYA,PWRGEO002,1,2029,4.1736
KENYA,PWRGEO002,1,2030,4.1736
KENYA,PWRGEO002,1,2031,4.1736
KENYA,PWRGEO002,1,2032,4.1736
KENYA,PWRGEO002,1,2033,4.1736
KENYA,PWRGEO002,1,2034,4.1736
KENYA,PWRGEO002,1,2035,4.1736
KENYA,PWRGEO002,1,2036,4.1736
KENYA,PWRGEO002,1,2037,4.1736
KENYA,PWRGEO002,1,2038,4.1736
KENYA,PWRGEO002,1,2039,4.1736
