r,l,t,m,y,RateOfActivity
KENYA,TS13,BESS_TECH,1,2029,0.7142
KENYA,TS18,BESS_TECH,1,2029,2.7221
KENYA,TS19,BESS_TECH,1,2029,2.0493
KENYA,TS21,BESS_TECH,1,2029,1.3251
KENYA,TS23,BESS_TECH,1,2029,2.7221
KENYA,TS26,BESS_TECH,1,2029,2.7221
KENYA,TS29,BESS_TECH,1,2029,2.7221
KENYA,TS30,BESS_TECH,1,2029,2.7221
KENYA,TS32,BESS_TECH,1,2029,2.6978
KENYA,TS36,BESS_TECH,1,2029,2.7221
KENYA,TS41,BESS_TECH,1,2029,2.5731
KENYA,TS43,BESS_TECH,1,2029,0.8119
KENYA,TS47,BESS_TECH,1,2029,2.7221
KENYA,TS48,BESS_TECH,1,2029,0.2177
KENYA,TS01,BESS_TECH,2,2030,0.0052
KENYA,TS04,BESS_TECH,2,2030,0.5738
KENYA,TS10,BESS_TECH,2,2030,2.7221
KENYA,TS11,BESS_TECH,2,2030,2.6712
KENYA,TS16,BESS_TECH,2,2030,2.7221
KENYA,TS20,BESS_TECH,2,2030,2.7221
KENYA,TS22,BESS_TECH,2,2030,2.7221
KENYA,TS24,BESS_TECH,2,2030,2.7221
KENYA,TS25,BESS_TECH,2,2030,1.6673
KENYA,TS27,BESS_TECH,2,2030,2.7221
KENYA,TS34,BESS_TECH,2,2030,2.7221
KENYA,TS35,BESS_TECH,2,2030,1.8901
KENYA,TS39,BESS_TECH,2,2030,0.662
KENYA,TS46,BESS_TECH,2,2030,2.7221
KENYA,TS05,BESS_TECH,1,2030,1.1629
KENYA,TS07,BESS_TECH,1,2030,0.2861
KENYA,TS08,BESS_TECH,1,2030,2.1955
KENYA,TS12,BESS_TECH,1,2030,2.7221
KENYA,TS13,BESS_TECH,1,2030,0.6734
KENYA,TS15,BESS_TECH,1,2030,0.5681
KENYA,TS17,BESS_TECH,1,2030,0.8628
KENYA,TS18,BESS_TECH,1,2030,0.6164
KENYA,TS19,BESS_TECH,1,2030,2.7221
KENYA,TS21,BESS_TECH,1,2030,1.4603
KENYA,TS23,BESS_TECH,1,2030,1.1268
KENYA,TS26,BESS_TECH,1,2030,2.7221
KENYA,TS28,BESS_TECH,1,2030,1.1036
KENYA,TS29,BESS_TECH,1,2030,2.7221
KENYA,TS30,BESS_TECH,1,2030,2.7221
KENYA,TS31,BESS_TECH,1,2030,0.966
KENYA,TS32,BESS_TECH,1,2030,0.3073
KENYA,TS36,BESS_TECH,1,2030,2.7221
KENYA,TS40,BESS_TECH,1,2030,0.3631
KENYA,TS41,BESS_TECH,1,2030,1.2311
KENYA,TS43,BESS_TECH,1,2030,0.9207
KENYA,TS47,BESS_TECH,1,2030,2.7221
KENYA,TS02,BESS_TECH,2,2031,1.7777
KENYA,TS03,BESS_TECH,2,2031,1.1938
KENYA,TS10,BESS_TECH,2,2031,2.0133
KENYA,TS11,BESS_TECH,2,2031,2.7221
KENYA,TS16,BESS_TECH,2,2031,2.7221
KENYA,TS17,BESS_TECH,2,2031,1.9725
KENYA,TS20,BESS_TECH,2,2031,2.7221
KENYA,TS22,BESS_TECH,2,2031,2.7221
KENYA,TS24,BESS_TECH,2,2031,2.7221
KENYA,TS25,BESS_TECH,2,2031,0.6795
KENYA,TS27,BESS_TECH,2,2031,2.5128
KENYA,TS28,BESS_TECH,2,2031,0.666
KENYA,TS34,BESS_TECH,2,2031,2.7221
KENYA,TS35,BESS_TECH,2,2031,2.7221
KENYA,TS38,BESS_TECH,2,2031,0.2303
KENYA,TS39,BESS_TECH,2,2031,0.5812
KENYA,TS40,BESS_TECH,2,2031,0.3317
KENYA,TS46,BESS_TECH,2,2031,2.7221
KENYA,TS04,BESS_TECH,1,2031,1.7176
KENYA,TS05,BESS_TECH,1,2031,2.7221
KENYA,TS07,BESS_TECH,1,2031,0.3153
KENYA,TS08,BESS_TECH,1,2031,1.93
KENYA,TS12,BESS_TECH,1,2031,2.0046
KENYA,TS13,BESS_TECH,1,2031,2.5086
KENYA,TS19,BESS_TECH,1,2031,2.7221
KENYA,TS21,BESS_TECH,1,2031,1.1206
KENYA,TS23,BESS_TECH,1,2031,2.1312
KENYA,TS26,BESS_TECH,1,2031,2.7221
KENYA,TS29,BESS_TECH,1,2031,2.7221
KENYA,TS30,BESS_TECH,1,2031,2.7221
KENYA,TS31,BESS_TECH,1,2031,0.2351
KENYA,TS32,BESS_TECH,1,2031,0.7053
KENYA,TS33,BESS_TECH,1,2031,0.8133
KENYA,TS36,BESS_TECH,1,2031,2.7221
KENYA,TS41,BESS_TECH,1,2031,2.7221
KENYA,TS47,BESS_TECH,1,2031,2.7221
KENYA,TS48,BESS_TECH,1,2031,1.8414
KENYA,TS03,BESS_TECH,2,2032,1.2705
KENYA,TS06,BESS_TECH,2,2032,2.7221
KENYA,TS10,BESS_TECH,2,2032,1.0232
KENYA,TS16,BESS_TECH,2,2032,2.055
KENYA,TS20,BESS_TECH,2,2032,2.7221
KENYA,TS22,BESS_TECH,2,2032,1.5764
KENYA,TS24,BESS_TECH,2,2032,2.7221
KENYA,TS25,BESS_TECH,2,2032,0.1452
KENYA,TS27,BESS_TECH,2,2032,2.5452
KENYA,TS28,BESS_TECH,2,2032,1.408
KENYA,TS32,BESS_TECH,2,2032,2.0285
KENYA,TS33,BESS_TECH,2,2032,1.6144
KENYA,TS34,BESS_TECH,2,2032,2.7221
KENYA,TS40,BESS_TECH,2,2032,2.4231
KENYA,TS46,BESS_TECH,2,2032,2.7221
KENYA,TS04,BESS_TECH,1,2032,2.529
KENYA,TS05,BESS_TECH,1,2032,2.7221
KENYA,TS07,BESS_TECH,1,2032,0.6087
KENYA,TS11,BESS_TECH,1,2032,0.2468
KENYA,TS13,BESS_TECH,1,2032,0.4694
KENYA,TS17,BESS_TECH,1,2032,2.7221
KENYA,TS19,BESS_TECH,1,2032,2.7221
KENYA,TS21,BESS_TECH,1,2032,0.1457
KENYA,TS23,BESS_TECH,1,2032,2.7221
KENYA,TS26,BESS_TECH,1,2032,2.7221
KENYA,TS29,BESS_TECH,1,2032,2.7221
KENYA,TS30,BESS_TECH,1,2032,2.7221
KENYA,TS31,BESS_TECH,1,2032,2.7221
KENYA,TS35,BESS_TECH,1,2032,1.1439
KENYA,TS36,BESS_TECH,1,2032,2.7221
KENYA,TS41,BESS_TECH,1,2032,2.7221
KENYA,TS42,BESS_TECH,1,2032,1.4369
KENYA,TS43,BESS_TECH,1,2032,0.5492
KENYA,TS45,BESS_TECH,1,2032,0.7736
KENYA,TS47,BESS_TECH,1,2032,1.5334
KENYA,TS02,BESS_TECH,2,2033,2.7221
KENYA,TS06,BESS_TECH,2,2033,2.0985
KENYA,TS08,BESS_TECH,2,2033,0.5374
KENYA,TS09,BESS_TECH,2,2033,0.1329
KENYA,TS10,BESS_TECH,2,2033,0.2406
KENYA,TS11,BESS_TECH,2,2033,0.1012
KENYA,TS16,BESS_TECH,2,2033,2.4115
KENYA,TS20,BESS_TECH,2,2033,2.7221
KENYA,TS24,BESS_TECH,2,2033,2.7221
KENYA,TS27,BESS_TECH,2,2033,1.8205
KENYA,TS28,BESS_TECH,2,2033,1.7341
KENYA,TS33,BESS_TECH,2,2033,2.7221
KENYA,TS34,BESS_TECH,2,2033,2.7221
KENYA,TS40,BESS_TECH,2,2033,2.7221
KENYA,TS46,BESS_TECH,2,2033,1.3474
