r,t,y,TotalTechnologyAnnualActivity
KENYA,MINWND,2034,9.7818
KENYA,MINWND,2035,9.5576
KENYA,MINWND,2036,9.5576
KENYA,MINWND,2037,9.5576
KENYA,MINWND,2038,6.0892
KENYA,MINWND,2039,4.355
KENYA,MINWND,2040,4.355
KENYA,MINWND,2041,2.9075
KENYA,MINWND,2042,2.9075
KENYA,MINWND,2043,3.3017
KENYA,MINWND,2044,3.3017
KENYA,MINWND,2045,3.1808
KENYA,MINWND,2046,2.5502
KENYA,MINWND,2047,2.5502
KENYA,MINWND,2048,2.5502
KENYA,MINWND,2049,2.5502
KENYA,MINWND,2050,2.5502
KENYA,PWRBIO001,2019,0.0315
KENYA,PWRBIO001,2020,0.0315
KENYA,PWRBIO001,2021,0.0315
KENYA,PWRBIO001,2022,0.0315
KENYA,PWRBIO001,2023,0.0536
KENYA,PWRBIO001,2024,0.0536
KENYA,PWRBIO001,2025,0.0536
KENYA,PWRBIO001,2026,0.2112
KENYA,PWRBIO001,2027,0.2112
KENYA,PWRBIO001,2028,0.3374
KENYA,PWRBIO001,2029,0.3374
KENYA,PWRBIO001,2030,1.0972
KENYA,PWRBIO001,2031,1.4125
KENYA,PWRBIO001,2032,1.5828
KENYA,PWRBIO001,2033,1.6301
KENYA,PWRBIO001,2034,1.7247
KENYA,PWRBIO001,2035,1.7294
KENYA,PWRBIO001,2036,1.8697
KENYA,PWRBIO001,2037,2.01
KENYA,PWRBIO001,2038,2.1503
KENYA,PWRBIO001,2039,2.2906
KENYA,PWRBIO001,2040,2.2906
KENYA,PWRBIO001,2041,2.5712
KENYA,PWRBIO001,2042,2.7116
KENYA,PWRBIO001,2043,2.8519
KENYA,PWRBIO001,2044,2.9922
KENYA,PWRBIO001,2045,3.1325
KENYA,PWRBIO001,2046,3.2728
KENYA,PWRBIO001,2047,3.4131
KENYA,PWRBIO001,2048,3.5534
KENYA,PWRBIO001,2049,3.6937
KENYA,PWRBIO001,2050,3.834
KENYA,PWRDIST,2019,45.2992
KENYA,PWRDIST,2020,46.0963
KENYA,PWRDIST,2021,48.1497
KENYA,PWRDIST,2022,49.7134
KENYA,PWRDIST,2023,51.0728
KENYA,PWRDIST,2024,52.7433
KENYA,PWRDIST,2025,54.5992
KENYA,PWRDIST,2026,56.1896
KENYA,PWRDIST,2027,59.2532
KENYA,PWRDIST,2028,62.6198
KENYA,PWRDIST,2029,66.4146
KENYA,PWRDIST,2030,70.0744
KENYA,PWRDIST,2031,73.5814
KENYA,PWRDIST,2032,77.6614
KENYA,PWRDIST,2033,81.6008
KENYA,PWRDIST,2034,85.9252
KENYA,PWRDIST,2035,90.4002
KENYA,PWRDIST,2036,95.0004
KENYA,PWRDIST,2037,100.5754
KENYA,PWRDIST,2038,106.3824
KENYA,PWRDIST,2039,112.5223
KENYA,PWRDIST,2040,119.0315
KENYA,PWRDIST,2041,125.8895
KENYA,PWRDIST,2042,132.9869
KENYA,PWRDIST,2043,140.5561
KENYA,PWRDIST,2044,148.5288
KENYA,PWRDIST,2045,156.9573
KENYA,PWRDIST,2046,165.8514
KENYA,PWRDIST,2047,175.2192
KENYA,PWRDIST,2048,185.1236
KENYA,PWRDIST,2049,195.575
KENYA,PWRDIST,2050,206.5812
KENYA,PWRGEO001,2019,0.4472
KENYA,PWRGEO001,2020,0.4472
KENYA,PWRGEO001,2021,0.4472
KENYA,PWRGEO001,2022,0.4472
KENYA,PWRGEO001,2023,0.4472
KENYA,PWRGEO002,2019,4.1736
KENYA,PWRGEO002,2020,4.1736
KENYA,PWRGEO002,2021,4.1736
KENYA,PWRGEO002,2022,4.1736
KENYA,PWRGEO002,2023,4.1736
KENYA,PWRGEO002,2024,4.1736
KENYA,PWRGEO002,2025,4.1736
KENYA,PWRGEO002,2026,4.1736
KENYA,PWRGEO002,2027,4.1736
KENYA,PWRGEO002,2028,4.1736
KENYA,PWRGEO002,2029,4.1736
KENYA,PWRGEO002,2030,4.1736
KENYA,PWRGEO002,2031,4.1736
KENYA,PWRGEO002,2032,4.1736
KENYA,PWRGEO002,2033,4.1736
KENYA,PWRGEO002,2034,4.1736
KENYA,PWRGEO002,2035,4.1736
KENYA,PWRGEO002,2036,4.1736
KENYA,PWRGEO002,2037,4.1736
KENYA,PWRGEO002,2038,4.1736
KENYA,PWRGEO002,2039,4.1736
KENYA,PWRGEO002,2040,4.1736
KENYA,PWRGEO003,2019,3.0109
KENYA,PWRGEO003,2020,3.0109
KENYA,PWRGEO003,2021,3.0109
KENYA,PWRGEO003,2022,3.0109
KENYA,PWRGEO003,2023,3.0109
KENYA,PWRGEO003,2024,3.0109
KENYA,PWRGEO003,2025,3.0109
KENYA,PWRGEO003,2026,3.0109
KENYA,PWRGEO003,2027,3.0109
KENYA,PWRGEO003,2028,3.0109
KENYA,PWRGEO004,2019,1.902
KENYA,PWRGEO004,2020,1.902
KENYA,PWRGEO004,2021,1.902
