r,t,f,y,ProductionByTechnologyAnnual
KENYA,DEMRESELC,RESELC,2043,44.9933
KENYA,DEMRESELC,RESELC,2044,47.5515
KENYA,DEMRESELC,RESELC,2045,50.2551
KENYA,DEMRESELC,RESELC,2046,53.1125
KENYA,DEMRESELC,RESELC,2047,56.1324
KENYA,DEMRESELC,RESELC,2048,59.3239
KENYA,DEMRESELC,RESELC,2049,62.697
KENYA,DEMRESELC,RESELC,2050,66.2618
KENYA,IMPELC001,ELC001,2022,4.0045
KENYA,IMPELC001,ELC001,2023,3.9796
KENYA,IMPELC001,ELC001,2024,4.9848
KENYA,IMPELC001,ELC001,2025,4.4506
KENYA,IMPELC001,ELC001,2026,3.6673
KENYA,IMPELC001,ELC001,2027,5.3161
KENYA,IMPELC001,ELC001,2028,5.0007
KENYA,IMPELC001,ELC001,2029,3.8702
KENYA,IMPELC001,ELC001,2030,5.1285
KENYA,IMPELC001,ELC001,2031,4.3548
KENYA,IMPELC001,ELC001,2032,6.2421
KENYA,IMPELC001,ELC001,2033,8.0599
KENYA,IMPELC001,ELC001,2034,8.8668
KENYA,IMPELC001,ELC001,2035,9.9697
KENYA,IMPELC001,ELC001,2036,9.9697
KENYA,IMPELC001,ELC001,2037,9.9697
KENYA,IMPELC001,ELC001,2038,9.9697
KENYA,IMPELC001,ELC001,2039,9.9697
KENYA,IMPELC001,ELC001,2040,5.8239
KENYA,IMPELC001,ELC001,2041,8.1771
KENYA,IMPELC001,ELC001,2042,7.4771
KENYA,IMPELC001,ELC001,2043,9.9697
KENYA,IMPELC001,ELC001,2044,9.9697
KENYA,IMPELC001,ELC001,2045,9.9697
KENYA,IMPELC001,ELC001,2046,9.9697
KENYA,IMPELC001,ELC001,2047,9.9697
KENYA,IMPELC001,ELC001,2048,9.9697
KENYA,IMPELC001,ELC001,2049,9.9697
KENYA,IMPELC001,ELC001,2050,9.9697
KENYA,IMPHFOMOM,HFOMOM,2019,13.3439
KENYA,IMPHFOMOM,HFOMOM,2020,14.896
KENYA,IMPHFOMOM,HFOMOM,2021,15.1152
KENYA,IMPHFOMOM,HFOMOM,2022,4.8424
KENYA,IMPHFOMOM,HFOMOM,2023,5.0852
KENYA,IMPHFOMOM,HFOMOM,2024,7.7088
KENYA,IMPHFOMOM,HFOMOM,2025,5.1296
KENYA,IMPHFOMOM,HFOMOM,2026,0.9435
KENYA,IMPHFOMOM,HFOMOM,2027,2.4302
KENYA,IMPHFOMOM,HFOMOM,2028,2.6547
KENYA,IMPHFOMOM,HFOMOM,2029,2.1242
KENYA,IMPHFOMOM,HFOMOM,2030,2.0687
KENYA,IMPHFONAI,HFONAI,2019,1.337
KENYA,IMPHFONAI,HFONAI,2020,1.8011
KENYA,IMPHFONAI,HFONAI,2021,2.0691
KENYA,IMPHFONAI,HFONAI,2022,0.1829
KENYA,IMPHFONAI,HFONAI,2023,0.2443
KENYA,IMPHFONAI,HFONAI,2024,0.9295
KENYA,IMPHFONAI,HFONAI,2025,0.7381
KENYA,IMPHFONAI,HFONAI,2027,0.1055
KENYA,IMPHFONAI,HFONAI,2028,0.1606
KENYA,IMPHFONAI,HFONAI,2029,0.1151
KENYA,IMPHFONAI,HFONAI,2030,1.6896
KENYA,IMPHFONAI,HFONAI,2031,3.3654
KENYA,IMPHFONAI,HFONAI,2032,5.2344
KENYA,IMPHFONAI,HFONAI,2033,5.5857
KENYA,IMPHFONAI,HFONAI,2034,1.7541
KENYA,IMPHFONAI,HFONAI,2035,1.4222
KENYA,IMPNGS,NGS,2031,0.1449
KENYA,IMPNGS,NGS,2032,0.6242
KENYA,IMPNGS,NGS,2033,2.3545
KENYA,IMPNGS,NGS,2034,2.0707
KENYA,IMPNGS,NGS,2035,6.3062
KENYA,IMPNGS,NGS,2036,2.2978
KENYA,IMPNGS,NGS,2037,2.4262
KENYA,IMPNGS,NGS,2038,4.4755
KENYA,IMPNGS,NGS,2039,3.3511
KENYA,IMPNGS,NGS,2040,1.271
KENYA,IMPNGS,NGS,2041,2.5548
KENYA,IMPNGS,NGS,2042,2.8306
KENYA,IMPNGS,NGS,2043,7.4897
KENYA,IMPNGS,NGS,2044,18.5918
KENYA,IMPNGS,NGS,2045,38.2498
KENYA,IMPNGS,NGS,2046,50.4138
KENYA,IMPNGS,NGS,2047,69.6459
KENYA,IMPNGS,NGS,2048,94.5865
KENYA,IMPNGS,NGS,2049,113.7849
KENYA,IMPNGS,NGS,2050,117.8313
KENYA,IMPURN,URN,2036,5.9694
KENYA,IMPURN,URN,2037,9.752
KENYA,IMPURN,URN,2038,28.4269
KENYA,IMPURN,URN,2039,31.8407
KENYA,IMPURN,URN,2040,31.8407
KENYA,IMPURN,URN,2041,55.88
KENYA,IMPURN,URN,2042,79.8264
KENYA,IMPURN,URN,2043,85.2808
KENYA,IMPURN,URN,2044,85.2808
KENYA,IMPURN,URN,2045,85.2808
KENYA,IMPURN,URN,2046,85.2808
KENYA,IMPURN,URN,2047,85.2808
KENYA,IMPURN,URN,2048,85.2808
KENYA,IMPURN,URN,2049,85.2808
KENYA,IMPURN,URN,2050,85.2808
KENYA,MINBIO,BIO,2019,0.0902
KENYA,MINBIO,BIO,2020,0.0902
KENYA,MINBIO,BIO,2021,0.0902
KENYA,MINBIO,BIO,2022,0.0902
KENYA,MINBIO,BIO,2023,0.1533
KENYA,MINBIO,BIO,2024,0.1533
KENYA,MINBIO,BIO,2025,0.1533
KENYA,MINBIO,BIO,2026,0.6042
KENYA,MINBIO,BIO,2027,0.6042
KENYA,MINBIO,BIO,2028,0.9649
KENYA,MINBIO,BIO,2029,0.9649
KENYA,MINBIO,BIO,2030,3.1381
KENYA,MINBIO,BIO,2031,4.0398
KENYA,MINBIO,BIO,2032,4.5268
KENYA,MINBIO,BIO,2033,4.6621
KENYA,MINBIO,BIO,2034,4.9326
KENYA,MINBIO,BIO,2035,4.9461
KENYA,MINBIO,BIO,2036,5.3473
KENYA,MINBIO,BIO,2037,5.7487
KENYA,MINBIO,BIO,2038,6.15
KENYA,MINBIO,BIO,2039,6.5512
KENYA,MINBIO,BIO,2040,6.5512
KENYA,MINBIO,BIO,2041,7.3537
KENYA,MINBIO,BIO,2042,7.755
KENYA,MINBIO,BIO,2043,8.1564
KENYA,MINBIO,BIO,2044,8.5576
KENYA,MINBIO,BIO,2045,8.9589
KENYA,MINBIO,BIO,2046,9.3601
KENYA,MINBIO,BIO,2047,9.7614
KENYA,MINBIO,BIO,2048,10.1627
KENYA,MINBIO,BIO,2049,10.564
KENYA,MINBIO,BIO,2050,10.9653
KENYA,MINGEO,GEO,2019,70.0437
KENYA,MINGEO,GEO,2020,70.0437
KENYA,MINGEO,GEO,2021,70.0437
KENYA,MINGEO,GEO,2022,77.4191
KENYA,MINGEO,GEO,2023,80.518
KENYA,MINGEO,GEO,2024,77.8618
KENYA,MINGEO,GEO,2025,88.3094
KENYA,MINGEO,GEO,2026,98.5669
KENYA,MINGEO,GEO,2027,101.1831
KENYA,MINGEO,GEO,2028,108.2663
KENYA,MINGEO,GEO,2029,124.1242
KENYA,MINGEO,GEO,2030,127.6565
KENYA,MINGEO,GEO,2031,138.9452
KENYA,MINGEO,GEO,2032,141.6014
KENYA,MINGEO,GEO,2033,144.2576
KENYA,MINGEO,GEO,2034,159.3094
KENYA,MINGEO,GEO,2035,162.851
KENYA,MINGEO,GEO,2036,178.7881
KENYA,MINGEO,GEO,2037,192.069
KENYA,MINGEO,GEO,2038,200.9584
KENYA,MINGEO,GEO,2039,223.3058
KENYA,MINGEO,GEO,2040,258.279
KENYA,MINGEO,GEO,2041,253.9406
KENYA,MINGEO,GEO,2042,261.0237
KENYA,MINGEO,GEO,2043,262.458
KENYA,MINGEO,GEO,2044,270.4266
KENYA,MINGEO,GEO,2045,265.2913
KENYA,MINGEO,GEO,2046,275.0307
KENYA,MINGEO,GEO,2047,278.2801
KENYA,MINGEO,GEO,2048,286.6913
KENYA,MINGEO,GEO,2049,299.9723
KENYA,MINGEO,GEO,2050,309.269
KENYA,MINHYD,HYD,2019,12.0376
KENYA,MINHYD,HYD,2020,12.0376
KENYA,MINHYD,HYD,2021,12.0376
KENYA,MINHYD,HYD,2022,12.0376
KENYA,MINHYD,HYD,2023,12.1346
KENYA,MINHYD,HYD,2024,12.1679
KENYA,MINHYD,HYD,2025,12.1718
KENYA,MINHYD,HYD,2026,12.5015
KENYA,MINHYD,HYD,2027,12.6478
KENYA,MINHYD,HYD,2028,12.689
KENYA,MINHYD,HYD,2029,12.7873
KENYA,MINHYD,HYD,2030,13.2739
KENYA,MINHYD,HYD,2031,13.6474
KENYA,MINHYD,HYD,2032,13.8894
KENYA,MINHYD,HYD,2033,14.6304
KENYA,MINHYD,HYD,2034,14.9641
KENYA,MINHYD,HYD,2035,15.3855
KENYA,MINHYD,HYD,2036,15.7564
KENYA,MINHYD,HYD,2037,15.8042
KENYA,MINHYD,HYD,2038,15.8561
KENYA,MINHYD,HYD,2039,15.9119
KENYA,MINHYD,HYD,2040,15.9744
KENYA,MINHYD,HYD,2041,16.0422
KENYA,MINHYD,HYD,2042,14.4222
KENYA,MINHYD,HYD,2043,15.2642
KENYA,MINHYD,HYD,2044,15.4845
KENYA,MINHYD,HYD,2045,16.2774
KENYA,MINHYD,HYD,2046,17.8883
KENYA,MINHYD,HYD,2047,20.2975
KENYA,MINHYD,HYD,2048,20.6996
KENYA,MINHYD,HYD,2049,20.8378
KENYA,MINHYD,HYD,2050,20.9894
KENYA,MINSOL,SOL,2019,0.3111
KENYA,MINSOL,SOL,2020,0.3111
KENYA,MINSOL,SOL,2021,0.8065
KENYA,MINSOL,SOL,2022,1.0542
KENYA,MINSOL,SOL,2023,1.3112
KENYA,MINSOL,SOL,2024,1.5588
KENYA,MINSOL,SOL,2025,1.5588
KENYA,MINSOL,SOL,2026,1.8065
KENYA,MINSOL,SOL,2027,1.8065
KENYA,MINSOL,SOL,2028,1.8065
KENYA,MINSOL,SOL,2029,1.8065
KENYA,MINSOL,SOL,2030,1.8065
KENYA,MINSOL,SOL,2031,1.8065
KENYA,MINSOL,SOL,2032,1.8065
KENYA,MINSOL,SOL,2033,1.8065
KENYA,MINSOL,SOL,2034,2.0542
KENYA,MINSOL,SOL,2035,2.8127
KENYA,MINSOL,SOL,2036,2.8127
KENYA,MINSOL,SOL,2037,2.8127
KENYA,MINSOL,SOL,2038,2.5016
KENYA,MINSOL,SOL,2039,2.5016
KENYA,MINSOL,SOL,2040,2.5016
