r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,DEMINDELC,1,2037,50.4182
KENYA,DEMINDELC,1,2038,53.3002
KENYA,DEMINDELC,1,2039,56.3569
KENYA,DEMINDELC,1,2040,59.5965
KENYA,DEMINDELC,1,2041,63.0147
KENYA,DEMINDELC,1,2042,66.5662
KENYA,DEMINDELC,1,2043,70.3511
KENYA,DEMINDELC,1,2044,74.351
KENYA,DEMINDELC,1,2045,78.5785
KENYA,DEMINDELC,1,2046,83.0463
KENYA,DEMINDELC,1,2047,87.7681
KENYA,DEMINDELC,1,2048,92.7584
KENYA,DEMINDELC,1,2049,98.0324
KENYA,DEMINDELC,1,2050,103.6063
KENYA,DEMRESELC,1,2019,13.7907
KENYA,DEMRESELC,1,2020,14.0318
KENYA,DEMRESELC,1,2021,14.669
KENYA,DEMRESELC,1,2022,15.1591
KENYA,DEMRESELC,1,2023,15.6221
KENYA,DEMRESELC,1,2024,16.1577
KENYA,DEMRESELC,1,2025,16.7411
KENYA,DEMRESELC,1,2026,17.3547
KENYA,DEMRESELC,1,2027,18.356
KENYA,DEMRESELC,1,2028,19.419
KENYA,DEMRESELC,1,2029,20.6321
KENYA,DEMRESELC,1,2030,21.9351
KENYA,DEMRESELC,1,2031,23.1587
KENYA,DEMRESELC,1,2032,24.5144
KENYA,DEMRESELC,1,2033,25.8913
KENYA,DEMRESELC,1,2034,27.3607
KENYA,DEMRESELC,1,2035,28.9057
KENYA,DEMRESELC,1,2036,30.4786
KENYA,DEMRESELC,1,2037,32.2451
KENYA,DEMRESELC,1,2038,34.0883
KENYA,DEMRESELC,1,2039,36.0432
KENYA,DEMRESELC,1,2040,38.1152
KENYA,DEMRESELC,1,2041,40.3012
KENYA,DEMRESELC,1,2042,42.5727
KENYA,DEMRESELC,1,2043,44.9933
KENYA,DEMRESELC,1,2044,47.5515
KENYA,DEMRESELC,1,2045,50.2551
KENYA,DEMRESELC,1,2046,53.1125
KENYA,DEMRESELC,1,2047,56.1324
KENYA,DEMRESELC,1,2048,59.3239
KENYA,DEMRESELC,1,2049,62.697
KENYA,DEMRESELC,1,2050,66.2618
KENYA,IMPELC001,1,2022,4.0045
KENYA,IMPELC001,1,2023,3.9796
KENYA,IMPELC001,1,2024,4.9848
