r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,2,2,5,2044,1.9248
KENYA,BESS001,2,2,5,2045,3.0683
KENYA,BESS001,2,2,5,2046,6.516
KENYA,BESS001,2,2,5,2047,6.3942
KENYA,BESS001,2,2,5,2048,21.4741
KENYA,BESS001,2,2,5,2049,28.8832
KENYA,BESS001,2,2,5,2050,30.6606
KENYA,BESS001,2,2,6,2024,-0.2048
KENYA,BESS001,2,2,6,2025,-2.7221
KENYA,BESS001,2,2,6,2026,-2.7221
KENYA,BESS001,2,2,6,2027,-2.7221
KENYA,BESS001,2,2,6,2028,-2.7221
KENYA,BESS001,2,2,6,2029,-2.7221
KENYA,BESS001,2,2,6,2030,-2.7221
KENYA,BESS001,2,2,6,2031,-2.7221
KENYA,BESS001,2,2,6,2032,-2.7221
KENYA,BESS001,2,2,6,2033,-2.7221
KENYA,BESS001,2,2,6,2034,-2.5174
KENYA,BESS001,2,2,6,2044,-1.9248
KENYA,BESS001,2,2,6,2045,-3.0683
KENYA,BESS001,2,2,6,2046,-7.4984
KENYA,BESS001,2,2,6,2047,-11.357
KENYA,BESS001,2,2,6,2048,-21.4741
KENYA,BESS001,2,2,6,2049,-33.1128
KENYA,BESS001,2,2,6,2050,-33.1128
KENYA,BESS001,3,1,1,2025,-0.9459
KENYA,BESS001,3,1,1,2026,-0.8707
KENYA,BESS001,3,1,1,2027,-1.155
KENYA,BESS001,3,1,1,2028,-1.1096
KENYA,BESS001,3,1,1,2029,-0.0561
KENYA,BESS001,3,1,1,2030,-1.6673
KENYA,BESS001,3,1,1,2031,-0.6795
KENYA,BESS001,3,1,1,2032,-0.1452
KENYA,BESS001,3,1,1,2034,-2.5174
KENYA,BESS001,3,1,1,2044,-0.6412
KENYA,BESS001,3,1,1,2045,-0.1605
KENYA,BESS001,3,1,1,2046,-0.3512
KENYA,BESS001,3,1,1,2047,-3.0134
KENYA,BESS001,3,1,1,2049,-17.9425
KENYA,BESS001,3,1,2,2024,0.2048
KENYA,BESS001,3,1,2,2025,0.3813
KENYA,BESS001,3,1,2,2026,2.7221
KENYA,BESS001,3,1,2,2027,2.7221
KENYA,BESS001,3,1,2,2028,2.7221
KENYA,BESS001,3,1,2,2029,2.7221
KENYA,BESS001,3,1,2,2030,2.7221
KENYA,BESS001,3,1,2,2031,2.7221
KENYA,BESS001,3,1,2,2032,2.7221
KENYA,BESS001,3,1,2,2033,1.4235
KENYA,BESS001,3,1,2,2034,2.5174
KENYA,BESS001,3,1,2,2044,1.9248
KENYA,BESS001,3,1,2,2045,3.0683
KENYA,BESS001,3,1,2,2046,7.4984
KENYA,BESS001,3,1,2,2047,11.357
KENYA,BESS001,3,1,2,2048,8.8759
KENYA,BESS001,3,1,2,2049,23.901
KENYA,BESS001,3,1,2,2050,25.1853
KENYA,BESS001,3,1,3,2024,-0.1355
KENYA,BESS001,3,1,3,2025,-0.6376
KENYA,BESS001,3,1,3,2026,-2.7221
KENYA,BESS001,3,1,3,2027,-2.7221
KENYA,BESS001,3,1,3,2028,-2.7221
KENYA,BESS001,3,1,3,2029,-2.7221
KENYA,BESS001,3,1,3,2030,-2.7221
KENYA,BESS001,3,1,3,2031,-2.5128
KENYA,BESS001,3,1,3,2032,-2.5452
KENYA,BESS001,3,1,3,2033,-1.8205
KENYA,BESS001,3,1,3,2034,-0.4967
KENYA,BESS001,3,1,3,2044,-1.9248
KENYA,BESS001,3,1,3,2045,-3.0683
KENYA,BESS001,3,1,3,2046,-7.4984
KENYA,BESS001,3,1,3,2047,-11.357
KENYA,BESS001,3,1,3,2048,-17.9227
KENYA,BESS001,3,1,3,2049,-12.8847
KENYA,BESS001,3,1,3,2050,-31.7029
KENYA,BESS001,3,1,4,2024,-0.2048
KENYA,BESS001,3,1,4,2025,-1.314
KENYA,BESS001,3,1,4,2026,-0.074
KENYA,BESS001,3,1,4,2027,0.3463
KENYA,BESS001,3,1,4,2028,0.2792
KENYA,BESS001,3,1,4,2029,-1.2781
KENYA,BESS001,3,1,4,2030,1.1036
KENYA,BESS001,3,1,4,2031,-0.666
KENYA,BESS001,3,1,4,2032,-1.408
KENYA,BESS001,3,1,4,2033,-1.7341
KENYA,BESS001,3,1,4,2034,-0.5244
KENYA,BESS001,3,1,4,2044,-0.0146
KENYA,BESS001,3,1,4,2045,-1.2969
KENYA,BESS001,3,1,4,2046,-1.6004
KENYA,BESS001,3,1,4,2049,-5.2691
KENYA,BESS001,3,1,4,2050,-5.4591
KENYA,BESS001,3,1,5,2024,0.2048
KENYA,BESS001,3,1,5,2025,2.7221
KENYA,BESS001,3,1,5,2026,2.7221
KENYA,BESS001,3,1,5,2027,2.7221
KENYA,BESS001,3,1,5,2028,2.7221
KENYA,BESS001,3,1,5,2029,2.7221
KENYA,BESS001,3,1,5,2030,2.7221
KENYA,BESS001,3,1,5,2031,2.7221
KENYA,BESS001,3,1,5,2032,2.7221
KENYA,BESS001,3,1,5,2033,2.7221
KENYA,BESS001,3,1,5,2034,2.5174
KENYA,BESS001,3,1,5,2044,1.9248
KENYA,BESS001,3,1,5,2045,3.0683
KENYA,BESS001,3,1,5,2046,4.2391
KENYA,BESS001,3,1,5,2047,8.9091
KENYA,BESS001,3,1,5,2048,8.1235
KENYA,BESS001,3,1,5,2049,17.398
KENYA,BESS001,3,1,5,2050,18.4686
KENYA,BESS001,3,1,6,2024,0.2048
KENYA,BESS001,3,1,6,2025,2.7221
KENYA,BESS001,3,1,6,2026,2.7221
KENYA,BESS001,3,1,6,2027,2.7221
KENYA,BESS001,3,1,6,2028,2.7221
KENYA,BESS001,3,1,6,2029,2.7221
KENYA,BESS001,3,1,6,2030,2.7221
KENYA,BESS001,3,1,6,2031,2.7221
KENYA,BESS001,3,1,6,2032,2.7221
KENYA,BESS001,3,1,6,2033,2.7221
KENYA,BESS001,3,1,6,2034,2.5174
KENYA,BESS001,3,1,6,2044,1.9248
KENYA,BESS001,3,1,6,2045,3.0683
KENYA,BESS001,3,1,6,2046,7.4984
KENYA,BESS001,3,1,6,2047,11.357
KENYA,BESS001,3,1,6,2048,21.4741
KENYA,BESS001,3,1,6,2049,33.1128
KENYA,BESS001,3,1,6,2050,33.1128
KENYA,BESS001,3,2,1,2024,0.1447
KENYA,BESS001,3,2,1,2025,2.7221
KENYA,BESS001,3,2,1,2028,0.1174
KENYA,BESS001,3,2,1,2029,-0.0439
KENYA,BESS001,3,2,1,2030,0.966
KENYA,BESS001,3,2,1,2031,0.2351
KENYA,BESS001,3,2,1,2032,2.7221
KENYA,BESS001,3,2,1,2033,2.7221
KENYA,BESS001,3,2,1,2034,2.5174
KENYA,BESS001,3,2,1,2044,1.9248
KENYA,BESS001,3,2,1,2045,3.0683
KENYA,BESS001,3,2,1,2046,7.4984
KENYA,BESS001,3,2,1,2047,11.357
KENYA,BESS001,3,2,1,2048,14.735
KENYA,BESS001,3,2,1,2049,20.0623
KENYA,BESS001,3,2,1,2050,17.2751
KENYA,BESS001,3,2,2,2024,0.2048
KENYA,BESS001,3,2,2,2025,-1.5668
KENYA,BESS001,3,2,2,2026,2.7221
KENYA,BESS001,3,2,2,2027,0.934
KENYA,BESS001,3,2,2,2028,1.6173
KENYA,BESS001,3,2,2,2029,2.6978
KENYA,BESS001,3,2,2,2030,0.3073
KENYA,BESS001,3,2,2,2031,0.7053
KENYA,BESS001,3,2,2,2032,-2.0285
KENYA,BESS001,3,2,2,2033,0.3142
KENYA,BESS001,3,2,2,2034,-0.4667
KENYA,BESS001,3,2,2,2044,-1.9248
KENYA,BESS001,3,2,2,2045,-0.9927
KENYA,BESS001,3,2,2,2046,-7.4984
KENYA,BESS001,3,2,2,2047,3.5066
KENYA,BESS001,3,2,2,2048,0.3446
KENYA,BESS001,3,2,2,2049,6.3357
KENYA,BESS001,3,2,2,2050,6.6381
KENYA,BESS001,3,2,3,2024,-0.2048
KENYA,BESS001,3,2,3,2025,-2.7221
KENYA,BESS001,3,2,3,2026,-0.3956
KENYA,BESS001,3,2,3,2027,0.4985
KENYA,BESS001,3,2,3,2029,-0.7289
KENYA,BESS001,3,2,3,2031,0.8133
KENYA,BESS001,3,2,3,2032,-1.6144
KENYA,BESS001,3,2,3,2033,-2.7221
KENYA,BESS001,3,2,3,2034,-2.5174
KENYA,BESS001,3,2,3,2044,-0.7739
KENYA,BESS001,3,2,3,2045,-3.0683
KENYA,BESS001,3,2,3,2046,-7.4984
KENYA,BESS001,3,2,3,2047,-11.357
KENYA,BESS001,3,2,3,2048,-8.4089
KENYA,BESS001,3,2,3,2049,-21.3347
KENYA,BESS001,3,2,3,2050,-17.7725
KENYA,BESS001,3,2,4,2024,-0.2048
KENYA,BESS001,3,2,4,2025,-0.719
KENYA,BESS001,3,2,4,2026,-2.7221
KENYA,BESS001,3,2,4,2027,-2.7221
KENYA,BESS001,3,2,4,2028,-2.7221
KENYA,BESS001,3,2,4,2029,-2.7221
KENYA,BESS001,3,2,4,2030,-2.7221
KENYA,BESS001,3,2,4,2031,-2.7221
KENYA,BESS001,3,2,4,2032,-2.7221
KENYA,BESS001,3,2,4,2033,-2.7221
KENYA,BESS001,3,2,4,2034,-2.5174
KENYA,BESS001,3,2,4,2044,-0.7389
KENYA,BESS001,3,2,4,2046,-2.5277
KENYA,BESS001,3,2,4,2047,-11.357
KENYA,BESS001,3,2,4,2048,-21.4039
KENYA,BESS001,3,2,4,2049,-27.9
KENYA,BESS001,3,2,4,2050,-29.355
KENYA,BESS001,3,2,5,2024,-0.0183
KENYA,BESS001,3,2,5,2025,-0.2699
KENYA,BESS001,3,2,5,2026,-1.4341
KENYA,BESS001,3,2,5,2027,-1.4344
KENYA,BESS001,3,2,5,2028,-1.3177
KENYA,BESS001,3,2,5,2029,-0.283
KENYA,BESS001,3,2,5,2030,-1.8901
KENYA,BESS001,3,2,5,2031,-2.7221
KENYA,BESS001,3,2,5,2032,1.1439
KENYA,BESS001,3,2,5,2033,0.9557
KENYA,BESS001,3,2,5,2034,2.0032
KENYA,BESS001,3,2,5,2044,-1.9248
KENYA,BESS001,3,2,5,2045,-3.0683
KENYA,BESS001,3,2,5,2046,5.0554
KENYA,BESS001,3,2,5,2047,0.7418
KENYA,BESS001,3,2,5,2048,-8.1492
KENYA,BESS001,3,2,5,2049,1.2469
KENYA,BESS001,3,2,5,2050,1.4183
KENYA,BESS001,3,2,6,2024,0.2048
KENYA,BESS001,3,2,6,2025,2.7221
KENYA,BESS001,3,2,6,2026,2.7221
KENYA,BESS001,3,2,6,2027,2.7221
KENYA,BESS001,3,2,6,2028,2.7221
KENYA,BESS001,3,2,6,2029,2.7221
KENYA,BESS001,3,2,6,2030,2.7221
KENYA,BESS001,3,2,6,2031,2.7221
KENYA,BESS001,3,2,6,2032,2.7221
KENYA,BESS001,3,2,6,2033,2.7221
KENYA,BESS001,3,2,6,2034,2.5174
KENYA,BESS001,3,2,6,2044,1.9248
KENYA,BESS001,3,2,6,2045,3.0683
KENYA,BESS001,3,2,6,2046,7.4984
KENYA,BESS001,3,2,6,2047,11.357
KENYA,BESS001,3,2,6,2048,21.4741
KENYA,BESS001,3,2,6,2049,33.1128
KENYA,BESS001,3,2,6,2050,33.1128
KENYA,BESS001,4,1,1,2029,-0.2192
KENYA,BESS001,4,1,1,2034,0.3066
KENYA,BESS001,4,1,1,2048,0.3739
KENYA,BESS001,4,1,1,2049,1.4329
KENYA,BESS001,4,1,2,2026,-0.0277
KENYA,BESS001,4,1,2,2029,-1.3021
KENYA,BESS001,4,1,2,2031,-0.2303
KENYA,BESS001,4,1,2,2033,1.8414
KENYA,BESS001,4,1,2,2045,2.838
KENYA,BESS001,4,1,3,2026,-0.458
KENYA,BESS001,4,1,3,2027,-0.5649
KENYA,BESS001,4,1,3,2028,-0.3079
KENYA,BESS001,4,1,3,2030,-0.662
KENYA,BESS001,4,1,3,2031,-0.5812
KENYA,BESS001,4,1,3,2044,0.5211
KENYA,BESS001,4,1,3,2047,-4.1593
KENYA,BESS001,4,1,4,2024,-0.1671
KENYA,BESS001,4,1,4,2025,-1.1147
KENYA,BESS001,4,1,4,2026,-0.3671
KENYA,BESS001,4,1,4,2028,-0.4226
KENYA,BESS001,4,1,4,2030,0.3631
KENYA,BESS001,4,1,4,2031,-0.3317
KENYA,BESS001,4,1,4,2032,-2.4231
KENYA,BESS001,4,1,4,2033,-2.7221
KENYA,BESS001,4,1,4,2034,-1.7552
KENYA,BESS001,4,1,4,2044,-1.9248
KENYA,BESS001,4,1,4,2045,-2.0976
KENYA,BESS001,4,1,4,2046,-4.0194
KENYA,BESS001,4,1,4,2047,0.47
KENYA,BESS001,4,1,4,2048,-3.0233
KENYA,BESS001,4,1,4,2049,-8.4964
KENYA,BESS001,4,1,4,2050,-8.8731
KENYA,BESS001,4,1,5,2024,0.2048
KENYA,BESS001,4,1,5,2025,2.2294
KENYA,BESS001,4,1,5,2026,2.1292
KENYA,BESS001,4,1,5,2027,1.6701
KENYA,BESS001,4,1,5,2028,2.7221
KENYA,BESS001,4,1,5,2029,2.5731
KENYA,BESS001,4,1,5,2030,1.2311
KENYA,BESS001,4,1,5,2031,2.7221
KENYA,BESS001,4,1,5,2032,2.7221
KENYA,BESS001,4,1,5,2033,2.7221
KENYA,BESS001,4,1,5,2034,2.5174
KENYA,BESS001,4,1,5,2044,-0.5365
KENYA,BESS001,4,1,5,2046,0.5538
