r,s,ls,ld,y,StorageLevelDayTypeFinish
KENYA,PHS002,1,1,2040,0.0027
KENYA,PHS002,1,1,2041,0.0027
KENYA,PHS002,1,1,2042,0.0027
KENYA,PHS002,1,1,2043,0.0027
KENYA,PHS002,1,1,2044,0.0027
KENYA,PHS002,1,1,2045,0.0027
KENYA,PHS002,1,1,2046,0.0026
KENYA,PHS002,1,1,2047,0.0026
KENYA,PHS002,1,1,2048,0.0026
KENYA,PHS002,1,1,2049,0.0033
KENYA,PHS002,1,1,2050,0.0032
KENYA,PHS002,1,2,2034,0.0006
KENYA,PHS002,1,2,2035,0.002
KENYA,PHS002,1,2,2036,0.0025
KENYA,PHS002,1,2,2037,0.0027
KENYA,PHS002,1,2,2038,0.0027
KENYA,PHS002,1,2,2039,0.0027
KENYA,PHS002,1,2,2040,0.0027
KENYA,PHS002,1,2,2041,0.0027
KENYA,PHS002,1,2,2042,0.0027
KENYA,PHS002,1,2,2043,0.0027
KENYA,PHS002,1,2,2044,0.0027
KENYA,PHS002,1,2,2045,0.0027
KENYA,PHS002,1,2,2046,0.0026
KENYA,PHS002,1,2,2047,0.0026
KENYA,PHS002,1,2,2048,0.0027
KENYA,PHS002,1,2,2049,0.0032
KENYA,PHS002,1,2,2050,0.0032
KENYA,PHS002,2,1,2034,0.0007
KENYA,PHS002,2,1,2035,0.0029
KENYA,PHS002,2,1,2036,0.0014
KENYA,PHS002,2,1,2037,0.0029
KENYA,PHS002,2,1,2038,0.0018
KENYA,PHS002,2,1,2039,0.003
KENYA,PHS002,2,1,2040,0.0035
KENYA,PHS002,2,1,2041,0.0034
KENYA,PHS002,2,1,2042,0.0033
KENYA,PHS002,2,1,2043,0.0032
KENYA,PHS002,2,1,2044,0.0021
KENYA,PHS002,2,1,2045,0.0033
KENYA,PHS002,2,1,2046,0.0032
KENYA,PHS002,2,1,2047,0.0032
KENYA,PHS002,2,1,2048,0.0032
KENYA,PHS002,2,1,2049,0.0033
