r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,2,4,2038,0.014
KENYA,BESS001,1,2,4,2039,0.014
KENYA,BESS001,1,2,4,2040,0.0224
KENYA,BESS001,1,2,4,2041,0.0243
KENYA,BESS001,1,2,4,2042,-0.0046
KENYA,BESS001,1,2,4,2043,-0.0117
KENYA,BESS001,1,2,4,2044,0.0243
KENYA,BESS001,1,2,4,2045,0.0787
KENYA,BESS001,1,2,4,2046,0.0734
KENYA,BESS001,1,2,4,2047,0.1021
KENYA,BESS001,1,2,4,2048,0.0725
KENYA,BESS001,1,2,4,2049,-0.0475
KENYA,BESS001,1,2,4,2050,0.0088
KENYA,BESS001,1,2,5,2024,-0.0012
KENYA,BESS001,1,2,5,2025,-0.0161
KENYA,BESS001,1,2,5,2026,-0.0088
KENYA,BESS001,1,2,5,2027,-0.0161
KENYA,BESS001,1,2,5,2028,-0.0048
KENYA,BESS001,1,2,5,2029,-0.0154
KENYA,BESS001,1,2,5,2030,-0.0012
KENYA,BESS001,1,2,5,2031,-0.0161
KENYA,BESS001,1,2,5,2032,-0.0161
KENYA,BESS001,1,2,5,2033,-0.0161
KENYA,BESS001,1,2,5,2034,-0.0123
KENYA,BESS001,1,2,5,2037,-0.0071
KENYA,BESS001,1,2,5,2038,-0.0071
KENYA,BESS001,1,2,5,2039,-0.0071
KENYA,BESS001,1,2,5,2040,-0.0113
KENYA,BESS001,1,2,5,2041,-0.0123
KENYA,BESS001,1,2,5,2042,-0.0123
KENYA,BESS001,1,2,5,2043,-0.0123
KENYA,BESS001,1,2,5,2044,-0.0123
KENYA,BESS001,1,2,5,2045,-0.0397
KENYA,BESS001,1,2,5,2046,-0.0438
KENYA,BESS001,1,2,5,2047,-0.047
KENYA,BESS001,1,2,5,2048,-0.0434
KENYA,BESS001,1,2,5,2049,-0.0544
KENYA,BESS001,1,2,5,2050,-0.0713
KENYA,BESS001,1,2,6,2027,0.024
KENYA,BESS001,1,2,6,2029,0.0026
KENYA,BESS001,1,2,6,2031,0.0212
KENYA,BESS001,1,2,6,2033,0.024
KENYA,BESS001,1,2,6,2037,0.0105
KENYA,BESS001,1,2,6,2040,0.0168
KENYA,BESS001,1,2,6,2041,0.0183
KENYA,BESS001,1,2,6,2042,0.0183
KENYA,BESS001,1,2,6,2043,0.0183
KENYA,BESS001,1,2,6,2049,0.0566
KENYA,BESS001,1,2,6,2050,0.0326
KENYA,BESS001,2,1,1,2024,0.0021
KENYA,BESS001,2,1,1,2025,0.0584
KENYA,BESS001,2,1,1,2026,0.0477
KENYA,BESS001,2,1,1,2027,0.0198
KENYA,BESS001,2,1,1,2028,0.0246
KENYA,BESS001,2,1,1,2029,0.0514
KENYA,BESS001,2,1,1,2030,0.0235
KENYA,BESS001,2,1,1,2031,0.0811
KENYA,BESS001,2,1,1,2032,0.0136
KENYA,BESS001,2,1,1,2033,0.0734
KENYA,BESS001,2,1,1,2034,0.0292
KENYA,BESS001,2,1,1,2037,0.0356
KENYA,BESS001,2,1,1,2038,0.0242
KENYA,BESS001,2,1,1,2040,0.057
KENYA,BESS001,2,1,1,2041,0.0619
KENYA,BESS001,2,1,1,2042,0.0619
KENYA,BESS001,2,1,1,2044,0.0394
KENYA,BESS001,2,1,1,2045,0.1008
KENYA,BESS001,2,1,1,2046,0.1326
KENYA,BESS001,2,1,1,2047,0.1874
KENYA,BESS001,2,1,1,2048,0.275
KENYA,BESS001,2,1,1,2049,0.275
KENYA,BESS001,2,1,1,2050,0.3601
KENYA,BESS001,2,1,2,2025,-0.0017
KENYA,BESS001,2,1,2,2027,0.0064
KENYA,BESS001,2,1,2,2028,0.0406
KENYA,BESS001,2,1,2,2029,-0.0109
KENYA,BESS001,2,1,2,2031,-0.0307
KENYA,BESS001,2,1,2,2032,0.0165
KENYA,BESS001,2,1,2,2037,-0.0178
KENYA,BESS001,2,1,2,2040,-0.0285
KENYA,BESS001,2,1,2,2041,-0.031
KENYA,BESS001,2,1,2,2042,-0.031
KENYA,BESS001,2,1,2,2044,-0.0044
KENYA,BESS001,2,1,2,2045,-0.0635
KENYA,BESS001,2,1,2,2046,-0.0694
KENYA,BESS001,2,1,2,2047,-0.0795
KENYA,BESS001,2,1,2,2048,-0.0753
KENYA,BESS001,2,1,2,2049,-0.1375
KENYA,BESS001,2,1,2,2050,-0.18
KENYA,BESS001,2,1,3,2031,-0.0176
KENYA,BESS001,2,1,3,2037,-0.0356
KENYA,BESS001,2,1,3,2040,-0.0066
KENYA,BESS001,2,1,3,2041,-0.0456
KENYA,BESS001,2,1,3,2042,-0.0242
KENYA,BESS001,2,1,3,2043,0.0374
KENYA,BESS001,2,1,3,2045,0.0366
KENYA,BESS001,2,1,3,2046,0.0149
KENYA,BESS001,2,1,3,2049,-0.0001
KENYA,BESS001,2,1,3,2050,0.0053
KENYA,BESS001,2,1,4,2024,-0.0041
KENYA,BESS001,2,1,4,2025,-0.0518
KENYA,BESS001,2,1,4,2026,-0.0542
KENYA,BESS001,2,1,4,2027,-0.0542
KENYA,BESS001,2,1,4,2028,-0.0542
KENYA,BESS001,2,1,4,2029,-0.0424
KENYA,BESS001,2,1,4,2030,-0.0503
KENYA,BESS001,2,1,4,2031,-0.0453
KENYA,BESS001,2,1,4,2032,-0.0528
KENYA,BESS001,2,1,4,2033,-0.0454
KENYA,BESS001,2,1,4,2034,-0.0501
KENYA,BESS001,2,1,4,2037,-0.0041
KENYA,BESS001,2,1,4,2038,-0.0238
KENYA,BESS001,2,1,4,2039,-0.0238
