r,s,ls,ld,y,StorageLevelDayTypeStart
KENYA,BESS001,4,2,2029,1.1412
KENYA,BESS001,4,2,2030,1.0593
KENYA,BESS001,4,2,2031,1.1239
KENYA,BESS001,4,2,2032,1.1239
KENYA,BESS001,4,2,2033,1.1997
KENYA,BESS001,4,2,2034,0.8675
KENYA,BESS001,4,2,2035,0.2366
KENYA,BESS001,4,2,2036,0.2366
KENYA,BESS001,4,2,2037,0.6121
KENYA,BESS001,4,2,2038,0.5303
KENYA,BESS001,4,2,2039,0.6236
KENYA,BESS001,4,2,2040,0.9965
KENYA,BESS001,4,2,2041,1.2346
KENYA,BESS001,4,2,2042,0.9889
KENYA,BESS001,4,2,2043,0.906
KENYA,BESS001,4,2,2044,0.907
KENYA,BESS001,4,2,2045,2.5215
KENYA,BESS001,4,2,2046,2.898
KENYA,BESS001,4,2,2047,3.5882
KENYA,BESS001,4,2,2048,3.9453
KENYA,BESS001,4,2,2049,3.6926
KENYA,BESS001,4,2,2050,4.711
KENYA,PHS001,1,1,2034,0.0002
KENYA,PHS001,1,1,2035,0.0008
KENYA,PHS001,1,1,2036,0.0013
KENYA,PHS001,1,1,2037,0.0013
KENYA,PHS001,1,1,2038,0.0013
KENYA,PHS001,1,1,2039,0.0013
KENYA,PHS001,1,1,2040,0.0013
KENYA,PHS001,1,1,2041,0.0013
KENYA,PHS001,1,1,2042,0.0013
KENYA,PHS001,1,1,2043,0.0013
KENYA,PHS001,1,1,2044,0.0013
KENYA,PHS001,1,1,2045,0.0013
KENYA,PHS001,1,1,2046,0.0013
KENYA,PHS001,1,1,2047,0.0013
KENYA,PHS001,1,1,2048,0.0013
KENYA,PHS001,1,1,2049,0.0013
KENYA,PHS001,1,1,2050,0.0013
KENYA,PHS001,1,2,2034,0.0002
KENYA,PHS001,1,2,2035,0.0008
KENYA,PHS001,1,2,2036,0.0013
KENYA,PHS001,1,2,2037,0.0013
KENYA,PHS001,1,2,2038,0.0013
KENYA,PHS001,1,2,2039,0.0013
KENYA,PHS001,1,2,2040,0.0013
KENYA,PHS001,1,2,2041,0.0013
KENYA,PHS001,1,2,2042,0.0013
KENYA,PHS001,1,2,2043,0.0013
KENYA,PHS001,1,2,2044,0.0013
KENYA,PHS001,1,2,2045,0.0013
KENYA,PHS001,1,2,2046,0.0013
KENYA,PHS001,1,2,2047,0.0013
KENYA,PHS001,1,2,2048,0.0013
KENYA,PHS001,1,2,2049,0.0013
KENYA,PHS001,1,2,2050,0.0013
KENYA,PHS001,2,1,2034,0.0002
KENYA,PHS001,2,1,2035,0.0008
KENYA,PHS001,2,1,2036,0.0013
KENYA,PHS001,2,1,2037,0.0013
KENYA,PHS001,2,1,2038,0.0013
KENYA,PHS001,2,1,2039,0.0013
KENYA,PHS001,2,1,2040,0.0013
KENYA,PHS001,2,1,2041,0.0013
KENYA,PHS001,2,1,2042,0.0013
KENYA,PHS001,2,1,2043,0.0013
KENYA,PHS001,2,1,2044,0.0013
KENYA,PHS001,2,1,2045,0.0013
KENYA,PHS001,2,1,2046,0.0013
KENYA,PHS001,2,1,2047,0.0013
KENYA,PHS001,2,1,2048,0.0013
KENYA,PHS001,2,1,2049,0.0013
KENYA,PHS001,2,1,2050,0.0013
KENYA,PHS001,2,2,2034,0.0002
KENYA,PHS001,2,2,2035,0.0008
KENYA,PHS001,2,2,2036,0.0013
KENYA,PHS001,2,2,2037,0.0013
KENYA,PHS001,2,2,2038,0.0013
KENYA,PHS001,2,2,2039,0.0013
KENYA,PHS001,2,2,2040,0.0013
KENYA,PHS001,2,2,2041,0.0013
KENYA,PHS001,2,2,2042,0.0013
KENYA,PHS001,2,2,2043,0.0013
KENYA,PHS001,2,2,2044,0.0013
KENYA,PHS001,2,2,2045,0.0013
KENYA,PHS001,2,2,2046,0.0013
KENYA,PHS001,2,2,2047,0.0013
KENYA,PHS001,2,2,2048,0.0013
KENYA,PHS001,2,2,2049,0.0013
KENYA,PHS001,2,2,2050,0.0013
KENYA,PHS001,3,1,2034,0.0002
KENYA,PHS001,3,1,2035,0.0008
KENYA,PHS001,3,1,2036,0.0013
KENYA,PHS001,3,1,2037,0.0013
KENYA,PHS001,3,1,2038,0.0013
KENYA,PHS001,3,1,2039,0.0013
KENYA,PHS001,3,1,2040,0.0013
KENYA,PHS001,3,1,2041,0.0013
