r,t,f,y,ProductionByTechnologyAnnual
KENYA,PWRGEO004,ELC001,2035,1.902
KENYA,PWRGEO004,ELC001,2036,1.902
KENYA,PWRGEO004,ELC001,2037,1.902
KENYA,PWRGEO004,ELC001,2038,1.902
KENYA,PWRGEO004,ELC001,2039,1.902
KENYA,PWRGEO004,ELC001,2040,1.902
KENYA,PWRGEO004,ELC001,2041,1.902
KENYA,PWRGEO004,ELC001,2042,1.902
KENYA,PWRGEO005,ELC001,2019,1.1805
KENYA,PWRGEO005,ELC001,2020,1.1805
KENYA,PWRGEO005,ELC001,2021,1.1805
KENYA,PWRGEO005,ELC001,2022,1.1805
KENYA,PWRGEO005,ELC001,2023,1.1805
KENYA,PWRGEO005,ELC001,2024,1.1805
KENYA,PWRGEO005,ELC001,2025,1.1805
KENYA,PWRGEO005,ELC001,2026,1.1805
KENYA,PWRGEO005,ELC001,2027,1.1805
KENYA,PWRGEO005,ELC001,2028,1.1805
KENYA,PWRGEO005,ELC001,2029,1.1805
KENYA,PWRGEO005,ELC001,2030,1.1805
KENYA,PWRGEO005,ELC001,2031,1.1805
KENYA,PWRGEO005,ELC001,2032,1.1805
KENYA,PWRGEO005,ELC001,2033,1.1805
KENYA,PWRGEO005,ELC001,2034,1.1805
KENYA,PWRGEO005,ELC001,2035,1.1805
KENYA,PWRGEO005,ELC001,2036,1.1805
KENYA,PWRGEO005,ELC001,2037,1.1805
KENYA,PWRGEO006,ELC001,2019,4.1735
KENYA,PWRGEO006,ELC001,2020,4.1736
KENYA,PWRGEO006,ELC001,2021,4.1735
KENYA,PWRGEO006,ELC001,2022,4.1736
KENYA,PWRGEO006,ELC001,2023,4.1735
KENYA,PWRGEO006,ELC001,2024,4.1735
KENYA,PWRGEO006,ELC001,2025,4.1735
KENYA,PWRGEO006,ELC001,2026,4.1736
KENYA,PWRGEO006,ELC001,2027,4.1735
KENYA,PWRGEO006,ELC001,2028,4.1735
KENYA,PWRGEO006,ELC001,2029,4.1736
KENYA,PWRGEO006,ELC001,2030,4.1735
KENYA,PWRGEO006,ELC001,2031,4.1735
KENYA,PWRGEO006,ELC001,2032,4.1735
KENYA,PWRGEO006,ELC001,2033,4.1735
KENYA,PWRGEO006,ELC001,2034,4.1735
KENYA,PWRGEO006,ELC001,2035,4.1736
KENYA,PWRGEO006,ELC001,2036,4.1735
KENYA,PWRGEO006,ELC001,2037,4.1735
KENYA,PWRGEO006,ELC001,2038,4.1735
KENYA,PWRGEO006,ELC001,2039,4.1735
KENYA,PWRGEO007,ELC001,2019,1.3296
KENYA,PWRGEO007,ELC001,2020,1.3296
KENYA,PWRGEO007,ELC001,2021,1.3296
KENYA,PWRGEO007,ELC001,2022,1.3296
KENYA,PWRGEO007,ELC001,2023,1.3296
KENYA,PWRGEO007,ELC001,2024,1.3296
KENYA,PWRGEO007,ELC001,2025,1.3296
KENYA,PWRGEO007,ELC001,2026,1.3296
KENYA,PWRGEO008,ELC001,2019,0.8645
KENYA,PWRGEO008,ELC001,2020,0.8645
KENYA,PWRGEO008,ELC001,2021,0.8645
KENYA,PWRGEO008,ELC001,2022,0.8645
KENYA,PWRGEO008,ELC001,2023,0.8645
KENYA,PWRGEO008,ELC001,2024,0.8645
KENYA,PWRGEO008,ELC001,2025,0.8645
KENYA,PWRGEO008,ELC001,2026,0.8645
KENYA,PWRGEO008,ELC001,2027,0.8645
KENYA,PWRGEO008,ELC001,2028,0.8645
KENYA,PWRGEO008,ELC001,2029,0.8645
KENYA,PWRGEO008,ELC001,2030,0.8645
KENYA,PWRGEO008,ELC001,2031,0.8645
KENYA,PWRGEO008,ELC001,2032,0.8645
KENYA,PWRGEO008,ELC001,2033,0.8645
KENYA,PWRGEO008,ELC001,2034,0.8645
KENYA,PWRGEO008,ELC001,2035,0.8645
KENYA,PWRGEO008,ELC001,2036,0.8645
KENYA,PWRGEO008,ELC001,2037,0.8645
KENYA,PWRGEO008,ELC001,2038,0.8645
KENYA,PWRGEO008,ELC001,2039,0.8645
KENYA,PWRGEO008,ELC001,2040,0.8645
KENYA,PWRGEO009,ELC001,2019,0.8198
KENYA,PWRGEO009,ELC001,2020,0.8198
KENYA,PWRGEO009,ELC001,2021,0.8198
KENYA,PWRGEO009,ELC001,2022,0.8198
