r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS19,2041,10.1959
KENYA,BESS_TECH,TS19,2042,14.7295
KENYA,BESS_TECH,TS19,2043,24.4132
KENYA,BESS_TECH,TS19,2044,30.473
KENYA,BESS_TECH,TS19,2045,25.7417
KENYA,BESS_TECH,TS19,2046,26.7568
KENYA,BESS_TECH,TS19,2047,26.0064
KENYA,BESS_TECH,TS19,2048,27.044
KENYA,BESS_TECH,TS19,2049,29.687
KENYA,BESS_TECH,TS19,2050,10.3197
KENYA,BESS_TECH,TS20,2025,0.6231
KENYA,BESS_TECH,TS20,2026,2.2568
KENYA,BESS_TECH,TS20,2027,3.2428
KENYA,BESS_TECH,TS20,2028,6.1382
KENYA,BESS_TECH,TS20,2029,7.4984
KENYA,BESS_TECH,TS20,2030,10.5917
KENYA,BESS_TECH,TS20,2031,10.5917
KENYA,BESS_TECH,TS20,2032,10.5917
KENYA,BESS_TECH,TS20,2033,10.5917
KENYA,BESS_TECH,TS20,2034,10.5917
KENYA,BESS_TECH,TS20,2035,9.9686
KENYA,BESS_TECH,TS20,2036,8.3349
KENYA,BESS_TECH,TS20,2037,7.3488
KENYA,BESS_TECH,TS20,2038,7.2999
KENYA,BESS_TECH,TS20,2039,5.9398
KENYA,BESS_TECH,TS20,2040,3.7716
KENYA,BESS_TECH,TS20,2041,10.1959
KENYA,BESS_TECH,TS20,2042,14.7295
KENYA,BESS_TECH,TS20,2043,24.4132
KENYA,BESS_TECH,TS20,2044,30.473
KENYA,BESS_TECH,TS20,2045,35.9746
KENYA,BESS_TECH,TS20,2046,38.8075
KENYA,BESS_TECH,TS20,2047,44.5528
KENYA,BESS_TECH,TS20,2048,48.4959
KENYA,BESS_TECH,TS20,2049,48.4959
KENYA,BESS_TECH,TS20,2050,48.9799
KENYA,BESS_TECH,TS21,2025,0.6231
KENYA,BESS_TECH,TS21,2027,3.2428
KENYA,BESS_TECH,TS21,2028,4.9319
KENYA,BESS_TECH,TS21,2029,0.2916
KENYA,BESS_TECH,TS21,2030,6.2126
KENYA,BESS_TECH,TS21,2033,1.0392
KENYA,BESS_TECH,TS21,2034,8.1466
KENYA,BESS_TECH,TS21,2035,9.9686
KENYA,BESS_TECH,TS21,2036,8.2144
