r,t,f,y,ProductionByTechnologyAnnual
KENYA,IMPHFONAI,HFONAI,2034,2.9151
KENYA,IMPHFONAI,HFONAI,2035,3.4198
KENYA,IMPNGS,NGS,2030,1.4287
KENYA,IMPNGS,NGS,2031,3.9903
KENYA,IMPNGS,NGS,2032,7.8619
KENYA,IMPNGS,NGS,2033,12.8112
KENYA,IMPNGS,NGS,2034,28.2217
KENYA,IMPNGS,NGS,2035,42.6461
KENYA,IMPNGS,NGS,2036,29.4066
KENYA,IMPNGS,NGS,2037,38.9213
KENYA,IMPNGS,NGS,2038,62.4178
KENYA,IMPNGS,NGS,2039,44.5767
KENYA,IMPNGS,NGS,2040,35.7655
KENYA,IMPNGS,NGS,2041,50.7808
KENYA,IMPNGS,NGS,2042,52.9697
KENYA,IMPNGS,NGS,2043,59.8689
KENYA,IMPNGS,NGS,2044,63.4065
KENYA,IMPNGS,NGS,2045,71.6548
KENYA,IMPNGS,NGS,2046,73.6986
KENYA,IMPNGS,NGS,2047,76.1882
KENYA,IMPNGS,NGS,2048,74.0702
KENYA,IMPNGS,NGS,2049,70.7457
KENYA,IMPNGS,NGS,2050,63.3174
KENYA,IMPURN,URN,2036,28.4269
KENYA,IMPURN,URN,2037,28.4269
KENYA,IMPURN,URN,2038,28.4269
KENYA,IMPURN,URN,2039,56.8539
KENYA,IMPURN,URN,2040,56.8539
KENYA,IMPURN,URN,2041,56.8539
KENYA,IMPURN,URN,2042,66.6316
KENYA,IMPURN,URN,2043,56.695
KENYA,IMPURN,URN,2044,41.6852
KENYA,IMPURN,URN,2045,42.494
KENYA,IMPURN,URN,2046,44.1686
KENYA,IMPURN,URN,2047,46.4816
KENYA,IMPURN,URN,2048,44.8755
KENYA,IMPURN,URN,2049,37.765
KENYA,IMPURN,URN,2050,35.1456
KENYA,MINBIO,BIO,2019,0.0902
KENYA,MINBIO,BIO,2020,0.0902
KENYA,MINBIO,BIO,2021,0.0902
KENYA,MINBIO,BIO,2022,0.0902
KENYA,MINBIO,BIO,2023,0.1533
KENYA,MINBIO,BIO,2024,0.1533
KENYA,MINBIO,BIO,2025,0.1533
KENYA,MINBIO,BIO,2026,0.6042
KENYA,MINBIO,BIO,2027,0.6042
KENYA,MINBIO,BIO,2028,0.9649
KENYA,MINBIO,BIO,2029,0.9649
KENYA,MINBIO,BIO,2030,3.1381
KENYA,MINBIO,BIO,2031,4.0398
KENYA,MINBIO,BIO,2032,4.5268
KENYA,MINBIO,BIO,2033,4.6621
KENYA,MINBIO,BIO,2034,4.9326
KENYA,MINBIO,BIO,2035,4.9461
KENYA,MINBIO,BIO,2036,5.3473
KENYA,MINBIO,BIO,2037,5.7487
KENYA,MINBIO,BIO,2038,6.15
KENYA,MINBIO,BIO,2039,6.5512
KENYA,MINBIO,BIO,2040,6.9525
KENYA,MINBIO,BIO,2041,7.3537
KENYA,MINBIO,BIO,2042,7.755
KENYA,MINBIO,BIO,2043,8.1564
KENYA,MINBIO,BIO,2044,8.5576
KENYA,MINBIO,BIO,2045,8.9589
KENYA,MINBIO,BIO,2046,9.3601
KENYA,MINBIO,BIO,2047,9.7614
KENYA,MINBIO,BIO,2048,9.7614
KENYA,MINBIO,BIO,2049,6.8461
KENYA,MINBIO,BIO,2050,6.3394
KENYA,MINGEO,GEO,2019,70.0437
KENYA,MINGEO,GEO,2020,70.0437
KENYA,MINGEO,GEO,2021,70.0437
KENYA,MINGEO,GEO,2022,77.4191
KENYA,MINGEO,GEO,2023,80.518
KENYA,MINGEO,GEO,2024,77.8618
KENYA,MINGEO,GEO,2025,88.3094
KENYA,MINGEO,GEO,2026,104.2465
KENYA,MINGEO,GEO,2027,103.0752
KENYA,MINGEO,GEO,2028,111.303
KENYA,MINGEO,GEO,2029,130.2238
KENYA,MINGEO,GEO,2030,133.4743
KENYA,MINGEO,GEO,2031,148.659
KENYA,MINGEO,GEO,2032,153.4937
KENYA,MINGEO,GEO,2033,158.5906
KENYA,MINGEO,GEO,2034,176.3809
KENYA,MINGEO,GEO,2035,183.0885
KENYA,MINGEO,GEO,2036,202.5767
KENYA,MINGEO,GEO,2037,219.9354
KENYA,MINGEO,GEO,2038,233.3119
KENYA,MINGEO,GEO,2039,260.8897
KENYA,MINGEO,GEO,2040,307.0495
KENYA,MINGEO,GEO,2041,304.0049
KENYA,MINGEO,GEO,2042,318.7036
KENYA,MINGEO,GEO,2043,328.6998
KENYA,MINGEO,GEO,2044,346.3947
KENYA,MINGEO,GEO,2045,352.2976
KENYA,MINGEO,GEO,2046,374.5547
KENYA,MINGEO,GEO,2047,385.9683
KENYA,MINGEO,GEO,2048,395.5306
KENYA,MINGEO,GEO,2049,399.3443
KENYA,MINGEO,GEO,2050,381.0334
KENYA,MINHYD,HYD,2019,12.0376
KENYA,MINHYD,HYD,2020,12.0376
KENYA,MINHYD,HYD,2021,12.1705
KENYA,MINHYD,HYD,2022,12.3225
KENYA,MINHYD,HYD,2023,12.5934
KENYA,MINHYD,HYD,2024,12.8254
KENYA,MINHYD,HYD,2025,13.0567
KENYA,MINHYD,HYD,2026,13.6463
KENYA,MINHYD,HYD,2027,14.0897
KENYA,MINHYD,HYD,2028,14.4708
KENYA,MINHYD,HYD,2029,14.9578
KENYA,MINHYD,HYD,2030,15.8887
KENYA,MINHYD,HYD,2031,16.7705
KENYA,MINHYD,HYD,2032,17.5935
KENYA,MINHYD,HYD,2033,19.8925
KENYA,MINHYD,HYD,2034,20.986
KENYA,MINHYD,HYD,2035,22.2762
KENYA,MINHYD,HYD,2036,23.6407
KENYA,MINHYD,HYD,2037,23.6885
KENYA,MINHYD,HYD,2038,23.7404
KENYA,MINHYD,HYD,2039,23.7962
KENYA,MINHYD,HYD,2040,23.8587
KENYA,MINHYD,HYD,2041,23.9265
KENYA,MINHYD,HYD,2042,22.3065
KENYA,MINHYD,HYD,2043,22.3876
KENYA,MINHYD,HYD,2044,22.4754
KENYA,MINHYD,HYD,2045,22.5724
KENYA,MINHYD,HYD,2046,22.6787
KENYA,MINHYD,HYD,2047,22.7944
