r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS14,2047,1.2515
KENYA,BESS_TECH,TS14,2048,0.1479
KENYA,BESS_TECH,TS14,2049,4.2066
KENYA,BESS_TECH,TS15,2029,0.7142
KENYA,BESS_TECH,TS15,2030,1.5496
KENYA,BESS_TECH,TS15,2031,0.0486
KENYA,BESS_TECH,TS15,2044,0.6673
KENYA,BESS_TECH,TS15,2046,1.0917
KENYA,BESS_TECH,TS15,2048,2.384
KENYA,BESS_TECH,TS15,2050,2.1883
KENYA,BESS_TECH,TS16,2024,0.2048
KENYA,BESS_TECH,TS16,2025,2.6007
KENYA,BESS_TECH,TS16,2026,2.7221
KENYA,BESS_TECH,TS16,2027,2.7221
KENYA,BESS_TECH,TS16,2028,2.3683
KENYA,BESS_TECH,TS16,2029,2.7221
KENYA,BESS_TECH,TS16,2030,2.7221
KENYA,BESS_TECH,TS16,2031,2.7221
KENYA,BESS_TECH,TS16,2032,2.055
KENYA,BESS_TECH,TS16,2033,2.4115
KENYA,BESS_TECH,TS16,2034,1.6765
KENYA,BESS_TECH,TS16,2044,0.2348
KENYA,BESS_TECH,TS16,2045,0.9105
KENYA,BESS_TECH,TS16,2046,1.1847
KENYA,BESS_TECH,TS16,2047,9.2599
KENYA,BESS_TECH,TS16,2048,0.1075
KENYA,BESS_TECH,TS16,2049,5.1587
KENYA,BESS_TECH,TS16,2050,5.3176
KENYA,BESS_TECH,TS17,2024,0.2048
KENYA,BESS_TECH,TS17,2025,0.4226
KENYA,BESS_TECH,TS17,2026,0.7763
KENYA,BESS_TECH,TS17,2027,1.7384
KENYA,BESS_TECH,TS17,2028,0.7306
KENYA,BESS_TECH,TS17,2029,0.6912
KENYA,BESS_TECH,TS17,2030,0.8628
KENYA,BESS_TECH,TS17,2031,1.9725
KENYA,BESS_TECH,TS17,2032,2.7221
KENYA,BESS_TECH,TS17,2033,2.7221
KENYA,BESS_TECH,TS17,2034,0.927
KENYA,BESS_TECH,TS17,2044,1.9248
KENYA,BESS_TECH,TS17,2045,3.0683
KENYA,BESS_TECH,TS17,2046,1.7497
KENYA,BESS_TECH,TS17,2047,2.4174
KENYA,BESS_TECH,TS17,2048,8.1137
KENYA,BESS_TECH,TS17,2049,17.5029
KENYA,BESS_TECH,TS17,2050,18.6386
KENYA,BESS_TECH,TS18,2031,2.7221
KENYA,BESS_TECH,TS18,2032,0.6297
KENYA,BESS_TECH,TS18,2034,2.5174
KENYA,BESS_TECH,TS18,2044,0.0812
KENYA,BESS_TECH,TS18,2045,0.6345
KENYA,BESS_TECH,TS18,2046,1.3811
KENYA,BESS_TECH,TS18,2048,0.7182
KENYA,BESS_TECH,TS18,2049,0.6542
KENYA,BESS_TECH,TS18,2050,1.0375
KENYA,BESS_TECH,TS19,2024,0.0693
KENYA,BESS_TECH,TS19,2025,2.7221
KENYA,BESS_TECH,TS19,2026,1.3611
KENYA,BESS_TECH,TS19,2027,2.7221
KENYA,BESS_TECH,TS19,2028,2.7221
KENYA,BESS_TECH,TS19,2029,2.7221
KENYA,BESS_TECH,TS19,2030,2.7221
KENYA,BESS_TECH,TS19,2031,2.7221
KENYA,BESS_TECH,TS19,2032,2.7221
KENYA,BESS_TECH,TS19,2033,1.1803
KENYA,BESS_TECH,TS19,2034,2.5174
KENYA,BESS_TECH,TS19,2044,0.1931
KENYA,BESS_TECH,TS19,2046,2.3978
KENYA,BESS_TECH,TS19,2047,7.0512
KENYA,BESS_TECH,TS19,2048,6.6041
KENYA,BESS_TECH,TS19,2049,17.0747
KENYA,BESS_TECH,TS19,2050,16.4498
