r,t,e,y,AnnualTechnologyEmission
KENYA,PWRNGS004,CO2,2034,0.0327
KENYA,PWRNGS004,CO2,2035,0.0851
KENYA,PWRNGS004,CO2,2036,0.0614
KENYA,PWRNGS004,CO2,2037,0.0677
KENYA,PWRNGS004,CO2,2038,0.0979
KENYA,PWRNGS004,CO2,2039,0.0955
KENYA,PWRNGS004,CO2,2040,0.0339
KENYA,PWRNGS004,CO2,2041,0.0845
KENYA,PWRNGS004,CO2,2042,0.0912
KENYA,PWRNGS004,CO2,2043,0.1143
KENYA,PWRNGS004,CO2,2044,0.1062
KENYA,PWRNGS004,CO2,2045,0.1087
KENYA,PWRNGS004,CO2,2046,0.3063
KENYA,PWRNGS004,CO2,2047,1.0306
KENYA,PWRNGS004,CO2,2048,1.0306
KENYA,PWRNGS004,CO2,2049,1.0306
KENYA,PWRNGS004,CO2,2050,1.0306
KENYA,PWRNGS005,CO2,2037,0.0073
KENYA,PWRNGS005,CO2,2043,0.0073
KENYA,PWRNGS005,CO2,2044,0.0073
KENYA,PWRNGS005,CO2,2045,0.0013
KENYA,PWRNGS005,CO2,2046,0.0164
KENYA,PWRNGS005,CO2,2047,0.0675
KENYA,PWRNGS005,CO2,2048,0.2763
KENYA,PWRNGS005,CO2,2049,0.376
KENYA,PWRNGS005,CO2,2050,0.4123
KENYA,PWRNGS006,CO2,2039,0.0073
KENYA,PWRNGS006,CO2,2041,0.0032
KENYA,PWRNGS006,CO2,2044,0.0073
KENYA,PWRNGS006,CO2,2045,0.0026
KENYA,PWRNGS006,CO2,2046,0.0164
KENYA,PWRNGS006,CO2,2047,0.0694
KENYA,PWRNGS006,CO2,2048,0.2312
KENYA,PWRNGS006,CO2,2049,0.3692
KENYA,PWRNGS006,CO2,2050,0.4123
KENYA,PWRNGS009,CO2,2032,0.002
KENYA,PWRNGS009,CO2,2033,0.0044
KENYA,PWRNGS009,CO2,2034,0.003
KENYA,PWRNGS009,CO2,2035,0.0093
KENYA,PWRNGS009,CO2,2036,0.008
KENYA,PWRNGS009,CO2,2038,0.0128
KENYA,PWRNGS009,CO2,2039,0.0005
KENYA,PWRNGS009,CO2,2042,0.0128
KENYA,PWRNGS009,CO2,2043,0.0128
KENYA,PWRNGS009,CO2,2045,0.0146
KENYA,PWRNGS009,CO2,2046,0.0288
KENYA,PWRNGS009,CO2,2047,0.1276
KENYA,PWRNGS009,CO2,2048,0.4358
KENYA,PWRNGS009,CO2,2049,0.6456
KENYA,PWRNGS009,CO2,2050,0.7214
KENYA,PWRNGS010,CO2,2038,0.0045
KENYA,PWRNGS010,CO2,2041,0.0128
KENYA,PWRNGS010,CO2,2043,0.0168
KENYA,PWRNGS010,CO2,2044,0.0048
KENYA,PWRNGS010,CO2,2045,0.0128
KENYA,PWRNGS010,CO2,2046,0.0288
KENYA,PWRNGS010,CO2,2047,0.1229
KENYA,PWRNGS010,CO2,2048,0.3902
KENYA,PWRNGS010,CO2,2049,0.7214
KENYA,PWRNGS010,CO2,2050,0.7214
KENYA,PWRNGS011,CO2,2037,0.0022
KENYA,PWRNGS011,CO2,2039,0.0128
KENYA,PWRNGS011,CO2,2040,0.0072
KENYA,PWRNGS011,CO2,2042,0.0083
KENYA,PWRNGS011,CO2,2043,0.0022
KENYA,PWRNGS011,CO2,2044,0.0135
KENYA,PWRNGS011,CO2,2045,0.0128
KENYA,PWRNGS011,CO2,2046,0.0339
KENYA,PWRNGS011,CO2,2047,0.0893
KENYA,PWRNGS011,CO2,2048,0.4434
KENYA,PWRNGS011,CO2,2049,0.6655
KENYA,PWRNGS011,CO2,2050,0.7214
