r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,2,6,2025,0.0121
KENYA,BESS001,1,2,6,2027,0.024
KENYA,BESS001,1,2,6,2029,0.0135
KENYA,BESS001,1,2,6,2030,0.0216
KENYA,BESS001,1,2,6,2032,0.0044
KENYA,BESS001,1,2,6,2033,0.0105
KENYA,BESS001,1,2,6,2044,0.0169
KENYA,BESS001,1,2,6,2045,0.027
KENYA,BESS001,1,2,6,2046,0.066
KENYA,BESS001,1,2,6,2047,0.0999
KENYA,BESS001,1,2,6,2048,0.0752
KENYA,BESS001,1,2,6,2049,0.1842
KENYA,BESS001,1,2,6,2050,0.0065
KENYA,BESS001,2,1,1,2024,0.0021
KENYA,BESS001,2,1,1,2025,0.0584
KENYA,BESS001,2,1,1,2026,0.0471
KENYA,BESS001,2,1,1,2027,0.0724
KENYA,BESS001,2,1,1,2028,0.0404
KENYA,BESS001,2,1,1,2031,0.0327
KENYA,BESS001,2,1,1,2032,0.0004
KENYA,BESS001,2,1,1,2033,0.0212
KENYA,BESS001,2,1,1,2034,0.0056
KENYA,BESS001,2,1,1,2044,-0.003
KENYA,BESS001,2,1,1,2045,-0.0031
KENYA,BESS001,2,1,1,2047,0.2297
KENYA,BESS001,2,1,2,2025,-0.0017
KENYA,BESS001,2,1,2,2029,0.0406
KENYA,BESS001,2,1,2,2032,0.0042
KENYA,BESS001,2,1,2,2046,-0.0116
KENYA,BESS001,2,1,2,2047,-0.0186
KENYA,BESS001,2,1,2,2048,-0.0022
KENYA,BESS001,2,1,2,2049,-0.0627
KENYA,BESS001,2,1,3,2029,0.0213
KENYA,BESS001,2,1,3,2030,0.0462
KENYA,BESS001,2,1,3,2031,0.0014
KENYA,BESS001,2,1,3,2044,-0.0199
KENYA,BESS001,2,1,3,2046,0.0325
KENYA,BESS001,2,1,3,2048,-0.071
KENYA,BESS001,2,1,3,2050,-0.0652
KENYA,BESS001,2,1,4,2024,-0.0041
KENYA,BESS001,2,1,4,2025,-0.0518
KENYA,BESS001,2,1,4,2026,-0.0542
KENYA,BESS001,2,1,4,2027,-0.0542
KENYA,BESS001,2,1,4,2028,-0.0471
KENYA,BESS001,2,1,4,2029,-0.0542
KENYA,BESS001,2,1,4,2030,-0.0542
KENYA,BESS001,2,1,4,2031,-0.0542
KENYA,BESS001,2,1,4,2032,-0.0409
KENYA,BESS001,2,1,4,2033,-0.048
KENYA,BESS001,2,1,4,2034,-0.0334
KENYA,BESS001,2,1,4,2044,0.0047
KENYA,BESS001,2,1,4,2045,-0.0181
KENYA,BESS001,2,1,4,2046,-0.0236
KENYA,BESS001,2,1,4,2047,-0.1843
KENYA,BESS001,2,1,4,2048,0.0021
KENYA,BESS001,2,1,4,2049,-0.1027
KENYA,BESS001,2,1,4,2050,-0.1058
KENYA,BESS001,2,1,5,2024,0.002
KENYA,BESS001,2,1,5,2025,-0.0042
KENYA,BESS001,2,1,5,2026,0.0078
KENYA,BESS001,2,1,5,2027,-0.0174
