r,t,y,TotalTechnologyAnnualActivity
KENYA,PWRGEO011,2023,2.4833
KENYA,PWRGEO011,2024,2.4833
KENYA,PWRGEO011,2025,2.4833
KENYA,PWRGEO011,2026,2.4833
KENYA,PWRGEO011,2027,2.4833
KENYA,PWRGEO011,2028,2.4833
KENYA,PWRGEO011,2029,2.4833
KENYA,PWRGEO011,2030,2.4833
KENYA,PWRGEO011,2031,2.4833
KENYA,PWRGEO011,2032,2.4833
KENYA,PWRGEO011,2033,2.4833
KENYA,PWRGEO011,2034,2.4833
KENYA,PWRGEO011,2035,2.4833
KENYA,PWRGEO011,2036,2.4833
KENYA,PWRGEO011,2037,2.4833
KENYA,PWRGEO011,2038,2.4833
KENYA,PWRGEO011,2039,2.4833
KENYA,PWRGEO011,2040,2.4833
KENYA,PWRGEO011,2041,2.4833
KENYA,PWRGEO011,2042,2.4833
KENYA,PWRGEO011,2043,2.4833
KENYA,PWRGEO011,2044,2.4833
KENYA,PWRGEO011,2045,2.4833
KENYA,PWRGEO011,2046,2.4833
KENYA,PWRGEO012,2019,4.7102
KENYA,PWRGEO012,2020,4.7102
KENYA,PWRGEO012,2021,4.7102
KENYA,PWRGEO012,2022,4.7102
KENYA,PWRGEO012,2023,4.7102
KENYA,PWRGEO012,2024,4.7102
KENYA,PWRGEO012,2025,4.7102
KENYA,PWRGEO012,2026,4.7102
KENYA,PWRGEO012,2027,4.7102
KENYA,PWRGEO012,2028,4.7102
KENYA,PWRGEO012,2029,4.7102
KENYA,PWRGEO012,2030,4.7102
KENYA,PWRGEO012,2031,4.7102
KENYA,PWRGEO012,2032,4.7102
KENYA,PWRGEO012,2033,4.7102
KENYA,PWRGEO012,2034,4.7102
KENYA,PWRGEO012,2035,4.7102
KENYA,PWRGEO012,2036,4.7102
KENYA,PWRGEO012,2037,4.7102
KENYA,PWRGEO012,2038,4.7102
KENYA,PWRGEO012,2039,4.7102
KENYA,PWRGEO012,2040,4.7102
KENYA,PWRGEO012,2041,4.7102
KENYA,PWRGEO012,2042,4.7102
KENYA,PWRGEO012,2043,4.7102
KENYA,PWRGEO012,2044,4.7102
KENYA,PWRGEO013,2029,4.1736
KENYA,PWRGEO013,2030,4.1736
KENYA,PWRGEO013,2031,4.1736
KENYA,PWRGEO013,2032,4.1736
KENYA,PWRGEO013,2033,4.1736
KENYA,PWRGEO013,2034,4.1736
KENYA,PWRGEO013,2035,4.1736
KENYA,PWRGEO013,2036,4.1736
KENYA,PWRGEO013,2037,4.1736
KENYA,PWRGEO013,2038,4.1736
KENYA,PWRGEO013,2039,4.1736
KENYA,PWRGEO013,2040,4.1736
KENYA,PWRGEO013,2041,4.1736
KENYA,PWRGEO013,2042,4.1736
KENYA,PWRGEO013,2043,4.1736
KENYA,PWRGEO013,2044,4.1736
KENYA,PWRGEO013,2045,4.1736
KENYA,PWRGEO013,2046,4.1736
KENYA,PWRGEO013,2047,4.1736
KENYA,PWRGEO013,2048,4.1736
KENYA,PWRGEO013,2049,4.1736
KENYA,PWRGEO013,2050,4.1736
KENYA,PWRGEO014,2029,4.1736
KENYA,PWRGEO014,2030,4.1736
KENYA,PWRGEO014,2031,4.1736
KENYA,PWRGEO014,2032,4.1736
KENYA,PWRGEO014,2033,4.1736
