r,t,y,AccumulatedNewCapacity
KENYA,PWRBIO001,2046,0.2076
KENYA,PWRBIO001,2047,0.2165
KENYA,PWRBIO001,2048,0.2254
KENYA,PWRBIO001,2049,0.2343
KENYA,PWRBIO001,2050,0.2432
KENYA,PWRDIST,2019,0.2935
KENYA,PWRDIST,2020,0.3264
KENYA,PWRDIST,2021,0.4112
KENYA,PWRDIST,2022,0.4757
KENYA,PWRDIST,2023,0.5324
KENYA,PWRDIST,2024,0.6015
KENYA,PWRDIST,2025,0.6781
KENYA,PWRDIST,2026,0.8689
KENYA,PWRDIST,2027,1.0855
KENYA,PWRDIST,2028,1.3259
KENYA,PWRDIST,2029,1.5861
KENYA,PWRDIST,2030,1.8547
KENYA,PWRDIST,2031,2.1533
KENYA,PWRDIST,2032,2.4856
KENYA,PWRDIST,2033,2.8414
KENYA,PWRDIST,2034,3.2338
KENYA,PWRDIST,2035,3.6597
KENYA,PWRDIST,2036,4.1268
KENYA,PWRDIST,2037,4.6503
KENYA,PWRDIST,2038,5.2209
KENYA,PWRDIST,2039,5.8419
KENYA,PWRDIST,2040,6.5195
KENYA,PWRDIST,2041,7.258
KENYA,PWRDIST,2042,7.9909
KENYA,PWRDIST,2043,8.7697
KENYA,PWRDIST,2044,9.6099
KENYA,PWRDIST,2045,10.5187
KENYA,PWRDIST,2046,11.5006
KENYA,PWRDIST,2047,12.5599
KENYA,PWRDIST,2048,13.7058
KENYA,PWRDIST,2049,14.9437
KENYA,PWRDIST,2050,16.2792
KENYA,PWRGEO010,2023,0.035
KENYA,PWRGEO010,2024,0.035
KENYA,PWRGEO010,2025,0.035
KENYA,PWRGEO010,2026,0.035
KENYA,PWRGEO010,2027,0.035
KENYA,PWRGEO010,2028,0.035
KENYA,PWRGEO010,2029,0.035
KENYA,PWRGEO010,2030,0.035
KENYA,PWRGEO010,2031,0.035
KENYA,PWRGEO010,2032,0.035
KENYA,PWRGEO010,2033,0.035
KENYA,PWRGEO010,2034,0.035
KENYA,PWRGEO010,2035,0.035
KENYA,PWRGEO010,2036,0.035
KENYA,PWRGEO010,2037,0.035
KENYA,PWRGEO010,2038,0.035
KENYA,PWRGEO010,2039,0.035
KENYA,PWRGEO010,2040,0.035
KENYA,PWRGEO010,2041,0.035
KENYA,PWRGEO010,2042,0.035
KENYA,PWRGEO010,2043,0.035
KENYA,PWRGEO010,2044,0.035
KENYA,PWRGEO010,2045,0.035
KENYA,PWRGEO010,2046,0.035
KENYA,PWRGEO010,2047,0.035
KENYA,PWRGEO011,2022,0.0833
KENYA,PWRGEO011,2023,0.0833
KENYA,PWRGEO011,2024,0.0833
KENYA,PWRGEO011,2025,0.0833
KENYA,PWRGEO011,2026,0.0833
KENYA,PWRGEO011,2027,0.0833
KENYA,PWRGEO011,2028,0.0833
