r,t,y,CapitalInvestment
KENYA,PWRNGS018,2044,194.2279
KENYA,PWRNGS018,2045,226.7992
KENYA,PWRNGS018,2046,264.7706
KENYA,PWRNGS018,2047,309.2561
KENYA,PWRNGS018,2048,361.0274
KENYA,PWRNGS018,2049,376.2264
KENYA,PWRNGS018,2050,537.4848
KENYA,PWRPHS001,2037,95.1999
KENYA,PWRPHS001,2038,121.3752
KENYA,PWRPHS001,2041,125.7606
KENYA,PWRPHS002,2038,340.4966
KENYA,PWRPHS002,2040,1.5904
KENYA,PWRSOL002,2023,46.4228
KENYA,PWRSOL003,2032,24.7518
KENYA,PWRSOL004,2032,32.3424
KENYA,PWRSOL005,2032,33.676
KENYA,PWRSOL006,2023,1.6719
KENYA,PWRSOL008,2022,48.6512
KENYA,PWRSOL009,2026,41.154
KENYA,PWRSOL010,2021,50.9868
KENYA,PWRSOL012,2021,50.9868
KENYA,PWRSOL013,2032,8.5908
KENYA,PWRSOL014,2032,37.2559
KENYA,PWRSOL015,2024,43.4104
KENYA,PWRSOL101,2026,13.3025
KENYA,PWRSOL101,2027,17.0452
KENYA,PWRSOL101,2028,21.8407
KENYA,PWRSOL101,2029,27.9855
KENYA,PWRSOL101,2030,35.859
KENYA,PWRSOL101,2031,45.9473
KENYA,PWRSOL101,2032,58.8748
KENYA,PWRSOL101,2033,75.4385
KENYA,PWRSOL101,2034,96.6627
KENYA,PWRSOL101,2035,123.8574
KENYA,PWRSOL101,2036,158.705
KENYA,PWRSOL101,2037,203.3551
KENYA,PWRSOL101,2038,260.5663
KENYA,PWRSOL101,2039,333.8749
KENYA,PWRSOL101,2040,427.8089
KENYA,PWRSOL101,2041,562.9965
KENYA,PWRSOL101,2042,740.9034
KENYA,PWRSOL101,2043,975.0289
KENYA,PWRSOL101,2044,1283.138
KENYA,PWRSOL101,2045,1688.6096
KENYA,PWRSOL101,2046,2222.2103
KENYA,PWRSOL101,2047,1932.9656
KENYA,PWRSOL101,2048,942.5013
KENYA,PWRSOL101,2049,890.5477
KENYA,PWRSOL101,2050,1194.8633
KENYA,PWRTRN,2019,138.1155
KENYA,PWRTRN,2020,12.5545
KENYA,PWRTRN,2021,32.3441
KENYA,PWRTRN,2022,24.6308
KENYA,PWRTRN,2023,21.6159
KENYA,PWRTRN,2024,26.3808
KENYA,PWRTRN,2025,29.242
KENYA,PWRTRN,2026,72.7845
KENYA,PWRTRN,2027,82.6371
KENYA,PWRTRN,2028,91.722
KENYA,PWRTRN,2029,99.2782
KENYA,PWRTRN,2030,102.5102
KENYA,PWRTRN,2031,113.9282
KENYA,PWRTRN,2032,126.796
KENYA,PWRTRN,2033,135.7368
KENYA,PWRTRN,2034,149.7243
KENYA,PWRTRN,2035,162.5189
KENYA,PWRTRN,2036,178.2136
KENYA,PWRTRN,2037,199.7649
KENYA,PWRTRN,2038,217.7104
KENYA,PWRTRN,2039,236.9737
KENYA,PWRTRN,2040,258.5385
KENYA,PWRTRN,2041,281.7651
KENYA,PWRTRN,2042,279.6489
KENYA,PWRTRN,2043,297.1521
KENYA,PWRTRN,2044,320.5846
KENYA,PWRTRN,2045,346.7791
KENYA,PWRTRN,2046,374.6404
KENYA,PWRTRN,2047,404.1768
KENYA,PWRTRN,2048,437.2275
KENYA,PWRTRN,2049,472.3574
KENYA,PWRTRN,2050,509.583
KENYA,PWRURN001,2036,1456.5
KENYA,PWRURN002,2039,1456.5
KENYA,PWRURN003,2042,1456.5
KENYA,PWRWND003,2025,19.0608
KENYA,PWRWND005,2021,89.133
KENYA,PWRWND010,2021,89.133
KENYA,PWRWND012,2030,84.6955
KENYA,PWRWND012,2050,81.916
KENYA,PWRWND015,2026,86.8715
KENYA,PWRWND018,2028,170.526
KENYA,PWRWND018,2048,163.832
KENYA,PWRWND026,2031,67.1264
KENYA,PWRWND027,2033,84.3575
KENYA,PWRWND101,2026,20.0529
KENYA,PWRWND101,2027,24.523
KENYA,PWRWND101,2028,29.9895
KENYA,PWRWND101,2029,36.6746
KENYA,PWRWND101,2030,44.8496
KENYA,PWRWND101,2031,54.8472
KENYA,PWRWND101,2032,67.0734
KENYA,PWRWND101,2033,82.0246
KENYA,PWRWND101,2034,100.3091
KENYA,PWRWND101,2035,122.6694
KENYA,PWRWND101,2036,150.0134
KENYA,PWRWND101,2037,183.4536
KENYA,PWRWND101,2038,224.347
KENYA,PWRWND101,2039,274.3574
KENYA,PWRWND101,2040,335.5142
KENYA,PWRWND101,2041,411.6759
KENYA,PWRWND101,2042,505.1264
KENYA,PWRWND101,2043,619.79
KENYA,PWRWND101,2044,760.4824
KENYA,PWRWND101,2045,933.1119
KENYA,PWRWND101,2046,1144.9283
KENYA,PWRWND101,2047,1400.4827
KENYA,PWRWND101,2048,1713.062
KENYA,PWRWND101,2049,2095.3866
KENYA,PWRWND101,2050,2563.0144
