r,t,y,DiscountedSalvageValue
KENYA,PWRSOL101,2033,0.9442
KENYA,PWRSOL101,2034,1.7417
KENYA,PWRSOL101,2035,2.8575
KENYA,PWRSOL101,2036,4.3978
KENYA,PWRSOL101,2037,6.5014
KENYA,PWRSOL101,2038,9.3498
KENYA,PWRSOL101,2039,13.1798
KENYA,PWRSOL101,2040,18.2991
KENYA,PWRSOL101,2041,25.787
KENYA,PWRSOL101,2042,35.9966
KENYA,PWRSOL101,2043,49.862
KENYA,PWRSOL101,2044,68.6281
KENYA,PWRSOL101,2045,93.9516
KENYA,PWRSOL101,2046,128.0354
KENYA,PWRSOL101,2047,114.8808
KENYA,PWRSOL101,2048,57.587
KENYA,PWRSOL101,2049,55.7764
KENYA,PWRSOL101,2050,76.5166
KENYA,PWRTRN,2019,7.1794
KENYA,PWRTRN,2020,0.6672
KENYA,PWRTRN,2021,1.7537
KENYA,PWRTRN,2022,1.3597
KENYA,PWRTRN,2023,1.2128
KENYA,PWRTRN,2024,1.5021
KENYA,PWRTRN,2025,1.6873
KENYA,PWRTRN,2026,4.2506
KENYA,PWRTRN,2027,4.8791
KENYA,PWRTRN,2028,5.4696
KENYA,PWRTRN,2029,5.974
KENYA,PWRTRN,2030,6.2195
KENYA,PWRTRN,2031,6.9643
KENYA,PWRTRN,2032,7.8041
KENYA,PWRTRN,2033,8.4066
KENYA,PWRTRN,2034,9.3259
KENYA,PWRTRN,2035,10.1756
KENYA,PWRTRN,2036,11.2115
KENYA,PWRTRN,2037,12.622
KENYA,PWRTRN,2038,13.8106
KENYA,PWRTRN,2039,15.0874
KENYA,PWRTRN,2040,16.5152
KENYA,PWRTRN,2041,18.0537
KENYA,PWRTRN,2042,17.9682
KENYA,PWRTRN,2043,19.1416
KENYA,PWRTRN,2044,20.6994
KENYA,PWRTRN,2045,22.4387
KENYA,PWRTRN,2046,24.2892
KENYA,PWRTRN,2047,26.2513
KENYA,PWRTRN,2048,28.4449
KENYA,PWRTRN,2049,30.7768
KENYA,PWRTRN,2050,33.2484
KENYA,PWRURN001,2036,93.6624
KENYA,PWRURN002,2039,94.1282
KENYA,PWRURN003,2042,94.489
KENYA,PWRWND012,2050,5.2457
KENYA,PWRWND018,2048,10.0102
KENYA,PWRWND027,2033,1.0559
